,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Steven Adams,C,22,OKC,18,553,,,,,100%,3.7,-4.2,2,5,20,8,24,3,34,4,15,adamsst01
2,Cole Aldrich,C,27,LAC,6,77,,,,,100%,-1.4,-1.9,1,0,4,1,2,1,8,1,0,aldrico01
3,LaMarcus Aldridge,PF,30,SAS,10,337,,,,56%,44%,9.6,-1.4,5,3,11,1,21,0,24,6,3,aldrila01
4,Lavoy Allen,PF,26,IND,6,51,,,,84%,16%,-24.4,-31.0,0,1,1,0,0,0,5,0,2,allenla01
5,Tony Allen,SG,34,MEM,4,94,2%,98%,,,,-18.0,13.0,4,2,4,0,6,1,6,0,3,allento01
6,Al-Farouq Aminu,SF,25,POR,11,372,,,1%,96%,3%,-0.5,5.2,13,3,13,3,13,1,51,1,5,aminual01
7,Chris Andersen,C,37,MEM,4,79,,,,,100%,-21.2,5.6,3,1,3,1,3,0,8,0,0,anderch01
8,Justin Anderson,SF,22,DAL,5,95,4%,10%,78%,9%,,-5.8,22.7,3,0,5,2,6,2,18,0,1,anderju01
9,Kyle Anderson,SF,22,SAS,10,129,,,90%,11%,,-2.9,-17.6,1,2,7,1,2,0,16,1,1,anderky01
10,Trevor Ariza,SF,30,HOU,5,181,,,80%,20%,,-24.5,-19.4,5,4,2,3,2,0,10,1,1,arizatr01
11,Jeff Ayres,C,28,LAC,2,2,,,,74%,26%,33.3,33.7,0,0,0,0,1,0,0,1,0,pendeje02
12,Leandro Barbosa,SG,33,GSW,23,254,23%,68%,8%,,,7.2,3.2,6,5,12,0,5,3,36,0,8,barbole01
13,J.J. Barea,PG,31,DAL,4,100,100%,,,,,-19.0,1.4,8,2,3,1,1,2,45,0,2,bareajo01
14,Harrison Barnes,SF,23,GSW,24,743,,,37%,61%,2%,3.6,-2.9,8,8,24,1,17,3,73,4,12,barneha02
15,Matt Barnes,SF,35,MEM,4,139,,,60%,39%,,-26.1,-5.8,8,2,9,2,5,2,25,1,4,barnema02
16,Nicolas Batum,SF,27,CHO,5,144,,5%,96%,,,-31.0,-35.7,4,3,2,0,9,0,21,1,1,batumni01
17,Aron Baynes,C,29,DET,4,44,,,,,100%,-35.8,-33.7,1,0,2,1,1,0,5,1,2,baynear01
18,Kent Bazemore,SF,26,ATL,10,325,,27%,73%,,,-7.1,-17.8,6,4,5,0,5,2,44,2,10,bazemke01
19,Michael Beasley,PF,27,HOU,5,80,,,,88%,12%,-15.3,6.8,2,2,4,2,3,0,7,1,4,beaslmi01
20,Patrick Beverley,PG,27,HOU,5,129,100%,,,,,-14.0,11.9,1,1,8,0,3,5,24,1,4,beverpa01
21,Bismack Biyombo,C,23,TOR,20,506,,,,1%,100%,-4.1,2.7,3,5,20,8,27,2,17,6,7,biyombi01
22,Steve Blake,PG,35,DET,4,43,100%,,,,,-27.0,-21.8,2,2,3,0,0,0,24,0,0,blakest01
23,Andrew Bogut,C,31,GSW,22,365,,,,,100%,5.9,1.7,4,6,29,8,0,5,77,0,6,bogutan01
