,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,23,DET,4,66,,57%,43%,,,-4.1,25.7,2,0,5,0,2,0,2,0,0,afflaar01
2,LaMarcus Aldridge,PF,23,POR,6,237,,,,87%,13%,-4.6,8.8,1,5,7,4,9,2,19,2,3,aldrila01
3,Ray Allen*,SG,33,BOS,14,565,,72%,28%,1%,,2.3,9.6,9,13,22,2,18,2,80,3,11,allenra02
4,Tony Allen,SG,27,BOS,10,60,,55%,44%,1%,,-26.2,-29.1,0,1,3,0,1,0,6,1,1,allento01
5,Rafer Alston,PG,32,ORL,23,740,100%,,,,,1.9,-1.8,31,7,26,0,14,1,224,4,14,alstora01
6,Chris Andersen,C,30,DEN,15,328,,,,42%,58%,12.5,5.2,3,1,25,3,12,4,22,2,3,anderch01
7,Carmelo Anthony,SF,24,DEN,16,612,,3%,96%,1%,,10.2,3.2,14,11,24,8,60,6,143,12,25,anthoca01
8,Joel Anthony,C,26,MIA,6,88,,,,,100%,19.4,24.5,0,1,5,0,0,1,4,0,0,anthojo01
9,Trevor Ariza,SF,23,LAL,23,722,,1%,98%,1%,,7.7,-0.1,22,9,24,4,29,9,120,5,11,arizatr01
10,Hilton Armstrong,C,24,NOH,4,53,,,,,100%,-33.6,-8.7,2,2,8,2,4,0,2,0,1,armsthi01
11,Renaldo Balkman,PF,24,DEN,8,20,,,,100%,,29.1,20.1,0,0,0,0,0,0,2,0,2,balkmre01
12,J.J. Barea,SG,24,DAL,10,221,39%,61%,,,,7.1,14.6,5,1,6,0,6,4,82,1,5,bareajo01
13,Brent Barry,SG,37,HOU,4,35,,100%,,,,-12.9,-11.9,3,0,2,0,0,1,7,0,0,barrybr01
14,Brandon Bass,C,23,DAL,10,192,,,,28%,72%,4.6,9.2,1,1,8,0,15,0,17,3,6,bassbr01
15,Tony Battie,PF,32,ORL,21,128,,,,90%,10%,-0.1,-3.0,1,0,6,0,3,3,4,1,0,battito01
16,Shane Battier,SG,30,HOU,13,496,,75%,25%,,,-2.3,-2.7,9,5,26,1,3,5,68,0,10,battish01
17,Nicolas Batum,SF,20,POR,6,63,,,100%,,,-23.6,-22.1,3,0,3,0,0,0,3,0,0,batumni01
18,Jerryd Bayless,PG,20,POR,2,11,40%,60%,,,,10.1,16.9,0,1,0,0,1,0,0,1,0,bayleje01
19,Michael Beasley,PF,20,MIA,7,178,,,,78%,22%,-5.8,-15.1,2,7,9,1,8,0,20,1,7,beaslmi01
20,Mike Bibby,PG,30,ATL,11,390,100%,,,,,-6.8,8.9,14,5,12,5,5,8,101,2,3,bibbymi01
21,Chauncey Billups,PG,32,DEN,16,619,84%,16%,,,,9.6,0.5,20,7,13,4,39,3,250,8,7,billuch01
22,Steve Blake,PG,28,POR,6,231,100%,,,,,-7.5,-6.5,5,1,3,1,2,0,78,1,1,blakest01
23,Matt Bonner,PF,28,SAS,5,100,,,,94%,6%,-14.3,-11.9,1,0,4,1,1,1,0,0,0,bonnema01
24,Carlos Boozer,PF,27,UTA,5,186,,,,30%,70%,-10.3,-2.1,7,5,12,2,16,0,23,1,5,boozeca01
25,Bruce Bowen,SF,37,SAS,5,130,,67%,33%,,,3.9,25.1,2,0,3,0,1,2,7,0,0,bowenbr01
26,Ryan Bowen,SF,33,NOH,1,2,,,100%,,,58.3,86.0,0,0,0,0,0,0,0,0,1,bowenry01
27,Ronnie Brewer,SF,23,UTA,5,158,,40%,56%,4%,,-5.2,13.3,5,2,7,0,9,1,31,2,4,brewero02
28,Aaron Brooks,PG,24,HOU,13,444,100%,,,,,-4.0,-7.7,18,9,8,1,9,1,98,0,13,brookaa01
