Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
324,Doug McDermott,SF,32,IND,6,0,11.0,1.2,4.0,.292,0.7,3.3,.200,0.5,0.7,.750,.375,0.2,0.3,.500,0.2,0.3,0.5,0.7,0.0,0.0,0.2,0.5,3.2,mcderdo01
325,JaVale McGee,C,36,SAC,40,0,7.9,1.9,2.9,.632,0.0,0.1,.200,1.8,2.8,.652,.637,0.6,1.1,.581,0.9,1.9,2.8,0.4,0.3,0.5,0.8,1.1,4.4,mcgeeja01
326,Bryce McGowens,SG,21,CHO,50,13,15.8,1.8,3.9,.454,0.6,1.8,.341,1.2,2.1,.547,.531,1.0,1.4,.754,0.3,1.5,1.8,0.9,0.4,0.1,0.5,1.4,5.2,mcgowbr01
327,Jordan McLaughlin,PG,27,MIN,40,0,9.4,1.1,2.4,.433,0.6,1.5,.431,0.4,1.0,.436,.562,0.2,0.3,.600,0.3,1.0,1.2,1.8,0.7,0.2,0.4,0.6,2.9,mclaujo01
328,De'Anthony Melton,SG,25,PHI,36,33,27.8,3.8,9.7,.391,2.1,5.8,.362,1.7,3.9,.433,.499,1.8,2.2,.835,0.8,3.1,3.8,3.1,1.6,0.4,1.1,2.3,11.5,meltode01
329,Nathan Mensah,C,25,CHO,25,0,12.3,0.5,1.1,.429,0.0,0.0,,0.5,1.1,.429,.429,0.4,0.5,.750,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3,mensana01
330,Sam Merrill,SG,27,CLE,48,1,16.7,2.6,6.4,.408,2.3,5.7,.408,0.3,0.7,.412,.590,0.3,0.3,.933,0.4,1.5,1.9,1.7,0.3,0.0,0.3,1.1,7.8,merrisa01
331,Chimezie Metu,C,26,PHO,37,5,12.1,1.8,3.5,.508,0.4,1.4,.294,1.4,2.1,.646,.565,1.0,1.2,.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0,metuch01
332,Vasilije Micić,PG,30,TOT,46,7,16.9,2.4,5.3,.443,0.6,2.2,.277,1.8,3.2,.559,.500,1.0,1.2,.815,0.2,1.0,1.3,3.7,0.4,0.1,1.4,1.0,6.3,micicva01
332,Vasilije Micić,PG,30,OKC,30,0,12.0,1.2,3.0,.407,0.4,1.5,.244,0.9,1.5,.565,.467,0.5,0.6,.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3,micicva01
332,Vasilije Micić,PG,30,CHO,16,7,25.9,4.5,9.7,.465,1.1,3.5,.304,3.4,6.2,.556,.519,1.9,2.2,.857,0.6,1.6,2.1,5.9,0.7,0.1,2.3,1.4,11.9,micicva01
333,Khris Middleton,SF,32,MIL,43,43,26.3,5.6,11.6,.487,1.7,4.5,.378,3.9,7.1,.556,.560,1.8,2.2,.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8,middlkh01
