,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19905,.433,11.7,,.809,.303,.148,.153,.205,.191,,.456,.577,.371,.363,.409,.335,,.537,.845,,.045,289,,.232,767,,.292,.370,,2,0
2,Boston Celtics*,82,19705,.443,13.0,,.751,.285,.126,.118,.222,.249,,.475,.608,.350,.394,.420,.346,,.524,.875,,.048,284,,.227,764,,.259,.394,,10,0
3,Chicago Bulls,82,19830,.414,12.4,,.814,.283,.130,.142,.259,.186,,.431,.537,.385,.349,.383,.342,,.614,.790,,.045,283,,.217,665,,.214,.349,,10,1
4,Cleveland Cavaliers,82,19855,.433,10.6,,.884,.318,.173,.196,.197,.116,,.448,.586,.355,.387,.368,.314,,.595,.879,,.051,322,,.220,768,,.290,.338,,13,0
5,Dallas Mavericks*,82,19805,.459,12.1,,.799,.290,.159,.129,.219,.201,,.488,.619,.414,.428,.402,.348,,.548,.828,,.024,163,,.243,1021,,.168,.373,,18,0
6,Denver Nuggets*,82,19730,.443,11.3,,.854,.345,.111,.127,.272,.146,,.461,.597,.365,.377,.365,.336,,.574,.801,,.070,425,,.242,868,,.192,.381,,10,0
7,Detroit Pistons*,82,19780,.435,10.7,,.847,.340,.153,.175,.179,.153,,.452,.566,.356,.393,.374,.344,,.592,.817,,.053,299,,.259,822,,.257,.394,,7,0
8,Golden State Warriors,82,19855,.442,11.9,,.803,.272,.196,.117,.218,.197,,.468,.654,.358,.346,.399,.334,,.526,.918,,.045,270,,.202,794,,.254,.356,,17,1
9,Houston Rockets*,82,19930,.442,12.7,,.773,.268,.153,.141,.211,.227,,.464,.596,.383,.402,.398,.366,,.512,.854,,.054,289,,.203,658,,.315,.384,,16,0
