,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,66,15940,.464,14.1,,.596,.253,.197,.100,.046,.404,,.533,.645,.443,.453,.474,.362,,.526,.776,,.067,371,,.268,834,,.261,.372,,13,0
2,Boston Celtics,66,15965,.486,15.6,,.530,.211,.186,.082,.052,.470,,.573,.743,.477,.455,.406,.387,,.502,.779,,.067,353,,.253,884,,.196,.431,,9,1
3,Brooklyn Nets,66,15915,.459,14.3,,.584,.240,.199,.093,.052,.416,,.524,.689,.414,.429,.345,.368,,.536,.856,,.054,283,,.266,876,,.264,.416,,17,0
4,Chicago Bulls,67,16355,.465,13.8,,.634,.256,.180,.107,.090,.366,,.526,.639,.460,.480,.396,.358,,.483,.875,,.039,193,,.265,901,,.273,.391,,8,0
5,Charlotte Hornets,67,16130,.457,14.0,,.619,.248,.212,.094,.066,.381,,.521,.686,.436,.400,.344,.353,,.518,.835,,.058,310,,.261,852,,.229,.379,,18,0
6,Cleveland Cavaliers,66,15965,.479,14.0,,.575,.285,.180,.071,.039,.425,,.563,.683,.438,.456,.447,.366,,.573,.842,,.070,365,,.263,863,,.236,.380,,9,1
7,Dallas Mavericks,67,16080,.483,15.1,,.558,.222,.172,.099,.065,.442,,.572,.740,.484,.457,.402,.371,,.507,.746,,.066,344,,.225,824,,.272,.375,,11,0
8,Denver Nuggets,67,16105,.496,13.4,,.650,.259,.211,.093,.086,.350,,.565,.693,.492,.468,.460,.369,,.595,.861,,.064,351,,.280,944,,.230,.388,,17,0
9,Detroit Pistons,66,15915,.470,13.4,,.643,.233,.241,.109,.060,.357,,.534,.679,.465,.464,.373,.354,,.550,.851,,.076,406,,.277,895,,.276,.373,,19,0
10,Golden State Warriors,65,15750,.471,15.1,,.572,.181,.244,.079,.067,.428,,.543,.704,.506,.391,.424,.375,,.595,.801,,.053,284,,.291,1014,,.159,.385,,12,1
11,Houston Rockets,66,15965,.458,13.9,,.615,.247,.219,.084,.066,.385,,.526,.660,.440,.447,.412,.350,,.515,.793,,.058,301,,.300,971,,.169,.393,,22,0
12,Indiana Pacers,67,16105,.506,13.5,,.616,.264,.214,.092,.047,.384,,.586,.705,.496,.501,.498,.376,,.579,.852,,.060,339,,.322,1169,,.223,.407,,8,0
