,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19855,.441,10.4,,.854,.371,.141,.139,.204,.146,,.463,.579,.341,.331,.426,.312,,.511,.872,,.056,354,,.289,985,,.265,.295,,16,0
2,Boston Celtics*,82,19880,.468,11.3,,.808,.364,.119,.113,.212,.192,,.496,.614,.360,.379,.433,.349,,.543,.899,,.049,305,,.296,1065,,.296,.381,,12,0
3,Charlotte Bobcats,82,19880,.432,11.7,,.872,.284,.149,.145,.294,.128,,.442,.574,.375,.351,.392,.363,,.570,.903,,.036,232,,.223,791,,.344,.413,,6,0
4,Chicago Bulls*,82,19830,.432,12.3,,.783,.297,.144,.128,.214,.217,,.453,.566,.374,.367,.401,.357,,.569,.806,,.044,272,,.229,743,,.234,.402,,5,0
5,Cleveland Cavaliers,82,19855,.447,11.2,,.865,.312,.161,.159,.233,.135,,.465,.609,.402,.358,.390,.332,,.599,.797,,.056,352,,.217,765,,.292,.360,,4,0
6,Dallas Mavericks*,82,19730,.457,12.3,,.810,.287,.132,.148,.243,.190,,.479,.594,.440,.399,.413,.364,,.472,.834,,.046,287,,.219,756,,.242,.370,,20,0
7,Denver Nuggets*,82,19755,.459,11.1,,.858,.364,.102,.117,.274,.142,,.479,.627,.360,.360,.377,.340,,.617,.878,,.083,499,,.261,955,,.304,.399,,23,0
8,Detroit Pistons*,82,19955,.444,11.5,,.836,.321,.117,.183,.215,.164,,.463,.576,.393,.413,.377,.345,,.592,.865,,.066,379,,.225,723,,.273,.355,,8,0
9,Golden State Warriors,82,19905,.430,13.3,,.748,.254,.155,.092,.248,.252,,.457,.642,.328,.364,.382,.352,,.542,.814,,.041,270,,.201,825,,.246,.358,,10,0
10,Houston Rockets*,82,19855,.443,13.4,,.763,.254,.134,.119,.256,.237,,.468,.590,.435,.394,.399,.364,,.561,.808,,.045,251,,.188,635,,.277,.391,,11,0
11,Indiana Pacers*,82,19905,.432,13.2,,.745,.270,.140,.137,.199,.255,,.463,.582,.407,.397,.384,.344,,.481,.860,,.036,203,,.213,663,,.272,.403,,10,0
12,Los Angeles Clippers,82,20030,.459,11.4,,.895,.298,.151,.156,.290,.105,,.473,.590,.449,.397,.405,.345,,.632,.861,,.052,305,,.229,750,,.302,.411,,13,0
13,Los Angeles Lakers,82,19780,.437,12.7,,.727,.329,.118,.092,.188,.273,,.467,.562,.411,.377,.382,.355,,.491,.880,,.045,269,,.255,857,,.250,.352,,29,0
14,Memphis Grizzlies*,82,19705,.447,11.4,,.763,.354,.145,.089,.176,.237,,.475,.578,.388,.369,.390,.357,,.546,.896,,.065,358,,.269,861,,.310,.369,,15,0
15,Miami Heat*,82,19980,.486,11.5,,.802,.336,.137,.111,.218,.198,,.513,.652,.423,.376,.427,.377,,.528,.855,,.084,499,,.230,838,,.255,.374,,7,1
16,Milwaukee Bucks,82,19780,.450,11.1,,.859,.331,.128,.177,.224,.141,,.467,.558,.395,.412,.416,.351,,.543,.880,,.044,261,,.261,872,,.266,.370,,8,0
17,Minnesota Timberwolves,82,19755,.459,13.2,,.827,.225,.138,.180,.285,.173,,.483,.618,.435,.426,.436,.345,,.593,.876,,.030,181,,.173,656,,.211,.388,,13,0
18,New Jersey Nets*,82,19905,.429,12.9,,.813,.276,.118,.119,.299,.187,,.444,.538,.402,.365,.407,.362,,.597,.890,,.038,217,,.217,669,,.279,.390,,12,0
19,New Orleans Hornets,82,19930,.415,12.6,,.799,.304,.096,.122,.277,.201,,.440,.537,.374,.382,.381,.315,,.601,.822,,.044,256,,.237,724,,.227,.331,,9,0
20,New York Knicks,82,19880,.451,12.1,,.812,.300,.140,.122,.251,.188,,.473,.586,.396,.419,.407,.356,,.515,.812,,.040,239,,.237,832,,.261,.395,,16,0
21,Orlando Magic,82,19705,.454,11.6,,.863,.327,.106,.154,.276,.137,,.471,.597,.373,.399,.400,.349,,.487,.813,,.069,422,,.233,800,,.204,.385,,7,0
22,Philadelphia 76ers*,82,19855,.437,12.0,,.784,.323,.120,.129,.213,.216,,.462,.587,.374,.349,.391,.348,,.521,.869,,.050,317,,.247,846,,.253,.414,,7,0
23,Phoenix Suns*,82,19780,.477,13.0,,.711,.300,.119,.120,.172,.289,,.512,.640,.421,.418,.416,.393,,.483,.869,,.078,505,,.204,792,,.312,.413,,22,1
24,Portland Trail Blazers,82,19730,.451,11.1,,.819,.335,.161,.110,.213,.181,,.471,.611,.382,.341,.384,.362,,.553,.840,,.076,446,,.235,794,,.213,.397,,10,0
25,Sacramento Kings*,82,19855,.459,13.4,,.800,.258,.125,.081,.336,.200,,.480,.618,.435,.380,.415,.374,,.582,.852,,.039,238,,.199,794,,.254,.418,,9,0
26,San Antonio Spurs*,82,19805,.453,11.6,,.784,.293,.201,.118,.173,.216,,.478,.637,.399,.378,.369,.363,,.536,.939,,.034,187,,.254,970,,.431,.388,,8,0
27,Seattle SuperSonics*,82,19755,.444,12.9,,.719,.276,.160,.118,.165,.281,,.474,.605,.397,.397,.385,.365,,.411,.865,,.040,234,,.221,791,,.239,.399,,19,0
28,Toronto Raptors,82,19805,.444,12.9,,.747,.283,.123,.136,.206,.253,,.463,.564,.403,.402,.401,.385,,.488,.843,,.040,232,,.210,700,,.384,.416,,13,0
29,Utah Jazz,82,19780,.449,11.6,,.879,.336,.093,.137,.312,.121,,.465,.589,.363,.378,.402,.328,,.625,.860,,.042,243,,.269,911,,.252,.380,,14,0
30,Washington Wizards*,82,19780,.437,12.5,,.780,.268,.188,.118,.206,.220,,.463,.664,.323,.345,.396,.343,,.478,.763,,.053,339,,.204,823,,.208,.321,,8,1
,League Average,82,19838,.447,12.1,,.804,.304,.135,.129,.236,.196,,.470,.596,.391,.383,.400,.356,,.544,.854,,.051,305,,.231,806,,.272,.384,,12.1,0.1
