Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Shareef Abdur-Rahim,PF,29,SAC,6,0,21.5,3.8,7.2,.535,0.0,0.5,.000,3.8,6.7,.575,.535,1.5,2.5,.600,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,abdursh01
2,Malik Allen,PF,27,CHI,6,6,19.3,2.3,5.0,.467,0.0,0.0,,2.3,5.0,.467,.467,0.0,0.2,.000,0.8,2.2,3.0,1.2,0.3,1.0,1.7,2.7,4.7,allenma01
3,Derek Anderson,SG,31,MIA,8,0,8.3,0.8,2.5,.300,0.6,1.8,.357,0.1,0.8,.167,.425,0.9,1.0,.875,0.0,1.1,1.1,0.6,0.3,0.0,0.4,1.6,3.0,anderde01
4,Shandon Anderson,SF,32,MIA,13,0,6.9,0.3,1.0,.308,0.1,0.2,.333,0.2,0.8,.300,.346,0.3,0.5,.667,0.2,0.7,0.9,0.3,0.0,0.1,0.5,0.6,1.0,andersh01
5,Carmelo Anthony,SF,21,DEN,5,5,38.6,6.6,19.8,.333,0.0,0.8,.000,6.6,19.0,.347,.333,7.8,10.4,.750,2.4,4.2,6.6,2.8,0.8,0.2,3.0,4.0,21.0,anthoca01
6,Gilbert Arenas,PG,24,WAS,6,6,47.3,10.8,23.3,.464,3.3,7.7,.435,7.5,15.7,.479,.536,9.0,11.7,.771,1.2,4.3,5.5,5.3,2.2,0.7,3.3,3.5,34.0,arenagi01
7,Darrell Armstrong,PG,37,DAL,11,0,4.3,0.3,1.4,.200,0.0,0.6,.000,0.3,0.7,.375,.200,0.2,0.2,1.000,0.1,0.5,0.6,0.2,0.3,0.1,0.1,0.8,0.7,armstda01
8,Chucky Atkins,PG,31,MEM,4,4,25.8,3.8,9.3,.405,1.0,2.8,.364,2.8,6.5,.423,.459,1.3,2.0,.625,0.0,0.8,0.8,3.0,0.5,0.0,1.0,3.8,9.8,atkinch01
9,Leandro Barbosa,SG,23,PHO,20,3,31.6,5.2,11.0,.470,1.4,3.5,.391,3.8,7.5,.507,.532,2.5,2.9,.862,0.3,1.4,1.6,2.7,0.8,0.2,1.5,3.3,14.2,barbole01
10,Brent Barry,SG,34,SAS,13,2,23.2,2.6,4.7,.557,1.3,2.6,.500,1.3,2.1,.630,.697,1.2,1.6,.762,0.2,2.2,2.5,1.7,0.7,0.2,0.7,2.2,7.8,barrybr01
11,Shane Battier,SF,27,MEM,4,4,32.3,2.5,5.0,.500,0.5,1.8,.286,2.0,3.3,.615,.550,0.5,1.5,.333,1.8,4.0,5.8,0.5,1.0,0.5,2.0,4.0,6.0,battish01
12,Charlie Bell,SG,26,MIL,5,0,21.6,3.4,8.6,.395,1.0,2.2,.455,2.4,6.4,.375,.453,1.4,1.4,1.000,0.4,0.2,0.6,1.4,0.6,0.4,0.8,3.0,9.2,bellch01
13,Raja Bell,SG,29,PHO,17,17,39.6,4.6,9.7,.479,2.4,5.1,.465,2.3,4.6,.494,.600,2.0,2.4,.829,0.5,2.4,2.8,2.2,0.6,0.2,0.6,4.1,13.6,bellra01
