Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Arron Afflalo,SG,26,DEN,7,7,32.7,4.3,10.6,.405,0.6,2.9,.200,3.7,7.7,.481,.432,1.7,2.1,.800,0.7,2.9,3.6,2.7,0.7,0.3,1.3,2.0,10.9,afflaar01
2,Blake Ahearn,PG,27,UTA,3,0,2.7,0.7,1.0,.667,0.3,0.3,1.000,0.3,0.7,.500,.833,0.0,0.0,,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.7,ahearbl01
3,Cole Aldrich,C,23,OKC,5,0,5.0,0.8,1.8,.444,0.0,0.0,,0.8,1.8,.444,.444,0.4,0.8,.500,1.0,1.6,2.6,0.0,0.0,0.0,0.0,0.6,2.0,aldrico01
4,Lavoy Allen,PF,22,PHI,12,1,19.7,2.8,5.1,.557,0.0,0.0,,2.8,5.1,.557,.557,0.6,1.0,.583,1.8,3.2,4.9,0.3,0.8,0.9,0.4,2.5,6.3,allenla01
5,Ray Allen*,SG,36,BOS,18,10,34.2,3.7,9.3,.395,1.6,5.1,.304,2.1,4.2,.507,.479,1.8,2.5,.711,0.4,3.7,4.1,1.0,0.9,0.1,0.9,2.3,10.7,allenra02
6,Tony Allen,SG,30,MEM,7,7,24.3,2.6,6.4,.400,0.0,0.7,.000,2.6,5.7,.450,.400,1.7,2.4,.706,1.1,2.0,3.1,0.7,1.3,1.0,1.4,3.0,6.9,allento01
7,Lou Amundson,PF,29,IND,11,0,8.5,1.1,2.1,.522,0.0,0.0,,1.1,2.1,.522,.522,0.3,0.5,.500,0.5,1.5,2.1,0.2,0.2,0.5,0.4,1.5,2.5,amundlo01
8,James Anderson,SG,22,SAS,8,0,3.9,0.5,1.1,.444,0.3,0.5,.500,0.3,0.6,.400,.556,0.1,0.3,.500,0.0,0.6,0.6,0.4,0.1,0.0,0.0,0.1,1.4,anderja01
9,Ryan Anderson,PF,23,ORL,5,5,34.4,3.0,8.8,.341,2.4,6.0,.400,0.6,2.8,.214,.477,1.2,1.4,.857,1.8,2.8,4.6,0.8,0.6,0.4,1.8,4.4,9.6,anderry01
10,Carmelo Anthony,SF,27,NYK,5,5,40.8,10.4,24.8,.419,0.8,3.6,.222,9.6,21.2,.453,.435,6.2,8.2,.756,2.6,5.6,8.2,2.2,1.2,0.2,2.8,4.2,27.8,anthoca01
