Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Bam Adebayo,C,25,MIA,23,23,37.0,7.3,15.1,.481,0.0,0.1,.000,7.3,15.0,.485,.481,3.4,4.1,.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,adebaba01
2,Santi Aldama,PF,22,MEM,6,0,16.8,2.5,5.5,.455,1.2,2.5,.467,1.3,3.0,.444,.561,0.3,0.3,1.000,1.2,3.2,4.3,1.2,0.5,0.0,0.3,0.8,6.5,aldamsa01
3,Nickeil Alexander-Walker,SG,24,MIN,5,4,29.6,3.0,7.0,.429,2.0,5.0,.400,1.0,2.0,.500,.571,0.4,0.6,.667,0.2,1.8,2.0,1.4,0.6,0.2,0.8,1.8,8.4,alexani01
4,Grayson Allen,SG,27,MIL,5,5,29.8,3.8,8.2,.463,2.8,5.8,.483,1.0,2.4,.417,.634,1.2,1.4,.857,0.2,2.2,2.4,1.8,0.4,0.0,0.8,1.4,11.6,allengr01
5,Jarrett Allen,C,24,CLE,5,5,38.2,4.4,7.2,.611,0.0,0.0,,4.4,7.2,.611,.611,0.6,1.2,.500,3.0,4.4,7.4,2.4,0.8,1.0,0.6,2.0,9.4,allenja01
6,Kyle Anderson,PF,29,MIN,4,0,26.0,3.8,7.5,.500,0.5,1.5,.333,3.3,6.0,.542,.533,0.5,0.5,1.000,0.8,3.3,4.0,4.5,1.8,0.5,1.5,3.3,8.5,anderky01
7,Giannis Antetokounmpo,PF,28,MIL,3,3,30.3,9.3,17.7,.528,0.0,1.0,.000,9.3,16.7,.560,.528,4.7,10.3,.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,23.3,antetgi01
8,Thanasis Antetokounmpo,PF,30,MIL,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,antetth01
9,Deandre Ayton,C,24,PHO,10,10,31.9,6.1,11.1,.550,0.0,0.0,,6.1,11.1,.550,.550,1.2,2.3,.522,2.9,6.8,9.7,1.0,0.6,0.7,1.7,3.5,13.4,aytonde01
10,Patrick Baldwin Jr.,SF,20,GSW,3,0,3.7,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,baldwpa01
11,Mo Bamba,C,24,LAL,3,0,3.3,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,0.0,0.0,bambamo01
12,Desmond Bane,SG,24,MEM,6,6,38.5,8.2,19.3,.422,2.7,8.3,.320,5.5,11.0,.500,.491,4.5,4.8,.931,1.2,4.8,6.0,3.2,0.5,0.0,2.8,3.2,23.5,banede01
13,Harrison Barnes,PF,30,SAC,7,7,28.0,3.6,8.6,.417,0.9,3.6,.240,2.7,5.0,.543,.467,2.7,3.7,.731,1.4,2.0,3.4,0.7,1.1,0.3,0.4,0.7,10.7,barneha02
14,RJ Barrett,SG,22,NYK,11,11,34.3,6.5,14.9,.433,1.8,5.5,.328,4.6,9.4,.495,.494,4.5,5.9,.769,0.5,4.0,4.5,2.8,0.8,0.2,2.3,2.3,19.3,barrerj01
15,Nicolas Batum,PF,34,LAC,5,3,18.4,1.6,3.8,.421,1.2,3.4,.353,0.4,0.4,1.000,.579,0.0,0.0,,0.2,2.0,2.2,1.2,0.4,0.4,0.4,2.0,4.4,batumni01
16,Malik Beasley,SG,26,LAL,11,0,8.3,0.9,3.1,.294,0.6,2.4,.269,0.3,0.7,.375,.397,0.5,0.5,1.000,0.3,0.5,0.7,0.2,0.1,0.0,0.2,0.5,3.0,beaslma01
