Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
164,Tayshaun Prince,SF,32,MEM,15,15,30.3,2.9,8.1,.355,0.3,1.3,.263,2.5,6.8,.373,.376,0.9,1.5,.609,0.8,3.0,3.8,1.9,0.5,0.3,0.7,1.2,7.0,princta01
165,Vladimir Radmanović,PF,32,CHI,1,0,10.0,3.0,3.0,1.000,3.0,3.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,9.0,radmavl01
166,Anthony Randolph,PF,23,DEN,5,0,6.0,1.8,2.2,.818,0.0,0.0,,1.8,2.2,.818,.818,1.6,2.2,.727,0.0,1.2,1.2,0.0,0.4,0.0,0.4,0.8,5.2,randoan01
167,Shavlik Randolph,PF,29,BOS,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,randosh01
168,Zach Randolph,PF,31,MEM,15,15,36.9,6.6,14.3,.460,0.0,0.1,.000,6.6,14.3,.463,.460,4.2,6.3,.670,3.9,6.1,10.0,1.6,0.7,0.5,2.1,3.5,17.4,randoza01
169,JJ Redick,SG,28,MIL,4,0,17.3,2.8,6.3,.440,1.0,3.0,.333,1.8,3.3,.538,.520,0.8,0.8,1.000,0.0,0.8,0.8,1.3,0.3,0.0,1.5,2.3,7.3,redicjj01
170,Quentin Richardson,SF,32,NYK,5,0,2.8,0.4,1.2,.333,0.4,1.0,.400,0.0,0.2,.000,.500,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.4,1.2,richaqu01
171,Nate Robinson,PG,28,CHI,12,8,33.7,5.9,13.6,.436,1.8,5.4,.338,4.1,8.2,.500,.503,2.6,3.4,.756,0.5,2.2,2.7,4.4,1.0,0.2,2.7,3.2,16.3,robinna01
172,Robert Sacre,C,23,LAL,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,sacrero01
173,Larry Sanders,C,24,MIL,4,4,28.3,4.8,8.3,.576,0.0,0.0,,4.8,8.3,.576,.576,1.3,2.8,.455,2.8,5.5,8.3,1.3,0.8,1.3,3.0,4.5,10.8,sandela01
