Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Arron Afflalo,SG,24,DEN,6,6,20.0,3.3,5.3,.625,1.0,2.3,.429,2.3,3.0,.778,.719,1.5,1.8,.818,0.2,1.8,2.0,1.2,0.2,0.3,0.7,3.5,9.2,afflaar01
2,LaMarcus Aldridge,PF,24,POR,6,6,38.2,6.7,15.5,.430,0.2,0.3,.500,6.5,15.2,.429,.435,5.5,7.3,.750,1.7,4.3,6.0,2.2,1.2,1.8,1.8,2.7,19.0,aldrila01
3,Malik Allen,PF,31,DEN,4,0,2.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.5,0.3,0.8,0.0,0.3,0.0,0.0,0.5,0.0,allenma01
4,Ray Allen*,SG,34,BOS,24,24,38.5,5.5,12.7,.431,2.3,6.0,.386,3.1,6.6,.472,.523,2.9,3.3,.863,0.5,2.8,3.3,2.6,0.9,0.1,1.5,3.1,16.1,allenra02
5,Tony Allen,SG,28,BOS,24,0,16.3,2.0,4.1,.480,0.0,0.2,.000,2.0,3.9,.505,.480,1.2,1.5,.778,0.5,1.2,1.7,0.7,1.0,0.6,1.0,2.4,5.1,allento01
6,Lou Amundson,PF,27,PHO,16,0,12.1,1.2,2.3,.528,0.0,0.0,,1.2,2.3,.528,.528,0.6,1.3,.429,1.9,1.6,3.5,0.1,0.4,0.4,0.4,1.9,2.9,amundlo01
7,Chris Andersen,PF,31,DEN,6,0,19.3,1.5,2.8,.529,0.0,0.0,,1.5,2.8,.529,.529,1.5,2.3,.643,1.2,3.3,4.5,0.2,0.2,1.0,0.7,2.3,4.5,anderch01
8,Ryan Anderson,PF,21,ORL,9,0,9.9,1.0,3.2,.310,0.4,1.6,.286,0.6,1.7,.333,.379,0.1,0.1,1.000,0.9,2.6,3.4,0.3,0.2,0.2,0.6,1.3,2.6,anderry01
9,Carmelo Anthony,SF,25,DEN,6,6,42.3,10.7,23.0,.464,1.0,3.2,.316,9.7,19.8,.487,.486,8.3,9.5,.877,2.3,6.2,8.5,3.3,2.0,0.5,3.5,4.3,30.7,anthoca01
10,Joel Anthony,C,27,MIA,5,0,15.8,1.0,1.4,.714,0.0,0.0,,1.0,1.4,.714,.714,0.6,0.8,.750,1.2,0.6,1.8,0.2,0.4,1.0,0.2,1.8,2.6,anthojo01
11,Carlos Arroyo,PG,30,MIA,5,5,23.0,2.4,5.2,.462,0.0,0.2,.000,2.4,5.0,.480,.462,0.4,0.4,1.000,0.4,1.4,1.8,2.2,0.6,0.0,0.6,1.8,5.2,arroyca01
12,D.J. Augustin,PG,22,CHA,4,0,18.3,1.3,4.3,.294,0.5,1.5,.333,0.8,2.8,.273,.353,1.3,1.5,.833,0.3,0.8,1.0,1.8,0.3,0.3,1.0,1.0,4.3,augusdj01
13,Jeff Ayres,C,22,POR,3,0,5.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,1.0,1.3,.750,0.7,0.0,0.7,0.0,0.7,1.0,0.3,0.3,2.3,pendeje02
14,Leandro Barbosa,PG,27,PHO,16,0,15.6,2.7,6.4,.417,0.8,2.2,.343,1.9,4.3,.456,.476,1.1,1.5,.708,0.1,1.2,1.3,1.3,0.3,0.1,0.9,2.1,7.2,barbole01
15,J.J. Barea,PG,25,DAL,6,0,17.5,2.5,6.2,.405,0.7,1.7,.400,1.8,4.5,.407,.459,0.2,0.5,.333,0.7,1.3,2.0,2.5,0.3,0.2,1.7,2.2,5.8,bareajo01
16,Matt Barnes,SF,29,ORL,14,14,23.3,2.1,5.4,.400,0.9,2.3,.375,1.3,3.1,.419,.480,1.2,1.4,.850,1.1,3.6,4.7,1.4,0.7,0.2,0.7,2.0,6.4,barnema02
17,Brandon Bass,PF,24,ORL,7,0,6.0,1.0,1.9,.538,0.0,0.0,,1.0,1.9,.538,.538,0.7,0.9,.833,0.3,0.9,1.1,0.1,0.0,0.0,0.1,0.3,2.7,bassbr01
18,Nicolas Batum,SF,21,POR,6,6,23.2,2.8,6.2,.459,1.5,3.5,.429,1.3,2.7,.500,.581,1.0,1.3,.750,0.7,2.5,3.2,0.8,0.3,0.0,0.7,2.2,8.2,batumni01
19,Jerryd Bayless,SG,21,POR,6,2,27.7,4.7,10.8,.431,1.0,2.5,.400,3.7,8.3,.440,.477,3.2,4.0,.792,0.7,2.0,2.7,3.8,0.3,0.0,1.3,3.5,13.5,bayleje01
20,Michael Beasley,PF,21,MIA,5,5,27.0,4.4,9.8,.449,0.2,0.4,.500,4.2,9.4,.447,.459,1.4,1.8,.778,2.0,3.8,5.8,0.6,0.8,0.0,2.6,2.0,10.4,beaslmi01
21,Rodrigue Beaubois,PG,21,DAL,4,0,7.8,2.3,4.8,.474,0.5,1.5,.333,1.8,3.3,.538,.526,0.3,0.8,.333,0.5,1.0,1.5,1.0,0.0,0.0,0.8,1.3,5.3,beaubro01
22,Charlie Bell,SG,30,MIL,3,0,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,bellch01
23,Mike Bibby,PG,31,ATL,11,11,26.5,3.3,7.3,.450,1.3,3.1,.412,2.0,4.2,.478,.538,0.6,0.9,.700,0.5,2.1,2.5,2.5,0.8,0.0,1.1,2.4,8.5,bibbymi01
24,Chauncey Billups,PG,33,DEN,6,6,34.5,6.2,13.8,.446,1.8,5.2,.355,4.3,8.7,.500,.512,6.2,7.0,.881,0.2,2.2,2.3,6.3,1.0,0.5,3.0,4.0,20.3,billuch01
25,DeJuan Blair,PF,20,SAS,10,0,9.1,1.6,3.2,.500,0.0,0.0,,1.6,3.2,.500,.500,0.5,0.9,.556,1.9,2.0,3.9,0.5,0.5,0.4,0.2,1.8,3.7,blairde01
26,Keith Bogans,SF,29,SAS,8,0,6.9,0.3,1.3,.200,0.1,0.8,.167,0.1,0.5,.250,.250,0.0,0.0,,0.1,0.6,0.8,0.3,0.3,0.1,0.3,1.1,0.6,boganke01
27,Matt Bonner,PF,29,SAS,10,0,17.3,1.9,4.4,.432,1.0,2.7,.370,0.9,1.7,.529,.545,0.2,0.2,1.000,0.7,2.5,3.2,0.4,0.1,0.3,0.7,2.2,5.0,bonnema01
28,Carlos Boozer,PF,28,UTA,10,10,40.2,8.9,16.8,.530,0.0,0.0,,8.9,16.8,.530,.530,1.9,3.5,.543,3.3,9.9,13.2,3.0,0.4,0.7,2.4,3.8,19.7,boozeca01
29,Primož Brezec,C,30,MIL,4,0,6.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.3,0.5,.500,0.3,0.5,0.8,0.0,0.3,0.0,0.0,1.3,2.3,brezepr01
30,Derrick Brown,SF,22,CHA,2,0,0.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,brownde04
31,Devin Brown,SG,31,CHI,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,1.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,brownde02
32,Shannon Brown,SG,24,LAL,23,0,14.1,1.8,4.7,.393,0.4,1.4,.281,1.4,3.3,.440,.435,0.9,1.2,.714,0.3,1.0,1.3,0.9,0.4,0.3,0.6,1.6,4.9,brownsh01
33,Kobe Bryant*,SG,31,LAL,23,23,40.1,10.2,22.2,.458,2.1,5.7,.374,8.0,16.5,.487,.506,6.7,8.0,.842,1.1,4.9,6.0,5.5,1.3,0.7,3.4,3.3,29.2,bryanko01
34,Caron Butler,SG,29,DAL,6,6,33.7,7.2,16.5,.434,1.2,3.8,.304,6.0,12.7,.474,.470,4.2,4.5,.926,0.5,5.3,5.8,1.3,1.5,0.8,2.5,2.7,19.7,butleca01
35,Andrew Bynum,C,22,LAL,23,23,24.4,3.5,6.5,.537,0.0,0.0,,3.5,6.5,.537,.537,1.7,2.4,.679,2.6,4.3,6.9,0.5,0.3,1.6,0.9,2.7,8.6,bynuman01
36,Marcus Camby,C,35,POR,6,6,29.7,2.7,6.3,.421,0.0,0.2,.000,2.7,6.2,.432,.421,0.5,1.0,.500,2.7,7.3,10.0,2.3,0.7,1.2,0.5,3.0,5.8,cambyma01
37,Matt Carroll,SG,29,DAL,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,carroma01
38,Anthony Carter,PG,34,DEN,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,cartean01
39,Vince Carter,SG,33,ORL,14,14,34.3,5.3,13.1,.402,0.9,3.6,.235,4.4,9.5,.466,.435,4.1,4.9,.826,0.6,3.6,4.2,2.3,0.9,0.2,1.6,3.6,15.5,cartevi01
40,Mario Chalmers,PG,23,MIA,5,0,26.2,3.6,8.0,.450,1.4,4.0,.350,2.2,4.0,.550,.538,2.2,2.6,.846,0.2,1.6,1.8,2.6,0.6,0.0,2.4,3.6,10.8,chalmma01
41,Tyson Chandler,C,27,CHA,4,0,15.0,1.5,2.8,.545,0.0,0.0,,1.5,2.8,.545,.545,0.5,0.8,.667,0.8,1.8,2.5,0.5,0.5,0.8,1.0,4.0,3.5,chandty01
42,Earl Clark,PF,22,PHO,3,0,4.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.7,0.7,1.000,0.0,0.7,0.7,0.3,0.3,0.0,0.7,0.3,1.3,clarkea01
43,Jarron Collins,C,31,PHO,11,10,10.5,0.5,1.4,.333,0.0,0.0,,0.5,1.4,.333,.333,0.2,0.2,1.000,0.8,0.7,1.5,0.0,0.1,0.1,0.3,2.0,1.1,collija03
44,Jason Collins,C,31,ATL,3,0,3.3,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.0,0.0,,1.0,0.7,1.7,0.0,0.0,0.0,0.3,2.3,2.0,collija04
45,Nick Collison,C,29,OKC,6,0,21.5,1.3,4.0,.333,0.0,0.2,.000,1.3,3.8,.348,.333,0.5,1.2,.429,2.0,2.7,4.7,0.3,0.8,0.2,0.7,3.3,3.2,collini01
46,Jamal Crawford,SG,29,ATL,11,0,31.9,5.1,14.0,.364,1.6,4.5,.360,3.5,9.5,.365,.422,4.5,5.3,.845,0.1,2.6,2.7,2.7,0.8,0.1,1.8,2.4,16.3,crawfja01
47,Dante Cunningham,PF,22,POR,5,0,8.4,1.8,3.0,.600,0.0,0.2,.000,1.8,2.8,.643,.600,1.0,1.2,.833,1.0,1.6,2.6,0.0,1.0,0.0,0.6,2.0,4.6,cunnida01
48,Erick Dampier,C,34,DAL,5,4,23.6,0.0,1.6,.000,0.0,0.0,,0.0,1.6,.000,.000,1.0,2.4,.417,3.6,3.0,6.6,0.6,0.2,1.0,1.2,3.8,1.0,dampier01
