Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Hassan Adams,SG,22,NJN,6,0,1.5,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.3,adamsha01
2,Maurice Ager,SG,22,DAL,3,0,8.0,1.7,3.0,.556,0.7,1.0,.667,1.0,2.0,.500,.667,1.0,2.0,.500,0.3,0.7,1.0,0.0,0.0,0.0,0.0,1.0,5.0,agerma01
3,Malik Allen,PF,28,CHI,5,0,6.8,0.4,2.4,.167,0.0,0.0,,0.4,2.4,.167,.167,0.0,0.0,,0.8,0.6,1.4,0.2,0.2,0.2,0.6,1.4,0.8,allenma01
4,Rafer Alston,PG,30,HOU,7,7,44.1,3.6,10.6,.338,2.3,7.1,.320,1.3,3.4,.375,.446,1.4,1.9,.769,0.9,6.0,6.9,5.0,1.9,0.4,2.4,3.3,10.9,alstora01
5,Carmelo Anthony,SF,22,DEN,5,5,42.0,9.4,19.6,.480,1.8,3.6,.500,7.6,16.0,.475,.526,6.2,7.8,.795,3.6,5.0,8.6,1.2,1.0,0.0,3.8,2.4,26.8,anthoca01
6,Rafael Araújo,C,26,UTA,5,0,5.6,0.6,1.6,.375,0.0,0.0,,0.6,1.6,.375,.375,1.0,2.4,.417,0.6,1.6,2.2,0.2,0.2,0.0,0.0,1.6,2.2,araujra01
7,Trevor Ariza,SG,21,ORL,4,0,11.8,1.3,4.0,.313,0.0,0.0,,1.3,4.0,.313,.313,0.3,1.0,.250,1.3,1.0,2.3,1.3,0.3,0.0,1.0,2.3,2.8,arizatr01
8,Carlos Arroyo,PG,27,ORL,3,0,13.3,1.7,4.7,.357,0.0,0.7,.000,1.7,4.0,.417,.357,0.7,0.7,1.000,0.7,1.0,1.7,2.0,0.3,0.0,0.3,1.3,4.0,arroyca01
9,Kelenna Azubuike,SG,23,GSW,6,0,2.5,0.2,0.5,.333,0.0,0.2,.000,0.2,0.3,.500,.333,0.3,0.3,1.000,0.2,0.5,0.7,0.0,0.2,0.0,0.0,0.2,0.7,azubuke01
10,Marcus Banks,PG,25,PHO,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,banksma01
11,Leandro Barbosa,SG,24,PHO,11,1,31.7,5.8,14.4,.405,1.6,5.4,.305,4.2,9.0,.465,.462,2.5,3.5,.718,0.6,2.8,3.5,2.2,1.1,0.2,2.0,2.7,15.8,barbole01
12,J.J. Barea,PG,22,DAL,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bareajo01
13,Andrea Bargnani,PF,21,TOR,6,3,30.2,3.7,7.7,.478,1.2,2.8,.412,2.5,4.8,.517,.554,2.5,3.2,.789,0.5,3.5,4.0,1.0,0.8,0.5,1.2,2.7,11.0,bargnan01
14,Matt Barnes,PF,26,GSW,11,3,30.0,4.1,9.1,.450,1.7,4.1,.422,2.4,5.0,.473,.545,1.2,1.6,.722,2.4,3.4,5.7,2.4,1.5,0.4,1.8,4.0,11.1,barnema02
15,Brent Barry,SG,35,SAS,19,0,11.8,1.1,3.2,.350,0.8,2.6,.306,0.3,0.6,.545,.475,0.1,0.1,1.000,0.2,1.1,1.3,1.1,0.2,0.1,0.6,0.9,3.1,barrybr01
16,Tony Battie,PF,30,ORL,4,4,21.8,1.8,4.5,.389,0.0,0.0,,1.8,4.5,.389,.389,0.3,1.0,.250,0.8,3.3,4.0,0.3,0.0,0.0,0.0,3.0,3.8,battito01
17,Shane Battier,SF,28,HOU,7,7,38.9,3.3,7.3,.451,2.7,6.1,.442,0.6,1.1,.500,.637,1.0,1.1,.875,0.4,2.1,2.6,2.1,1.7,1.0,1.1,2.9,10.3,battish01
18,Raja Bell,SG,30,PHO,11,11,39.8,3.6,7.9,.460,1.8,4.1,.444,1.8,3.8,.476,.575,1.1,1.3,.857,0.5,2.5,3.0,1.8,0.9,0.2,1.4,3.6,10.2,bellra01
19,Andris Biedriņš,C,20,GSW,11,8,24.3,2.5,3.4,.730,0.0,0.0,,2.5,3.4,.730,.730,1.5,2.7,.533,1.7,4.5,6.3,0.5,0.7,1.5,0.8,2.6,6.4,biedran01
20,Chauncey Billups,PG,30,DET,16,16,40.6,5.3,12.1,.435,2.2,5.6,.389,3.1,6.4,.476,.526,5.9,7.1,.832,0.4,2.9,3.3,5.7,1.2,0.1,2.9,2.4,18.6,billuch01
21,Steve Blake,PG,26,DEN,5,5,36.0,2.8,6.2,.452,1.6,3.2,.500,1.2,3.0,.400,.581,0.0,0.0,,0.2,2.2,2.4,4.6,0.6,0.0,2.0,1.6,7.2,blakest01
22,Andray Blatche,PF,20,WAS,2,0,12.5,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.5,0.5,1.000,1.5,2.0,3.5,0.0,0.0,0.0,0.5,1.0,4.5,blatcan01
23,Matt Bonner,PF,26,SAS,9,0,2.8,0.2,0.8,.286,0.1,0.4,.250,0.1,0.3,.333,.357,0.2,0.2,1.000,0.2,0.1,0.3,0.0,0.2,0.0,0.3,0.7,0.8,bonnema01
24,Josh Boone,PF,22,NJN,12,0,9.8,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,2.0,.500,0.6,1.0,1.6,0.3,0.1,0.3,0.3,1.3,3.0,boonejo01
25,Calvin Booth,C,30,WAS,1,0,18.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,4.0,boothca01
26,Carlos Boozer,PF,25,UTA,17,17,38.5,9.5,17.8,.536,0.0,0.0,,9.5,17.8,.536,.536,4.5,6.1,.738,3.2,9.0,12.2,2.9,1.0,0.3,3.0,3.1,23.5,boozeca01
27,Chris Bosh*,C,22,TOR,6,6,37.0,6.0,15.2,.396,0.2,0.8,.200,5.8,14.3,.407,.401,5.3,6.3,.842,1.2,7.8,9.0,2.5,0.8,1.8,2.0,3.2,17.5,boshch01
28,Bruce Bowen,SF,35,SAS,20,20,34.5,2.4,6.0,.395,1.7,3.7,.446,0.7,2.3,.311,.534,0.2,0.3,.500,0.6,3.5,4.1,1.3,1.4,0.2,0.7,2.7,6.5,bowenbr01
29,Ronnie Brewer,SG,21,UTA,8,0,5.1,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.9,1.6,.538,0.3,0.5,0.8,0.3,0.1,0.0,0.3,0.4,2.4,brewero02
30,Dee Brown,PG,22,UTA,8,0,6.5,0.8,2.1,.353,0.0,0.8,.000,0.8,1.4,.545,.353,0.1,0.5,.250,0.1,0.3,0.4,1.1,0.0,0.0,0.5,0.1,1.6,brownde03
31,Kwame Brown,C,24,LAL,5,5,26.6,3.8,7.2,.528,0.0,0.0,,3.8,7.2,.528,.528,1.0,1.8,.556,2.6,3.0,5.6,0.2,0.2,0.8,1.8,3.2,8.6,brownkw01
32,P.J. Brown,PF,37,CHI,10,10,22.8,3.3,6.7,.493,0.0,0.0,,3.3,6.7,.493,.493,1.7,2.3,.739,1.7,3.0,4.7,1.2,0.8,0.2,0.8,2.9,8.3,brownpj01
33,Shannon Brown,SG,21,CLE,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brownsh01
34,Kobe Bryant*,SG,28,LAL,5,5,43.0,12.0,26.0,.462,2.0,5.6,.357,10.0,20.4,.490,.500,6.8,7.4,.919,0.2,5.0,5.2,4.4,1.0,0.4,4.4,2.0,32.8,bryanko01
35,Greg Buckner,SG,30,DAL,6,0,7.3,0.0,1.2,.000,0.0,0.7,.000,0.0,0.5,.000,.000,0.2,0.3,.500,0.3,0.7,1.0,0.3,0.3,0.2,0.3,1.2,0.2,buckngr01
36,Pat Burke,C,33,PHO,3,0,2.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1.0,0.7,burkepa01
37,Andrew Bynum,C,19,LAL,5,0,11.0,1.6,3.0,.533,0.0,0.0,,1.6,3.0,.533,.533,0.8,2.0,.400,1.6,3.0,4.6,0.0,0.0,0.4,0.4,1.4,4.0,bynuman01
38,José Calderón,PG,25,TOR,6,1,24.3,5.8,11.5,.507,0.5,2.0,.250,5.3,9.5,.561,.529,0.8,1.0,.833,0.3,1.3,1.7,5.3,0.8,0.0,2.5,2.0,13.0,caldejo01
39,Marcus Camby,C,32,DEN,5,5,36.8,3.4,9.0,.378,0.0,0.0,,3.4,9.0,.378,.378,0.8,1.2,.667,2.4,12.4,14.8,2.0,0.8,3.2,2.0,2.8,7.6,cambyma01
40,Anthony Carter,PG,31,DEN,1,0,14.0,4.0,4.0,1.000,0.0,0.0,,4.0,4.0,1.000,1.000,0.0,1.0,.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,8.0,cartean01
41,Vince Carter,SG,30,NJN,12,12,40.6,7.8,19.6,.396,1.8,4.5,.389,6.0,15.1,.398,.440,5.1,7.3,.693,1.4,5.4,6.8,5.3,0.9,0.6,3.2,2.9,22.3,cartevi01
42,Jarron Collins,C,28,UTA,13,0,8.5,0.2,0.7,.333,0.0,0.0,,0.2,0.7,.333,.333,0.7,1.3,.529,0.6,0.9,1.5,0.4,0.3,0.0,0.1,1.6,1.2,collija03
43,Jason Collins,PF,28,NJN,12,12,27.4,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.3,0.9,.364,1.3,2.0,3.3,0.2,0.6,0.3,1.3,3.8,2.3,collija04
44,Brian Cook,PF,26,LAL,5,0,10.2,1.2,3.6,.333,0.6,1.4,.429,0.6,2.2,.273,.417,0.6,0.6,1.000,0.4,0.8,1.2,0.0,0.0,0.2,0.4,2.6,3.6,cookbr01
45,Austin Croshere,PF,31,DAL,3,0,11.3,1.3,4.0,.333,1.0,1.3,.750,0.3,2.7,.125,.458,1.3,1.3,1.000,1.0,1.0,2.0,0.0,0.0,0.0,0.7,1.7,5.0,croshau01
46,Erick Dampier,C,31,DAL,5,2,7.6,0.4,0.6,.667,0.0,0.0,,0.4,0.6,.667,.667,0.2,0.4,.500,1.8,1.6,3.4,0.2,0.0,0.0,0.8,1.8,1.0,dampier01
