Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Steven Adams,C,20,OKC,18,0,18.4,1.7,2.5,.689,0.0,0.0,,1.7,2.5,.689,.689,0.4,1.3,.348,1.2,2.9,4.1,0.2,0.1,1.3,0.6,2.7,3.9,adamsst01
2,LaMarcus Aldridge,PF,28,POR,11,11,40.1,10.3,22.7,.452,0.2,0.3,.667,10.1,22.5,.449,.456,5.5,6.8,.800,2.7,7.9,10.6,1.5,0.6,1.6,1.7,3.6,26.2,aldrila01
3,Lavoy Allen,PF,24,IND,4,0,3.8,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,1.0,allenla01
4,Ray Allen*,SG,38,MIA,20,1,26.4,3.0,7.2,.413,1.7,4.3,.388,1.3,2.9,.448,.528,1.7,1.9,.919,0.7,2.7,3.4,1.6,0.7,0.2,1.2,2.1,9.3,allenra02
5,Tony Allen,SG,32,MEM,7,1,32.9,5.0,10.3,.486,0.0,1.0,.000,5.0,9.3,.538,.486,2.3,3.0,.762,3.3,4.4,7.7,1.4,1.7,0.1,1.7,3.3,12.3,allento01
6,Chris Andersen,C,35,MIA,18,0,17.6,1.8,3.2,.579,0.0,0.1,.000,1.8,3.1,.589,.579,1.4,2.1,.684,1.4,4.5,5.9,0.3,0.3,1.0,0.5,1.9,5.1,anderch01
7,Alan Anderson,SF,31,BRK,12,2,21.8,2.1,5.2,.403,0.8,2.6,.290,1.3,2.6,.516,.476,1.0,1.5,.667,0.8,1.8,2.7,1.3,0.8,0.0,0.8,2.7,5.9,anderal01
8,Pero Antić,C,31,ATL,7,7,24.3,1.0,6.0,.167,0.4,3.6,.120,0.6,2.4,.235,.202,0.7,1.1,.625,1.4,2.4,3.9,0.7,0.7,0.4,1.1,3.7,3.1,anticpe01
9,Trevor Ariza,SF,28,WAS,11,11,37.0,4.7,9.8,.481,2.3,5.1,.446,2.5,4.7,.519,.597,1.9,2.5,.778,1.9,7.0,8.9,1.7,1.5,0.4,1.3,2.4,13.6,arizatr01
10,Hilton Armstrong,C,29,GSW,7,0,2.4,0.6,1.1,.500,0.0,0.1,.000,0.6,1.0,.571,.500,0.0,0.3,.000,0.4,0.1,0.6,0.3,0.0,0.3,0.6,0.9,1.1,armsthi01
11,Ömer Aşık,C,27,HOU,6,4,27.2,2.7,5.5,.485,0.0,0.0,,2.7,5.5,.485,.485,0.5,0.5,1.000,3.5,4.7,8.2,0.7,0.5,0.7,1.8,4.8,5.8,asikom01
12,D.J. Augustin,PG,26,CHI,5,0,28.2,4.2,14.4,.292,1.4,5.2,.269,2.8,9.2,.304,.340,3.4,3.8,.895,0.8,0.8,1.6,4.8,0.6,0.0,1.8,3.2,13.2,augusdj01
13,Jeff Ayres,PF,26,SAS,17,0,3.8,0.4,0.8,.462,0.0,0.0,,0.4,0.8,.462,.462,0.3,0.5,.625,0.4,0.8,1.1,0.3,0.0,0.0,0.1,0.4,1.0,pendeje02
14,Harrison Barnes,SF,21,GSW,7,0,22.3,2.7,6.9,.396,1.1,3.0,.381,1.6,3.9,.407,.479,1.3,2.3,.563,1.0,3.0,4.0,1.1,0.1,0.4,0.7,1.9,7.9,barneha02
15,Matt Barnes,SF,33,LAC,13,13,31.1,3.5,8.2,.421,1.5,4.6,.317,2.0,3.6,.553,.509,1.0,1.5,.684,1.7,2.8,4.5,1.8,0.9,0.2,1.3,3.2,9.4,barnema02
16,Will Barton,SG,23,POR,7,0,11.6,2.4,4.9,.500,0.9,1.6,.545,1.6,3.3,.478,.588,0.7,0.9,.833,0.7,1.0,1.7,0.4,0.1,0.3,0.9,1.0,6.4,bartowi01
17,Shane Battier,SF,35,MIA,16,6,12.6,0.8,1.6,.462,0.6,1.3,.450,0.2,0.4,.500,.635,0.3,0.3,.800,0.1,0.6,0.6,0.3,0.3,0.1,0.3,1.4,2.3,battish01
18,Nicolas Batum,SF,25,POR,11,11,41.7,6.1,12.9,.472,1.9,5.5,.350,4.2,7.5,.561,.546,1.1,1.4,.800,0.9,6.7,7.6,4.8,1.3,0.5,2.5,1.9,15.2,batumni01
19,Aron Baynes,C,27,SAS,14,0,7.2,0.9,1.7,.500,0.0,0.1,.000,0.9,1.6,.522,.500,0.6,0.7,.800,0.9,1.4,2.2,0.0,0.2,0.0,0.5,1.1,2.3,baynear01
20,Bradley Beal,SG,20,WAS,11,11,41.6,6.8,16.1,.424,2.0,4.8,.415,4.8,11.3,.427,.486,3.5,4.5,.796,1.4,3.6,5.0,4.5,1.6,0.6,2.1,2.8,19.2,bealbr01
21,Michael Beasley,SF,25,MIA,4,0,5.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.3,0.8,.333,0.5,0.5,1.0,0.5,0.0,0.0,0.3,0.8,2.8,beaslmi01
22,Marco Belinelli,SF,27,SAS,23,0,15.5,1.9,4.3,.444,0.7,1.7,.421,1.2,2.7,.459,.525,0.9,1.0,.955,0.2,2.1,2.3,0.8,0.1,0.0,0.5,1.0,5.4,belinma01
23,Patrick Beverley,PG,25,HOU,6,6,33.7,3.2,8.3,.380,1.2,3.7,.318,2.0,4.7,.429,.450,1.2,1.7,.700,2.2,2.0,4.2,1.8,0.5,0.3,0.7,3.5,8.7,beverpa01
24,Bismack Biyombo,C,21,CHA,3,1,16.0,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.7,2.0,.333,1.7,2.0,3.7,0.3,0.0,0.7,0.0,1.3,2.7,biyombi01
25,DeJuan Blair,PF,24,DAL,6,0,13.5,2.7,4.5,.593,0.0,0.0,,2.7,4.5,.593,.593,1.3,2.2,.615,2.3,3.8,6.2,0.2,2.0,0.0,0.8,2.3,6.7,blairde01
26,Steve Blake,PG,33,GSW,6,0,7.5,0.7,2.0,.333,0.5,1.7,.300,0.2,0.3,.500,.458,0.0,0.2,.000,0.2,0.5,0.7,0.3,0.0,0.0,0.3,0.3,1.8,blakest01
27,Andray Blatche,PF,27,BRK,12,0,14.3,2.2,4.8,.448,0.0,0.2,.000,2.2,4.7,.464,.448,2.1,2.5,.833,2.1,2.9,5.0,0.3,0.5,0.2,0.8,1.8,6.4,blatcan01
28,Matt Bonner,PF,33,SAS,22,2,6.2,0.5,1.0,.476,0.2,0.5,.333,0.3,0.4,.667,.571,0.1,0.2,.750,0.1,0.5,0.6,0.5,0.1,0.0,0.1,0.5,1.2,bonnema01
29,Trevor Booker,PF,26,WAS,9,1,16.2,1.4,3.2,.448,0.0,0.2,.000,1.4,3.0,.481,.448,0.4,0.7,.667,1.8,2.6,4.3,0.9,0.2,1.0,0.3,2.8,3.3,booketr01
30,Carlos Boozer,PF,32,CHI,5,5,24.2,4.0,9.4,.426,0.0,0.0,,4.0,9.4,.426,.426,1.6,1.8,.889,1.6,6.2,7.8,1.0,0.2,0.0,1.4,2.6,9.6,boozeca01
31,Chris Bosh*,C,29,MIA,20,20,34.3,5.8,11.5,.507,1.5,3.7,.405,4.3,7.8,.555,.572,1.8,2.4,.750,1.2,4.4,5.6,1.1,0.9,1.0,0.7,2.6,14.9,boshch01
32,Elton Brand,C,34,ATL,7,0,11.6,0.3,1.7,.167,0.0,0.0,,0.3,1.7,.167,.167,0.6,0.7,.800,1.0,2.3,3.3,0.9,0.1,0.9,0.0,1.4,1.1,brandel01
33,Reggie Bullock,SF,22,LAC,2,0,2.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,bullore01
34,Caron Butler,SF,33,OKC,18,2,23.3,1.9,6.0,.324,1.2,3.3,.356,0.8,2.7,.286,.421,1.2,1.6,.786,0.6,2.6,3.2,0.8,0.3,0.1,0.6,1.8,6.3,butleca01
35,Jimmy Butler,SG,24,CHI,5,5,43.6,4.4,11.4,.386,1.2,4.0,.300,3.2,7.4,.432,.439,3.6,4.6,.783,1.2,4.0,5.2,2.2,1.2,0.0,0.6,2.6,13.6,butleji01
36,Rasual Butler,SG,34,IND,11,0,6.4,0.5,1.4,.400,0.5,1.1,.417,0.1,0.3,.333,.567,0.2,0.2,1.000,0.0,0.5,0.5,0.1,0.1,0.1,0.1,0.3,1.7,butlera01
37,José Calderón,PG,32,DAL,7,7,27.3,4.3,9.3,.462,1.6,3.3,.478,2.7,6.0,.452,.546,0.1,0.1,1.000,0.3,1.0,1.3,4.4,0.1,0.0,1.0,2.3,10.3,caldejo01
38,DeMarre Carroll,SF,27,ATL,7,7,35.1,3.3,7.0,.469,1.3,3.1,.409,2.0,3.9,.519,.561,1.0,1.6,.636,1.7,3.1,4.9,1.6,0.7,0.4,1.1,3.0,8.9,carrode01
39,Vince Carter,SG,37,DAL,7,0,27.1,4.4,9.7,.456,2.1,4.4,.484,2.3,5.3,.432,.566,1.6,2.0,.786,1.0,2.6,3.6,2.4,0.4,0.3,0.9,1.7,12.6,cartevi01
40,Mario Chalmers,PG,27,MIA,20,19,26.8,2.4,5.6,.423,0.8,2.2,.349,1.6,3.4,.471,.491,1.0,1.3,.760,0.1,2.2,2.3,3.6,1.0,0.3,1.5,2.4,6.4,chalmma01
41,Victor Claver,SF,25,POR,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,.000,0.0,2.5,2.5,0.0,0.0,0.0,0.5,0.0,0.0,clavevi01
42,Norris Cole,PG,25,MIA,20,0,20.2,1.6,3.9,.410,0.8,2.0,.375,0.9,1.9,.447,.506,0.7,0.8,.867,0.1,1.1,1.1,1.8,0.5,0.1,1.0,1.7,4.6,coleno01
