,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%
1,Boston Celtics,4,960,.459,12.5,,.781,.322,.107,.130,.222,.219,,.477,.651,.250,.409,.373,.392,,.532,.862,,.059,20,,.203,.467
2,Dallas Mavericks,5,1200,.442,11.0,,.786,.356,.164,.083,.183,.214,,.462,.580,.348,.343,.390,.367,,.523,.939,,.059,23,,.400,.444
3,Denver Nuggets,5,1200,.460,13.4,,.827,.218,.133,.154,.322,.173,,.453,.610,.300,.517,.380,.492,,.525,.813,,.029,11,,.308,.600
4,Detroit Pistons,23,5620,.392,12.0,,.774,.343,.102,.124,.205,.226,,.426,.530,.379,.298,.353,.277,,.586,.861,,.060,95,,.326,.299
5,Houston Rockets,5,1225,.429,12.2,,.830,.277,.145,.150,.259,.170,,.446,.642,.368,.424,.294,.343,,.685,.957,,.056,21,,.224,.333
6,Indiana Pacers,16,3840,.397,11.9,,.835,.299,.137,.177,.222,.165,,.415,.494,.369,.374,.368,.307,,.553,.814,,.043,44,,.188,.472
7,Los Angeles Lakers,22,5330,.422,12.9,,.783,.252,.150,.159,.221,.217,,.453,.641,.315,.385,.382,.311,,.512,.805,,.040,61,,.292,.340
8,Memphis Grizzlies,4,960,.507,11.8,,.774,.288,.191,.128,.167,.226,,.516,.627,.509,.405,.417,.477,,.557,.742,,.056,13,,.308,.400
9,Miami Heat,13,3120,.405,12.8,,.759,.264,.140,.162,.193,.241,,.427,.586,.361,.364,.310,.336,,.575,.870,,.040,34,,.197,.356
10,Milwaukee Bucks,5,1200,.460,10.8,,.790,.385,.115,.120,.170,.210,,.497,.584,.370,.479,.397,.321,,.624,.815,,.098,35,,.321,.444
11,Minnesota Timberwolves,18,4345,.429,12.8,,.805,.286,.116,.106,.297,.195,,.451,.592,.343,.329,.400,.342,,.626,.887,,.049,65,,.218,.258
12,New Jersey Nets,11,2715,.392,12.0,,.814,.302,.138,.165,.209,.186,,.413,.540,.308,.410,.302,.296,,.594,.813,,.034,27,,.210,.324
13,New Orleans Hornets,7,1680,.404,12.5,,.791,.319,.093,.106,.273,.209,,.444,.548,.449,.429,.326,.255,,.465,1.000,,.038,19,,.209,.348
14,New York Knicks,4,960,.476,11.4,,.781,.375,.108,.111,.188,.219,,.533,.648,.355,.563,.389,.270,,.617,.882,,.104,27,,.127,.250
15,Sacramento Kings,12,2905,.414,12.2,,.808,.266,.164,.133,.244,.192,,.431,.533,.394,.341,.395,.342,,.501,.838,,.027,27,,.291,.328
16,San Antonio Spurs,10,2400,.453,11.2,,.820,.308,.191,.146,.175,.180,,.481,.642,.415,.359,.371,.323,,.502,.951,,.062,42,,.252,.188
,League Average,10,2479,.421,12.1,,.797,.297,.135,.139,.226,.203,,.445,.576,.362,.376,.366,.324,,.560,.857,,.049,35,,.259,.345
