,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Boston Celtics,19,4610,.437,13.4,,.633,.289,.154,.099,.091,.367,,.493,.646,.303,.417,.410,.343,,.481,.834,,.057,76,,.198,.435,,2,0
2,Cleveland Cavaliers,22,5330,.450,13.9,,.630,.274,.138,.106,.112,.370,,.520,.726,.365,.356,.363,.331,,.414,.810,,.048,81,,.241,.366,,7,1
3,Golden State Warriors,21,5065,.480,14.6,,.635,.243,.107,.153,.132,.365,,.550,.738,.378,.444,.464,.357,,.596,.732,,.073,122,,.200,.379,,5,0
4,Houston Rockets,17,4080,.436,14.5,,.534,.245,.170,.083,.037,.466,,.522,.679,.366,.483,.283,.337,,.441,.623,,.058,82,,.232,.439,,2,0
5,Indiana Pacers,7,1680,.481,13.1,,.661,.337,.118,.080,.127,.339,,.544,.709,.394,.422,.324,.358,,.475,.765,,.039,19,,.247,.362,,3,0
6,Miami Heat,5,1200,.442,13.2,,.667,.304,.114,.116,.133,.333,,.467,.571,.319,.438,.382,.391,,.535,.926,,.056,19,,.152,.667,,1,0
7,Milwaukee Bucks,7,1705,.500,13.1,,.672,.270,.170,.128,.104,.328,,.563,.750,.419,.457,.439,.372,,.444,.925,,.077,40,,.244,.386,,2,0
8,Minnesota Timberwolves,5,1200,.460,11.2,,.736,.339,.194,.092,.111,.264,,.477,.621,.375,.289,.370,.413,,.490,.911,,.031,13,,.358,.487,,1,0
9,New Orleans Pelicans,9,2160,.478,12.6,,.699,.286,.176,.131,.108,.301,,.526,.714,.451,.330,.379,.366,,.579,.787,,.058,45,,.156,.368,,4,1
10,Oklahoma City Thunder,6,1440,.430,13.5,,.667,.268,.146,.123,.129,.333,,.462,.619,.289,.453,.343,.364,,.350,.667,,.058,29,,.214,.405,,3,0
11,Philadelphia 76ers,10,2425,.437,12.8,,.669,.316,.157,.095,.101,.331,,.486,.621,.345,.357,.404,.338,,.569,.949,,.045,36,,.126,.432,,1,0
12,Portland Trail Blazers,4,960,.453,12.6,,.646,.343,.121,.107,.074,.354,,.519,.672,.364,.308,.370,.333,,.336,.814,,.063,21,,.217,.357,,1,0
13,San Antonio Spurs,5,1200,.413,14.3,,.663,.189,.196,.131,.148,.337,,.471,.747,.378,.418,.290,.298,,.458,.833,,.041,15,,.213,.367,,3,0
14,Toronto Raptors,10,2425,.473,12.1,,.676,.330,.177,.101,.067,.324,,.513,.618,.486,.325,.345,.390,,.470,.808,,.049,35,,.217,.431,,2,0
15,Utah Jazz,11,2640,.455,12.2,,.639,.334,.180,.058,.066,.361,,.509,.666,.335,.302,.383,.359,,.434,.797,,.081,67,,.261,.430,,2,0
16,Washington Wizards,6,1440,.466,12.9,,.744,.252,.159,.157,.176,.256,,.500,.667,.383,.438,.422,.366,,.526,.833,,.057,29,,.176,.478,,3,0
,League Average,10,2513,.456,13.4,,.645,.283,.151,.109,.102,.355,,.513,.678,.371,.400,.388,.351,,.485,.788,,.057,46,,.215,.412,,2.6,0.1
