,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Boston Celtics,4,960,.408,12.7,,.777,.323,.110,.131,.213,.223,,.429,.527,.355,.378,.350,.333,,.553,.857,,.046,12,,.206,.538,,1,0
2,Dallas Mavericks,5,1200,.396,11.0,,.820,.317,.191,.110,.201,.180,,.420,.510,.391,.226,.412,.287,,.488,.880,,.023,11,,.253,.364,,0,0
3,Denver Nuggets,5,1200,.427,12.1,,.851,.310,.089,.149,.303,.149,,.442,.600,.282,.308,.394,.338,,.530,.682,,.057,23,,.108,.143,,2,0
4,Detroit Pistons,23,5620,.412,11.4,,.818,.332,.131,.164,.192,.182,,.436,.560,.306,.413,.327,.304,,.595,.773,,.063,97,,.270,.384,,2,0
5,Houston Rockets,5,1225,.427,12.6,,.796,.255,.180,.134,.226,.204,,.459,.674,.313,.360,.393,.303,,.493,.826,,.043,16,,.303,.391,,1,0
6,Indiana Pacers,16,3840,.408,12.5,,.763,.292,.135,.161,.176,.237,,.432,.575,.358,.352,.322,.333,,.508,.895,,.045,48,,.270,.377,,1,0
7,Los Angeles Lakers,22,5330,.444,12.0,,.793,.306,.148,.135,.204,.207,,.476,.643,.409,.357,.352,.321,,.639,.945,,.067,103,,.253,.256,,4,0
8,Memphis Grizzlies,4,960,.424,10.7,,.824,.324,.210,.114,.176,.176,,.452,.596,.393,.394,.294,.294,,.407,.933,,.048,13,,.294,.200,,1,0
9,Miami Heat,13,3120,.408,12.3,,.821,.302,.116,.135,.267,.179,,.437,.534,.434,.382,.358,.276,,.479,.938,,.038,34,,.172,.367,,4,0
10,Milwaukee Bucks,5,1200,.416,11.5,,.815,.355,.085,.144,.231,.185,,.435,.486,.455,.286,.444,.333,,.601,.833,,.057,22,,.375,.370,,0,0
11,Minnesota Timberwolves,18,4345,.441,13.5,,.802,.215,.136,.173,.278,.198,,.454,.594,.344,.454,.399,.387,,.519,.802,,.028,37,,.270,.378,,5,0
12,New Jersey Nets,11,2715,.423,11.7,,.775,.373,.096,.091,.215,.225,,.467,.582,.325,.397,.360,.272,,.628,.878,,.079,57,,.228,.293,,2,0
13,New Orleans Hornets,7,1680,.384,13.4,,.757,.262,.103,.152,.240,.243,,.406,.550,.273,.358,.336,.315,,.622,.805,,.036,18,,.138,.278,,0,0
14,New York Knicks,4,960,.384,12.0,,.819,.281,.144,.153,.241,.181,,.405,.533,.304,.408,.312,.293,,.613,.765,,.025,8,,.241,.357,,0,0
15,Sacramento Kings,12,2905,.425,12.5,,.798,.298,.139,.075,.285,.202,,.445,.562,.341,.360,.394,.348,,.592,.929,,.047,43,,.343,.348,,2,0
16,San Antonio Spurs,10,2400,.440,12.7,,.752,.252,.176,.136,.188,.248,,.464,.609,.433,.337,.392,.365,,.515,.826,,.035,22,,.328,.355,,0,0
,League Average,10,2491,.421,12.2,,.797,.297,.135,.139,.226,.203,,.445,.576,.362,.376,.366,.324,,.560,.857,,.049,35,,.259,.345,,1.6,0.0
