,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Chicago Bulls,6,1440,.445,13.8,,.740,.255,.100,.114,.271,.260,,.463,.556,.478,.365,.411,.395,,.452,.830,,.015,7,,.244,.448,,0,0
2,Cleveland Cavaliers,13,3170,.437,11.1,,.828,.378,.101,.130,.218,.172,,.462,.635,.337,.300,.317,.320,,.455,.655,,.048,44,,.366,.349,,1,0
3,Dallas Mavericks,23,5620,.451,12.1,,.812,.275,.142,.188,.207,.188,,.482,.589,.379,.447,.444,.317,,.347,.918,,.039,66,,.303,.362,,2,0
4,Denver Nuggets,5,1200,.380,12.1,,.841,.301,.112,.124,.305,.159,,.410,.558,.375,.264,.336,.221,,.581,.867,,.042,15,,.191,.154,,1,0
5,Detroit Pistons,18,4320,.432,13.4,,.751,.258,.087,.203,.203,.249,,.452,.597,.410,.332,.404,.372,,.526,.782,,.040,48,,.324,.306,,2,1
6,Indiana Pacers,6,1440,.443,13.7,,.723,.254,.107,.161,.201,.277,,.482,.542,.533,.456,.400,.342,,.503,.825,,.038,16,,.239,.464,,0,0
7,Los Angeles Clippers,12,2930,.491,12.0,,.852,.271,.151,.195,.235,.148,,.511,.673,.432,.455,.421,.378,,.481,.852,,.043,39,,.182,.385,,2,0
8,Los Angeles Lakers,7,1730,.454,12.5,,.742,.306,.177,.100,.160,.258,,.495,.697,.359,.345,.355,.333,,.388,.740,,.043,23,,.200,.333,,2,0
9,Memphis Grizzlies,4,985,.451,10.4,,.820,.346,.207,.083,.184,.180,,.482,.576,.455,.500,.327,.313,,.410,.867,,.045,11,,.229,.455,,0,0
10,Miami Heat,23,5545,.481,11.9,,.736,.328,.160,.088,.160,.264,,.534,.658,.438,.425,.434,.333,,.417,.884,,.078,124,,.292,.344,,7,0
11,Milwaukee Bucks,5,1200,.471,11.2,,.845,.339,.095,.187,.224,.155,,.481,.559,.579,.453,.344,.419,,.515,.808,,.050,19,,.306,.579,,0,0
12,New Jersey Nets,11,2640,.452,12.6,,.770,.303,.135,.092,.239,.230,,.495,.605,.425,.468,.407,.307,,.591,.932,,.050,41,,.286,.364,,2,0
13,Phoenix Suns,20,4900,.482,12.6,,.717,.320,.118,.124,.155,.283,,.518,.648,.403,.447,.395,.391,,.496,.880,,.043,67,,.240,.434,,3,0
14,Sacramento Kings,6,1465,.443,12.1,,.800,.301,.162,.094,.243,.200,,.472,.617,.447,.409,.333,.330,,.390,.742,,.045,15,,.245,.261,,1,0
15,San Antonio Spurs,13,3195,.492,11.2,,.793,.313,.213,.094,.173,.207,,.518,.671,.420,.374,.443,.392,,.391,.923,,.035,32,,.352,.414,,0,0
16,Washington Wizards,6,1490,.449,12.9,,.756,.292,.167,.074,.222,.244,,.490,.645,.342,.514,.390,.322,,.440,.757,,.047,22,,.191,.409,,1,0
,League Average,11,2732,.459,12.2,,.777,.302,.138,.135,.202,.223,,.491,.626,.413,.407,.397,.349,,.452,.845,,.046,37,,.275,.372,,1.5,0.1
