,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Atlanta Hawks,11,2640,.409,12.7,,.762,.285,.156,.109,.212,.238,,.428,.563,.381,.318,.337,.347,,.508,.776,,.059,41,,.301,.241,,3,0
2,Boston Celtics,14,3535,.445,12.9,,.778,.302,.119,.108,.249,.222,,.469,.545,.464,.441,.392,.360,,.544,.926,,.021,23,,.268,.329,,2,0
3,Chicago Bulls,7,1855,.441,12.7,,.779,.333,.084,.110,.252,.221,,.459,.512,.392,.388,.442,.378,,.472,.706,,.044,23,,.207,.500,,2,0
4,Cleveland Cavaliers,14,3385,.463,13.8,,.737,.287,.094,.094,.261,.263,,.508,.656,.434,.384,.418,.336,,.500,.763,,.058,55,,.329,.363,,2,1
5,Dallas Mavericks,10,2400,.470,13.7,,.728,.240,.125,.145,.217,.272,,.514,.610,.432,.473,.482,.354,,.435,.795,,.034,25,,.277,.456,,1,0
6,Denver Nuggets,16,3840,.475,12.5,,.731,.361,.088,.077,.206,.269,,.509,.614,.464,.351,.403,.383,,.570,.744,,.081,95,,.187,.460,,5,0
7,Detroit Pistons,4,960,.409,14.2,,.841,.234,.078,.110,.419,.159,,.440,.583,.250,.324,.426,.245,,.474,1.000,,.016,5,,.449,.318,,2,0
8,Houston Rockets,13,3120,.447,13.0,,.735,.315,.119,.087,.213,.265,,.490,.567,.466,.395,.427,.328,,.447,.721,,.035,31,,.237,.339,,6,0
9,Los Angeles Lakers,23,5570,.465,12.3,,.771,.302,.152,.125,.192,.229,,.491,.583,.480,.457,.376,.377,,.451,.813,,.060,102,,.262,.477,,4,0
10,Miami Heat,7,1680,.450,15.0,,.713,.216,.097,.138,.263,.287,,.487,.638,.426,.463,.398,.357,,.444,.600,,.045,19,,.143,.450,,3,0
11,New Orleans Hornets,5,1200,.396,12.7,,.738,.322,.085,.117,.214,.262,,.421,.566,.267,.366,.293,.326,,.505,.800,,.057,19,,.283,.423,,0,0
12,Orlando Magic,24,5835,.457,12.9,,.691,.293,.161,.102,.136,.309,,.501,.596,.454,.413,.419,.360,,.451,.846,,.059,99,,.306,.415,,5,0
13,Philadelphia 76ers,6,1440,.453,12.7,,.789,.296,.109,.136,.249,.211,,.476,.594,.429,.410,.393,.368,,.432,.971,,.051,23,,.295,.357,,2,0
14,Portland Trail Blazers,6,1440,.447,13.4,,.810,.251,.114,.172,.273,.190,,.461,.643,.412,.442,.328,.388,,.377,.758,,.054,22,,.224,.526,,3,0
15,San Antonio Spurs,5,1200,.457,12.5,,.770,.287,.146,.146,.191,.230,,.495,.618,.339,.393,.507,.330,,.377,.862,,.029,10,,.386,.441,,1,0
16,Utah Jazz,5,1200,.432,11.8,,.820,.351,.072,.104,.294,.180,,.452,.563,.448,.500,.303,.342,,.700,.880,,.062,25,,.205,.467,,0,0
,League Average,11,2625,.451,12.9,,.751,.298,.122,.112,.220,.249,,.483,.589,.437,.415,.399,.357,,.482,.800,,.051,39,,.267,.403,,2.6,0.1
