,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Atlanta Hawks,10,2425,.432,13.4,,.625,.333,.114,.070,.106,.375,,.491,.592,.474,.390,.267,.333,,.512,.877,,.033,26,,.208,.318,,0,0
2,Boston Celtics,6,1465,.384,13.3,,.648,.356,.074,.082,.136,.352,,.443,.513,.400,.455,.274,.275,,.526,.846,,.019,10,,.249,.340,,1,0
3,Charlotte Hornets,7,1680,.396,11.5,,.769,.339,.178,.115,.137,.231,,.423,.508,.380,.369,.312,.308,,.366,.700,,.021,10,,.138,.278,,1,0
4,Cleveland Cavaliers,21,5040,.469,13.8,,.630,.290,.132,.097,.111,.370,,.506,.643,.344,.413,.421,.406,,.437,.798,,.060,95,,.287,.456,,4,0
5,Dallas Mavericks,5,1200,.436,12.6,,.736,.293,.163,.123,.160,.264,,.488,.605,.394,.360,.462,.290,,.521,.871,,.057,20,,.215,.304,,2,0
6,Detroit Pistons,4,960,.478,12.6,,.691,.296,.176,.126,.093,.309,,.524,.674,.358,.421,.500,.376,,.505,.914,,.027,8,,.323,.500,,1,0
7,Golden State Warriors,24,5785,.455,14.3,,.621,.278,.131,.125,.088,.379,,.492,.618,.372,.395,.409,.393,,.532,.810,,.056,105,,.230,.413,,9,0
8,Houston Rockets,5,1200,.386,13.1,,.668,.234,.243,.112,.079,.332,,.444,.600,.337,.354,.441,.268,,.480,.763,,.063,25,,.289,.268,,3,0
9,Indiana Pacers,7,1680,.441,13.1,,.716,.267,.177,.090,.181,.284,,.464,.550,.366,.404,.463,.383,,.460,.825,,.048,24,,.336,.340,,1,0
10,Los Angeles Clippers,6,1440,.437,13.3,,.771,.237,.176,.155,.202,.229,,.481,.669,.411,.405,.379,.291,,.418,.882,,.061,29,,.120,.214,,1,0
11,Memphis Grizzlies,4,960,.394,11.6,,.803,.354,.154,.080,.218,.197,,.418,.487,.240,.423,.423,.297,,.459,.842,,.031,9,,.234,.333,,2,0
12,Miami Heat,14,3435,.458,12.7,,.762,.257,.192,.146,.169,.238,,.489,.645,.444,.433,.347,.358,,.362,.802,,.041,39,,.351,.404,,5,0
13,Oklahoma City Thunder,18,4320,.452,12.9,,.705,.297,.134,.129,.147,.295,,.502,.632,.377,.367,.471,.333,,.458,.819,,.059,79,,.304,.368,,3,0
14,Portland Trail Blazers,11,2665,.416,14.3,,.649,.264,.123,.123,.138,.351,,.436,.548,.339,.380,.356,.381,,.516,.718,,.050,43,,.250,.442,,2,0
15,San Antonio Spurs,10,2400,.470,12.3,,.769,.277,.164,.169,.159,.231,,.481,.596,.481,.374,.397,.432,,.462,.878,,.035,28,,.326,.500,,2,0
16,Toronto Raptors,20,4875,.421,13.4,,.718,.244,.173,.122,.179,.282,,.469,.636,.367,.434,.364,.298,,.380,.774,,.044,61,,.272,.320,,2,0
,League Average,11,2646,.440,13.3,,.690,.283,.150,.119,.138,.310,,.478,.605,.384,.399,.390,.355,,.455,.809,,.047,38,,.264,.389,,2.4,0.0
