,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Jaren Jackson Jr.,23,MEM,195,200,0.975,63,28.4,18.6,6.8,1.0,1.0,3.0,.506,.355,.788,6.6,.177,3.8,2.0,105,jacksja02
1st,G,Jrue Holiday,32,MIL,192,200,0.960,67,32.6,19.3,5.1,7.4,1.2,0.4,.479,.384,.859,6.7,.148,2.8,0.1,112,holidjr01
1st,C,Brook Lopez,34,MIL,181,200,0.905,78,30.4,15.9,6.7,1.3,0.5,2.5,.531,.374,.784,8.0,.161,3.9,1.3,109,lopezbr01
1st,F,Evan Mobley,21,CLE,132,200,0.660,79,34.4,16.2,9.0,2.8,0.8,1.5,.554,.216,.674,8.5,.151,4.8,1.6,108,mobleev01
1st,G,Alex Caruso,28,CHI,125,200,0.625,67,23.5,5.6,2.9,2.9,1.5,0.7,.455,.364,.808,3.6,.109,2.6,3.3,109,carusal01
2nd,G,Derrick White,28,BOS,99,200,0.495,82,28.3,12.4,3.6,3.9,0.7,0.9,.462,.381,.875,7.4,.154,3.1,1.3,112,whitede01
2nd,F,Draymond Green,32,GSW,89,200,0.445,73,31.5,8.5,7.2,6.8,1.0,0.8,.527,.305,.713,4.7,.098,3.1,2.6,112,greendr01
2nd,F,OG Anunoby,25,TOR,81,200,0.405,67,35.6,16.8,5.0,2.0,1.9,0.7,.476,.387,.838,4.7,.094,2.9,0.7,113,anunoog01
2nd,G,Dillon Brooks,27,MEM,54,200,0.270,73,30.3,14.3,3.3,2.6,0.9,0.2,.396,.326,.779,1.6,.034,2.4,-0.5,114,brookdi01
2nd,C,Bam Adebayo,25,MIA,53,200,0.265,75,34.6,20.4,9.2,3.2,1.2,0.8,.540,.083,.806,7.4,.137,3.8,0.8,111,adebaba01
ORV,F,Giannis Antetokounmpo,28,MIL,60,200,0.300,63,32.1,31.1,11.8,5.7,0.8,0.8,.553,.275,.645,8.6,.204,3.7,2.7,108,antetgi01
ORV,F,Jaden McDaniels,22,MIN,40,200,0.200,79,30.6,12.1,3.9,1.9,0.9,1.0,.517,.398,.736,4.4,.087,2.4,0.5,115,mcdanja02
ORV,G,Marcus Smart,28,BOS,35,200,0.175,61,32.1,11.5,3.1,6.3,1.5,0.4,.415,.336,.746,3.7,.092,2.7,0.8,112,smartma01
ORV,G,Mikal Bridges,26,TOT,33,200,0.165,83,35.7,20.1,4.4,3.3,1.1,0.7,.468,.382,.895,7.5,.121,3.1,0.2,115,bridgmi01
ORV,C,Nic Claxton,23,BRK,25,200,0.125,76,29.9,12.6,9.2,1.9,0.9,2.5,.705,.000,.541,9.2,.195,4.0,2.2,108,claxtni01
ORV,G,Jimmy Butler,33,MIA,23,200,0.115,64,33.4,22.9,5.9,5.3,1.8,0.3,.539,.350,.850,12.3,.277,2.9,2.0,112,butleji01
ORV,C,Joel Embiid,28,PHI,15,200,0.075,66,34.6,33.1,10.2,4.2,1.0,1.7,.548,.330,.857,12.3,.259,3.9,2.3,109,embiijo01
ORV,G,Herbert Jones,24,NOP,15,200,0.075,66,29.6,9.8,4.1,2.5,1.6,0.6,.469,.335,.764,4.2,.104,2.7,1.7,112,joneshe01
ORV,F,Anthony Davis,29,LAL,9,200,0.045,56,34.0,25.9,12.5,2.6,1.1,2.0,.563,.257,.784,9.0,.226,3.4,1.7,108,davisan02
ORV,G,Luguentz Dort,23,OKC,9,200,0.045,74,30.7,13.7,4.6,2.1,1.0,0.3,.388,.330,.772,2.9,.062,2.1,-1.0,116,dortlu01
ORV,G,Jaylen Brown,26,BOS,4,200,0.020,67,35.9,26.6,6.9,3.5,1.1,0.4,.491,.335,.765,5.0,.100,3.4,-0.2,111,brownja02
ORV,G,Anthony Edwards,21,MIN,4,200,0.020,79,36.0,24.6,5.8,4.4,1.6,0.7,.459,.369,.756,3.8,.064,3.6,0.0,113,edwaran01
ORV,G,Matisse Thybulle,25,TOT,4,200,0.020,71,16.9,4.1,2.0,0.7,1.2,0.5,.435,.365,.679,2.1,.086,1.5,2.2,113,thybuma01
ORV,C,Jarrett Allen,24,CLE,3,200,0.015,68,32.6,14.3,9.8,1.7,0.8,1.2,.644,.100,.733,9.5,.205,4.0,1.0,108,allenja01
ORV,G,Shai Gilgeous-Alexander,24,OKC,3,200,0.015,68,35.5,31.4,4.8,5.5,1.6,1.0,.510,.345,.905,11.4,.226,3.0,1.5,113,gilgesh01
ORV,G,Dejounte Murray,26,ATL,3,200,0.015,74,36.4,20.5,5.3,6.1,1.5,0.3,.464,.344,.832,4.7,.084,2.3,0.0,116,murrade01
ORV,G,Paul George,32,LAC,2,200,0.010,56,34.6,23.8,6.1,5.1,1.5,0.4,.457,.371,.871,4.6,.114,2.3,0.3,113,georgpa01
ORV,G,Tyrese Haliburton,22,IND,2,200,0.010,56,33.6,20.7,3.7,10.4,1.6,0.4,.490,.400,.871,7.6,.195,1.2,0.2,118,halibty01
ORV,F,Desmond Bane,24,MEM,1,200,0.005,58,31.7,21.5,5.0,4.4,1.0,0.4,.479,.408,.883,5.8,.151,2.3,0.1,113,banede01
ORV,F,Scottie Barnes,21,TOR,1,200,0.005,77,34.8,15.3,6.6,4.8,1.1,0.8,.456,.281,.772,5.0,.090,2.7,-0.1,115,barnesc01
ORV,G,Patrick Beverley,34,TOT,1,200,0.005,67,27.1,6.2,3.7,2.9,0.9,0.6,.400,.335,.723,3.0,.079,2.1,1.7,113,beverpa01
ORV,F,Kevin Durant,34,TOT,1,200,0.005,47,35.6,29.1,6.7,5.0,0.7,1.4,.560,.404,.919,6.8,.194,2.1,1.2,113,duranke01
ORV,F,Aaron Gordon,27,DEN,1,200,0.005,68,30.2,16.3,6.6,3.0,0.8,0.8,.564,.347,.608,6.8,.158,2.2,-0.3,115,gordoaa01
