,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,C,Rudy Gobert,25,UTA,192,200,0.960,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214,3.9,2.5,99,goberru01
1st,F,Anthony Davis,24,NOP,163,200,0.815,75,36.4,28.1,11.1,2.3,1.5,2.6,.534,.340,.828,13.7,.241,4.9,1.4,102,davisan02
1st,G,Victor Oladipo,25,IND,136,200,0.680,75,34.0,23.1,5.2,4.3,2.4,0.8,.477,.371,.799,8.2,.155,4.0,1.7,104,oladivi01
1st,G,Jrue Holiday,27,NOP,105,200,0.525,81,36.1,19.0,4.5,6.0,1.5,0.8,.494,.337,.786,7.1,.116,2.9,0.3,109,holidjr01
1st,F,Robert Covington,27,PHI,90,200,0.450,80,31.7,12.6,5.4,2.0,1.7,0.9,.413,.369,.853,6.1,.116,4.5,1.7,103,covinro01
2nd,C,Joel Embiid,23,PHI,90,200,0.450,63,30.3,22.9,11.0,3.2,0.6,1.8,.483,.308,.769,6.2,.155,3.8,1.3,100,embiijo01
2nd,F,Draymond Green,27,GSW,86,200,0.430,70,32.7,11.0,7.6,7.3,1.4,1.3,.454,.301,.775,6.1,.127,3.4,1.9,105,greendr01
2nd,F,Al Horford,31,BOS,85,200,0.425,72,31.6,12.9,7.4,4.7,0.6,1.1,.489,.429,.783,7.8,.165,3.8,2.0,103,horfoal01
2nd,G,Dejounte Murray,21,SAS,80,200,0.400,81,21.5,8.1,5.7,2.9,1.2,0.4,.443,.265,.709,3.2,.087,3.4,2.2,101,murrade01
2nd,G,Jimmy Butler,28,MIN,79,200,0.395,59,36.7,22.2,5.3,4.9,2.0,0.4,.474,.350,.854,8.9,.198,1.8,0.7,110,butleji01
ORV,G,Chris Paul,32,HOU,74,200,0.370,58,31.8,18.6,5.4,7.9,1.7,0.2,.460,.380,.919,10.2,.265,2.7,1.8,105,paulch01
ORV,F,Paul George,27,OKC,69,200,0.345,79,36.6,21.9,5.7,3.3,2.0,0.5,.430,.401,.822,8.9,.147,3.9,0.6,106,georgpa01
ORV,F,Giannis Antetokounmpo,23,MIL,43,200,0.215,75,36.7,26.9,10.0,4.8,1.5,1.4,.529,.307,.760,11.9,.207,3.6,0.9,106,antetgi01
ORV,F,Kevin Durant,29,GSW,31,200,0.155,68,34.2,26.4,6.8,5.4,0.7,1.8,.516,.419,.889,10.4,.215,2.9,0.6,107,duranke01
ORV,G,Klay Thompson,27,GSW,24,200,0.120,73,34.3,20.0,3.8,2.5,0.8,0.5,.488,.440,.837,4.9,.094,1.8,-2.1,111,thompkl01
ORV,G,Josh Richardson,24,MIA,22,200,0.110,81,33.2,12.9,3.5,2.9,1.5,0.9,.451,.378,.845,5.4,.096,3.5,1.3,106,richajo01
ORV,G,Marcus Smart,23,BOS,18,200,0.090,54,29.9,10.2,3.5,4.8,1.3,0.4,.367,.301,.729,1.9,.056,2.5,1.0,104,smartma01
ORV,F,Andre Roberson,26,OKC,17,200,0.085,39,26.6,5.0,4.7,1.2,1.2,0.9,.537,.222,.316,2.2,.100,1.3,1.8,107,roberan03
ORV,G,Jaylen Brown,21,BOS,16,200,0.080,70,30.7,14.5,4.9,1.6,1.0,0.4,.465,.395,.644,4.5,.100,3.2,0.3,105,brownja02
ORV,G,Ben Simmons,21,PHI,16,200,0.080,81,33.7,15.8,8.1,8.2,1.7,0.9,.545,.000,.560,9.2,.162,5.0,2.5,102,simmobe01
ORV,F,P.J. Tucker,32,HOU,13,200,0.065,82,27.8,6.1,5.6,0.9,1.0,0.3,.390,.371,.717,3.9,.082,3.0,0.8,106,tuckepj01
