,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Bruce Bowen,35,SAS,42,60,0.700,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,.384,.589,4.1,.079,3.6,1.4,103,bowenbr01
1st,F,Tim Duncan,30,SAS,36,60,0.600,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230,6.8,3.2,94,duncati01
1st,C,Marcus Camby,32,DEN,34,60,0.567,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,5.1,3.9,97,cambyma01
1st,G,Kobe Bryant,28,LAL,32,60,0.533,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199,2.2,-0.5,109,bryanko01
1st,G,Raja Bell,30,PHO,25,60,0.417,78,37.4,14.7,3.2,2.5,0.6,0.3,.432,.413,.776,5.8,.095,1.6,-0.6,110,bellra01
2nd,C,Ben Wallace,32,CHI,33,60,0.550,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,.200,.408,8.2,.146,6.6,3.3,95,wallabe01
2nd,G,Jason Kidd,33,NJN,23,60,0.383,80,36.7,13.0,8.2,9.2,1.6,0.3,.406,.343,.778,9.3,.152,4.1,1.5,103,kiddja01
2nd,F,Tayshaun Prince,26,DET,21,60,0.350,82,36.6,14.3,5.2,2.8,0.6,0.7,.460,.386,.768,8.0,.128,2.9,-0.4,107,princta01
2nd,F,Kevin Garnett,30,MIN,20,60,0.333,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171,4.9,1.7,101,garneke01
2nd,G,Kirk Hinrich,26,CHI,18,60,0.300,80,35.5,16.6,3.4,6.3,1.3,0.3,.448,.415,.835,10.1,.171,4.6,1.1,102,hinriki01
ORV,F,Shane Battier,28,HOU,17,60,0.283,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,.421,.779,9.0,.144,4.6,2.0,102,battish01
ORV,F,Shawn Marion,28,PHO,15,60,0.250,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191,5.3,1.9,100,mariosh01
ORV,G,Chauncey Billups,30,DET,13,60,0.217,70,36.2,17.0,3.4,7.2,1.2,0.2,.427,.345,.883,11.4,.216,2.7,0.5,106,billuch01
ORV,F,Metta World Peace,27,SAC,12,60,0.200,70,37.7,18.8,6.5,3.4,2.1,0.6,.440,.358,.740,6.7,.122,3.1,0.9,105,artesro01
ORV,F,Gerald Wallace,24,CHA,11,60,0.183,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,.325,.691,7.7,.141,3.5,1.5,104,wallage01
ORV,C,Alonzo Mourning,36,MIA,9,60,0.150,77,20.4,8.6,4.5,0.2,0.2,2.3,.560,,.601,3.5,.107,2.5,1.2,102,mournal01
ORV,C,Tyson Chandler,24,NOK,8,60,0.133,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150,3.8,0.7,103,chandty01
ORV,G,Devin Harris,23,DAL,8,60,0.133,80,26.0,10.2,2.5,3.7,1.2,0.3,.492,.280,.824,6.5,.151,2.9,1.6,104,harride01
ORV,F,Josh Howard,26,DAL,7,60,0.117,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173,3.8,0.4,102,howarjo01
ORV,C,Emeka Okafor,24,CHA,6,60,0.100,67,34.8,14.4,11.3,1.2,0.9,2.6,.532,,.593,7.1,.147,3.6,0.9,102,okafoem01
ORV,F,Luol Deng,21,CHI,5,60,0.083,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176,5.6,1.3,100,denglu01
ORV,C,Dwight Howard,21,ORL,5,60,0.083,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154,5.8,1.1,99,howardw01
ORV,F,Andrei Kirilenko,25,UTA,5,60,0.083,70,29.3,8.3,4.7,2.9,1.1,2.1,.471,.213,.728,4.4,.104,2.9,3.1,103,kirilan01
ORV,F,Rasheed Wallace,32,DET,5,60,0.083,75,32.3,12.3,7.2,1.7,1.0,1.6,.423,.351,.788,6.2,.123,4.4,1.6,100,wallara01
ORV,G,Manu Ginóbili,29,SAS,4,60,0.067,75,27.5,16.5,4.4,3.5,1.5,0.4,.464,.396,.860,10.6,.246,4.3,2.5,98,ginobma01
ORV,F,Josh Smith,21,ATL,4,60,0.067,72,36.8,16.4,8.6,3.3,1.4,2.9,.439,.250,.693,4.4,.079,4.0,1.7,102,smithjo03
ORV,G,Richard Hamilton,28,DET,3,60,0.050,75,36.8,19.8,3.8,3.8,0.8,0.2,.468,.341,.861,8.1,.141,2.4,-0.5,108,hamilri01
ORV,G,Andre Iguodala,23,PHI,3,60,0.050,76,40.3,18.2,5.7,5.7,2.0,0.4,.447,.310,.820,7.7,.120,3.6,1.1,105,iguodan01
ORV,C,Jermaine O'Neal,28,IND,3,60,0.050,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,.000,.767,4.7,.091,4.1,1.2,101,onealje01
ORV,G,Deron Williams,22,UTA,3,60,0.050,80,36.9,16.2,3.3,9.3,1.0,0.2,.456,.322,.767,7.2,.117,1.9,-1.3,110,willide01
ORV,F,Elton Brand,27,LAC,2,60,0.033,80,38.5,20.5,9.3,2.9,1.0,2.2,.533,1.000,.761,11.5,.180,4.3,0.8,103,brandel01
