,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,C,Dwight Howard,25,ORL,56,60,0.933,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,7.7,2.4,94,howardw01
1st,G,Rajon Rondo,24,BOS,39,60,0.650,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,.233,.568,6.6,.126,4.8,1.4,100,rondora01
1st,F,LeBron James,26,MIA,38,60,0.633,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,.330,.759,15.6,.244,5.3,1.8,102,jamesle01
1st,G,Kobe Bryant,32,LAL,33,60,0.550,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,.323,.828,10.3,.178,3.5,-0.2,105,bryanko01
1st,F,Kevin Garnett,34,BOS,33,60,0.550,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,.200,.862,9.0,.194,5.6,2.9,95,garneke01
2nd,G,Tony Allen,29,MEM,23,60,0.383,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,2.7,3.5,101,allento01
2nd,G,Chris Paul,25,NOH,18,60,0.300,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,.388,.878,13.9,.232,4.4,2.8,103,paulch01
2nd,C,Tyson Chandler,28,DAL,17,60,0.283,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218,3.5,1.0,102,chandty01
2nd,F,Andre Iguodala,27,PHI,15,60,0.250,67,36.9,14.1,5.8,6.3,1.5,0.6,.445,.337,.693,6.7,.130,3.5,1.6,104,iguodan01
2nd,F,Joakim Noah,25,CHI,15,60,0.250,48,32.8,11.7,10.4,2.2,1.0,1.5,.525,.000,.739,6.7,.205,3.6,2.1,97,noahjo01
ORV,G,Derrick Rose,22,CHI,14,60,0.233,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208,4.8,0.5,103,rosede01
ORV,G,Dwyane Wade,29,MIA,13,60,0.217,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,.306,.758,12.8,.218,4.7,1.1,102,wadedw01
ORV,G,Russell Westbrook,22,OKC,13,60,0.217,82,34.7,21.9,4.6,8.2,1.9,0.4,.442,.330,.842,9.4,.159,3.1,-0.1,107,westbru01
ORV,F,Luol Deng,25,CHI,11,60,0.183,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,.345,.753,9.9,.149,5.2,0.6,102,denglu01
ORV,C,Tim Duncan,34,SAS,11,60,0.183,76,28.4,13.4,8.9,2.7,0.7,1.9,.500,.000,.716,7.7,.171,4.0,2.2,100,duncati01
ORV,F,Grant Hill,38,PHO,11,60,0.183,80,30.1,13.2,4.2,2.5,0.8,0.4,.484,.395,.829,4.4,.087,1.3,-0.3,111,hillgr01
ORV,F,Gerald Wallace,28,TOT,11,60,0.183,71,37.9,15.7,8.0,2.4,1.5,0.9,.454,.333,.746,6.2,.111,3.6,1.1,105,wallage01
ORV,F,Chuck Hayes,27,HOU,10,60,0.167,74,28.1,7.9,8.1,2.7,1.1,0.7,.527,.000,.662,6.3,.146,2.4,1.3,106,hayesch01
ORV,C,Al Horford,24,ATL,7,60,0.117,77,35.1,15.3,9.3,3.5,0.8,1.0,.557,.500,.798,10.1,.179,3.7,1.1,105,horfoal01
ORV,F,Josh Smith,25,ATL,7,60,0.117,77,34.4,16.5,8.5,3.3,1.3,1.6,.477,.331,.725,6.4,.116,4.5,1.7,102,smithjo03
ORV,F,Metta World Peace,31,LAL,7,60,0.117,82,29.4,8.5,3.3,2.1,1.5,0.4,.397,.356,.676,4.4,.088,3.2,1.5,105,artesro01
ORV,F,Serge Ibaka,21,OKC,6,60,0.100,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,.000,.750,7.6,.164,3.2,0.7,104,ibakase01
ORV,F,Shane Battier,32,TOT,5,60,0.083,82,29.0,7.6,4.5,2.3,0.8,1.0,.450,.382,.688,5.1,.103,2.2,0.9,108,battish01
ORV,G,Thabo Sefolosha,26,OKC,5,60,0.083,79,25.9,5.1,4.4,1.4,1.2,0.5,.471,.275,.747,4.1,.097,2.5,1.9,106,sefolth01
ORV,G,Wesley Matthews,24,POR,4,60,0.067,82,33.6,15.9,3.1,2.0,1.2,0.1,.449,.407,.844,7.2,.126,2.3,-0.1,109,matthwe02
ORV,F,Nicolas Batum,22,POR,3,60,0.050,80,31.5,12.4,4.5,1.5,0.9,0.6,.455,.345,.841,6.6,.126,2.3,0.0,108,batumni01
ORV,C,Kendrick Perkins,26,TOT,3,60,0.050,29,25.6,6.0,8.0,0.9,0.3,0.9,.515,,.556,1.0,.063,1.2,0.6,103,perkike01
ORV,G,Keith Bogans,30,CHI,2,60,0.033,82,17.8,4.4,1.8,1.2,0.5,0.1,.404,.380,.656,3.6,.118,2.2,1.4,103,boganke01
ORV,G,Manu Ginóbili,33,SAS,2,60,0.033,80,30.3,17.4,3.7,4.9,1.5,0.4,.433,.349,.871,9.9,.195,3.2,1.3,105,ginobma01
ORV,G,Joe Johnson,29,ATL,2,60,0.033,72,35.5,18.2,4.0,4.7,0.7,0.1,.443,.297,.802,4.2,.080,1.8,-1.5,110,johnsjo02
ORV,G,Kyle Lowry,24,HOU,2,60,0.033,75,34.2,13.5,4.1,6.7,1.4,0.3,.426,.376,.765,7.0,.130,1.8,0.0,110,lowryky01
ORV,F,Luc Mbah a Moute,24,MIL,2,60,0.033,79,26.5,6.7,5.3,0.9,0.9,0.4,.463,.000,.707,4.8,.109,3.3,1.1,103,mbahalu01
ORV,F,Lamar Odom,31,LAL,2,60,0.033,82,32.2,14.4,8.7,3.0,0.6,0.7,.530,.382,.675,10.1,.184,4.0,0.8,103,odomla01
ORV,G,Arron Afflalo,25,DEN,1,60,0.017,69,33.7,12.6,3.6,2.4,0.5,0.4,.498,.423,.847,6.2,.128,1.4,-0.3,111,afflaar01
ORV,C,Andrew Bogut,26,MIL,1,60,0.017,65,35.3,12.8,11.1,2.0,0.7,2.6,.495,.000,.442,5.4,.112,5.1,2.4,97,bogutan01
ORV,G,Ronnie Brewer,25,CHI,1,60,0.017,81,22.0,6.2,3.2,1.7,1.3,0.3,.480,.222,.654,5.4,.147,3.8,3.7,98,brewero02
ORV,C,Andrew Bynum,23,LAL,1,60,0.017,54,27.8,11.3,9.4,1.4,0.4,2.0,.574,,.660,6.6,.210,2.8,1.4,100,bynuman01
ORV,C,Nenê,28,DEN,1,60,0.017,75,30.5,14.5,7.6,2.0,1.1,1.0,.615,.200,.711,9.6,.201,3.1,1.5,104,hilarne01
ORV,G,Kirk Hinrich,30,TOT,1,60,0.017,72,30.0,10.2,2.5,4.0,1.0,0.2,.446,.399,.841,3.0,.068,1.2,-0.2,111,hinriki01
ORV,G,Jrue Holiday,20,PHI,1,60,0.017,82,35.4,14.0,4.0,6.5,1.5,0.4,.446,.365,.823,5.7,.094,3.5,0.4,106,holidjr01
ORV,F,Shawn Marion,32,DAL,1,60,0.017,80,28.2,12.5,6.9,1.4,0.9,0.6,.520,.152,.768,5.6,.120,3.4,0.4,103,mariosh01
ORV,F,Tayshaun Prince,30,DET,1,60,0.017,78,32.8,14.1,4.2,2.8,0.4,0.5,.473,.347,.702,3.3,.062,0.4,-1.8,115,princta01
