,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Metta World Peace,24,IND,54,58,0.931,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,5.2,1.9,96,artesro01
1st,C,Ben Wallace,29,DET,48,58,0.828,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160,9.1,3.3,87,wallabe01
1st,G,Bruce Bowen,32,SAS,41,58,0.707,82,32.0,6.9,3.1,1.4,1.0,0.4,.420,.363,.579,5.4,.098,4.6,2.2,97,bowenbr01
1st,F,Kevin Garnett,27,MIN,40,58,0.690,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272,8.0,3.3,92,garneke01
1st,G,Kobe Bryant,25,LAL,31,58,0.534,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210,3.0,0.5,102,bryanko01
2nd,F,Andrei Kirilenko,22,UTA,36,58,0.621,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,5.0,2.9,97,kirilan01
2nd,F,Tim Duncan,27,SAS,33,58,0.569,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249,7.2,3.3,89,duncati01
2nd,C,Theo Ratliff,30,TOT,28,58,0.483,85,31.3,7.9,7.2,0.8,0.6,3.6,.485,,.645,5.2,.094,3.4,2.3,101,ratlith01
2nd,G,Doug Christie,33,SAC,25,58,0.431,82,33.9,10.1,4.0,4.2,1.8,0.5,.461,.345,.860,5.7,.099,2.4,1.1,104,chrisdo01
2nd,G,Jason Kidd,30,NJN,15,58,0.259,67,36.6,15.5,6.4,9.2,1.8,0.2,.384,.321,.827,7.2,.141,4.4,1.3,97,kiddja01
ORV,F,James Posey,27,MEM,13,58,0.224,82,29.9,13.7,4.9,1.5,1.7,0.5,.478,.386,.830,10.0,.195,3.2,1.4,101,poseyja01
ORV,G,Eric Snow,30,PHI,10,58,0.172,82,36.2,10.3,3.4,6.9,1.2,0.1,.413,.111,.797,5.5,.090,2.3,-0.3,105,snower01
ORV,C,Jermaine O'Neal,25,IND,9,58,0.155,78,35.7,20.1,10.0,2.1,0.8,2.6,.434,.111,.757,9.0,.155,6.3,1.3,93,onealje01
ORV,F,Clifford Robinson,37,GSW,7,58,0.121,82,34.7,11.8,3.9,3.3,0.8,0.9,.387,.357,.711,2.0,.033,2.1,0.0,105,robincl02
ORV,G,Chauncey Billups,27,DET,5,58,0.086,78,35.4,16.9,3.5,5.7,1.1,0.1,.394,.388,.878,11.3,.198,4.2,0.5,99,billuch01
ORV,G,Baron Davis,24,NOH,5,58,0.086,67,40.1,22.9,4.3,7.5,2.4,0.4,.395,.321,.673,7.5,.133,3.2,0.5,102,davisba01
ORV,F,Kenyon Martin,26,NJN,5,58,0.086,65,34.6,16.7,9.5,2.5,1.5,1.3,.488,.280,.684,6.7,.142,5.1,1.8,93,martike01
ORV,C,Shaquille O'Neal,31,LAL,4,58,0.069,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192,4.0,1.0,98,onealsh01
ORV,G,Gary Payton,35,LAL,4,58,0.069,82,34.5,14.6,4.2,5.5,1.2,0.2,.471,.333,.714,8.1,.137,2.7,0.2,103,paytoga01
ORV,G,Steve Francis,26,HOU,2,58,0.034,79,40.4,16.6,5.5,6.2,1.8,0.4,.403,.292,.775,7.1,.107,4.7,0.9,99,francst01
ORV,G,Manu Ginóbili,26,SAS,2,58,0.034,77,29.4,12.8,4.5,3.8,1.8,0.2,.418,.359,.802,9.1,.194,5.1,3.1,93,ginobma01
ORV,F,Rasheed Wallace,29,TOT,2,58,0.034,68,35.1,16.0,6.8,2.3,0.9,1.8,.436,.331,.736,6.2,.125,3.1,0.8,101,wallara01
ORV,G,Earl Watson,24,MEM,2,58,0.034,81,20.6,5.7,2.2,5.0,1.1,0.2,.371,.245,.652,1.8,.052,1.7,0.3,103,watsoea01
ORV,G,Darrell Armstrong,35,NOH,1,58,0.017,79,28.4,10.6,2.9,3.9,1.7,0.2,.395,.315,.854,5.3,.114,2.5,1.1,102,armstda01
ORV,F,P.J. Brown,34,NOH,1,58,0.017,80,34.4,10.5,8.6,1.9,1.0,0.9,.476,.000,.854,8.1,.142,3.4,0.4,101,brownpj01
ORV,C,Marcus Camby,29,DEN,1,58,0.017,72,30.0,8.6,10.1,1.8,1.2,2.6,.477,.000,.721,6.9,.154,4.3,2.5,95,cambyma01
ORV,C,Kelvin Cato,29,HOU,1,58,0.017,69,25.3,6.1,6.8,1.0,0.8,1.4,.447,,.676,4.6,.127,3.5,2.4,95,catoke01
ORV,G,Derek Fisher,29,LAL,1,58,0.017,82,21.6,7.1,1.9,2.3,1.3,0.0,.352,.291,.797,2.4,.066,2.0,1.1,102,fishede01
ORV,F,Brian Grant,31,MIA,1,58,0.017,76,30.3,8.7,6.9,0.9,0.7,0.5,.471,.000,.782,4.9,.101,2.8,-0.2,102,grantbr01
ORV,G,Trenton Hassell,24,MIN,1,58,0.017,81,28.0,5.0,3.2,1.6,0.4,0.7,.465,.308,.787,4.0,.084,2.3,0.9,103,hassetr01
ORV,F,Richard Jefferson,23,NJN,1,58,0.017,82,38.2,18.5,5.7,3.8,1.1,0.3,.498,.364,.763,11.0,.168,4.4,0.4,100,jefferi01
ORV,G,Joe Johnson,22,PHO,1,58,0.017,82,40.6,16.7,4.7,4.4,1.1,0.3,.430,.305,.750,3.3,.047,1.1,-1.4,109,johnsjo02
ORV,F,Shawn Marion,25,PHO,1,58,0.017,79,40.7,19.0,9.3,2.7,2.1,1.3,.440,.340,.851,9.1,.135,3.8,0.6,102,mariosh01
ORV,G,Andre Miller,27,DEN,1,58,0.017,82,34.6,14.8,4.5,6.1,1.7,0.3,.457,.185,.832,8.8,.148,2.6,0.4,104,millean02
ORV,C,Greg Ostertag,30,UTA,1,58,0.017,78,27.6,6.8,7.4,1.6,0.4,1.8,.476,.000,.579,5.0,.111,2.7,0.9,101,ostergr01
ORV,G,Mickaël Piétrus,21,GSW,1,58,0.017,53,14.1,5.3,2.2,0.5,0.6,0.2,.416,.333,.693,1.5,.095,0.7,0.4,104,pietrmi01
ORV,G,Bob Sura,30,TOT,1,58,0.017,80,20.8,7.5,4.1,2.9,0.8,0.2,.416,.266,.757,4.6,.133,2.0,0.5,102,surabo01
