,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Kawhi Leonard,24,SAS,260,260,1.000,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,5.5,3.0,96,leonaka01
1st,F,Draymond Green,25,GSW,251,260,0.965,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190,5.1,2.9,100,greendr01
1st,G,Avery Bradley,25,BOS,149,260,0.573,76,33.4,15.2,2.9,2.1,1.5,0.3,.447,.361,.780,4.8,.090,2.8,0.3,106,bradlav01
1st,G,Chris Paul,30,LAC,148,260,0.569,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,.371,.896,12.7,.253,3.5,2.0,103,paulch01
1st,C,DeAndre Jordan,27,LAC,137,260,0.527,77,33.7,12.7,13.8,1.2,0.7,2.3,.703,.000,.430,11.5,.213,5.5,1.3,98,jordade01
2nd,C,Hassan Whiteside,26,MIA,126,260,0.485,73,29.1,14.2,11.8,0.4,0.6,3.7,.606,,.650,10.3,.233,5.3,2.4,95,whiteha01
2nd,G,Tony Allen,34,MEM,121,260,0.465,64,25.3,8.4,4.6,1.1,1.7,0.3,.458,.357,.652,2.4,.072,1.9,1.2,105,allento01
2nd,F,Paul Millsap,30,ATL,97,260,0.373,81,32.7,17.1,9.0,3.3,1.8,1.7,.470,.319,.757,10.1,.183,6.0,2.7,96,millspa01
2nd,G,Jimmy Butler,26,CHI,62,260,0.238,67,36.9,20.9,5.3,4.8,1.6,0.6,.454,.312,.832,9.1,.177,2.7,1.2,106,butleji01
2nd,F,Paul George,25,IND,48,260,0.185,81,34.8,23.1,7.0,4.1,1.9,0.4,.418,.371,.860,9.2,.157,4.8,1.2,101,georgpa01
ORV,C,Rudy Gobert,23,UTA,64,260,0.246,61,31.7,9.1,11.0,1.5,0.7,2.2,.559,,.569,6.4,.160,3.8,2.2,99,goberru01
ORV,G,Klay Thompson,25,GSW,49,260,0.188,80,33.3,22.1,3.8,2.1,0.8,0.6,.470,.425,.873,8.0,.144,2.6,-1.6,107,thompkl01
ORV,F,Jae Crowder,25,BOS,47,260,0.181,73,31.6,14.2,5.1,1.8,1.7,0.5,.443,.336,.820,7.3,.152,3.5,1.4,102,crowdja01
ORV,F,LeBron James,31,CLE,43,260,0.165,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,.309,.731,13.6,.242,4.0,2.0,103,jamesle01
ORV,G,Kyle Lowry,29,TOR,43,260,0.165,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196,3.7,1.1,104,lowryky01
ORV,G,Danny Green,28,SAS,39,260,0.150,79,26.1,7.2,3.8,1.8,1.0,0.8,.376,.332,.739,4.2,.099,4.1,2.1,99,greenda02
ORV,G,Russell Westbrook,27,OKC,35,260,0.135,80,34.4,23.5,7.8,10.4,2.0,0.3,.454,.296,.812,14.0,.245,4.0,1.4,103,westbru01
ORV,C,Tim Duncan,39,SAS,33,260,0.127,61,25.2,8.6,7.3,2.7,0.8,1.3,.488,.000,.702,5.2,.163,3.6,3.1,96,duncati01
ORV,G,Ricky Rubio,25,MIN,30,260,0.115,76,30.6,10.1,4.3,8.7,2.1,0.1,.374,.326,.847,5.8,.119,2.2,0.8,107,rubiori01
ORV,G,Kentavious Caldwell-Pope,22,DET,27,260,0.104,76,36.7,14.5,3.7,1.8,1.4,0.2,.420,.309,.811,5.3,.092,2.7,0.8,107,caldwke01
ORV,F,Anthony Davis,22,NOP,24,260,0.092,61,35.5,24.3,10.3,1.9,1.3,2.0,.493,.324,.758,7.2,.160,2.8,0.4,104,davisan02
