,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Kawhi Leonard,23,SAS,242,258,0.938,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,4.4,3.1,96,leonaka01
1st,F,Draymond Green,24,GSW,229,258,0.888,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163,5.2,2.8,97,greendr01
1st,G,Tony Allen,33,MEM,207,258,0.802,63,26.2,8.6,4.4,1.4,2.0,0.5,.495,.345,.627,4.1,.119,3.2,3.1,98,allento01
1st,C,DeAndre Jordan,26,LAC,187,258,0.725,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217,5.4,0.7,98,jordade01
1st,G,Chris Paul,29,LAC,170,258,0.659,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,16.1,.270,3.2,1.6,105,paulch01
2nd,F,Anthony Davis,21,NOP,155,258,0.601,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,4.2,2.3,100,davisan02
2nd,G,Jimmy Butler,25,CHI,132,258,0.512,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,3.0,1.2,104,butleji01
2nd,C,Andrew Bogut,30,GSW,102,258,0.395,67,23.6,6.3,8.1,2.7,0.6,1.7,.563,,.524,5.2,.159,3.4,3.3,97,bogutan01
2nd,G,John Wall,24,WAS,67,258,0.260,79,35.9,17.6,4.6,10.0,1.7,0.6,.445,.300,.785,7.8,.132,4.2,1.0,102,walljo01
2nd,F,Tim Duncan,38,SAS,64,258,0.248,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207,4.7,2.8,97,duncati01
ORV,C,Rudy Gobert,22,UTA,54,258,0.209,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,.000,.623,9.3,.206,4.3,2.5,98,goberru01
ORV,F,LeBron James,30,CLE,47,258,0.182,69,36.1,25.3,6.0,7.4,1.6,0.7,.488,.354,.710,10.4,.199,2.9,1.0,105,jamesle01
ORV,G,Russell Westbrook,26,OKC,35,258,0.136,67,34.4,28.1,7.3,8.6,2.1,0.2,.426,.299,.835,10.6,.222,3.2,1.2,103,westbru01
ORV,G,Avery Bradley,24,BOS,26,258,0.101,77,31.5,13.9,3.1,1.8,1.1,0.2,.429,.352,.790,2.5,.049,2.1,-0.6,107,bradlav01
ORV,F,Michael Kidd-Gilchrist,21,CHO,21,258,0.081,55,28.9,10.9,7.6,1.4,0.5,0.7,.465,,.701,3.8,.114,2.2,0.6,103,kiddgmi01
ORV,G,Klay Thompson,24,GSW,19,258,0.074,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172,3.1,-0.1,104,thompkl01
