,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,G,Marcus Smart,27,BOS,198,200,0.990,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,3.7,1.7,107,smartma01
1st,G,Mikal Bridges,25,PHO,193,200,0.965,82,34.8,14.2,4.2,2.3,1.2,0.4,.534,.369,.834,8.9,.150,3.7,1.1,110,bridgmi01
1st,C,Rudy Gobert,29,UTA,171,200,0.855,66,32.1,15.6,14.7,1.1,0.7,2.1,.713,.000,.690,11.7,.264,4.3,1.7,103,goberru01
1st,F,Giannis Antetokounmpo,27,MIL,156,200,0.780,67,32.9,29.9,11.6,5.8,1.1,1.4,.553,.293,.722,12.9,.281,3.7,3.5,106,antetgi01
1st,F,Jaren Jackson Jr.,22,MEM,153,200,0.765,78,27.3,16.3,5.8,1.1,0.9,2.3,.415,.319,.823,5.4,.121,3.7,0.8,106,jacksja02
2nd,F,Bam Adebayo,24,MIA,152,200,0.760,56,32.6,19.1,10.1,3.4,1.4,0.8,.557,.000,.753,7.2,.188,3.5,2.1,104,adebaba01
2nd,G,Jrue Holiday,31,MIL,89,200,0.445,67,33.0,18.3,4.5,6.8,1.6,0.4,.501,.411,.761,6.9,.150,2.4,0.3,112,holidjr01
2nd,G,Matisse Thybulle,24,PHI,87,200,0.435,66,25.5,5.7,2.3,1.1,1.7,1.1,.500,.313,.791,3.7,.107,2.5,3.3,108,thybuma01
2nd,C,Robert Williams,24,BOS,70,200,0.350,61,29.6,10.0,9.6,2.0,0.9,2.2,.736,.000,.722,9.9,.262,3.9,3.1,102,williro04
2nd,F,Draymond Green,31,GSW,34,200,0.170,46,28.9,7.5,7.3,7.0,1.3,1.1,.525,.296,.659,3.6,.131,2.8,4.6,103,greendr01
ORV,G,Fred VanVleet,27,TOR,41,200,0.205,65,37.9,20.3,4.4,6.7,1.7,0.5,.403,.377,.874,6.7,.131,2.8,0.5,111,vanvlfr01
ORV,C,Joel Embiid,27,PHI,33,200,0.165,68,33.8,30.6,11.7,4.2,1.1,1.5,.499,.371,.814,12.0,.252,4.1,2.0,105,embiijo01
ORV,G,Dejounte Murray,25,SAS,24,200,0.120,68,34.8,21.1,8.3,9.2,2.0,0.3,.462,.327,.794,7.3,.149,3.4,1.7,108,murrade01
ORV,G,Chris Paul,36,PHO,21,200,0.105,65,32.9,14.7,4.4,10.8,1.9,0.3,.493,.317,.837,9.4,.210,3.6,2.3,107,paulch01
ORV,F,Evan Mobley,20,CLE,13,200,0.065,69,33.8,15.0,8.3,2.5,0.8,1.7,.508,.250,.663,5.2,.107,3.7,1.5,107,mobleev01
ORV,F,Herbert Jones,23,NOP,10,200,0.050,78,29.9,9.5,3.8,2.1,1.7,0.8,.476,.337,.840,4.6,.096,2.5,1.5,112,joneshe01
ORV,G,Patrick Beverley,33,MIN,9,200,0.045,58,25.4,9.2,4.1,4.6,1.2,0.9,.406,.343,.722,4.1,.132,1.7,2.1,111,beverpa01
ORV,F,Dorian Finney-Smith,28,DAL,7,200,0.035,80,33.1,11.0,4.7,1.9,1.1,0.5,.471,.395,.675,6.6,.121,3.2,0.7,110,finnedo01
ORV,G,Kyle Lowry,35,MIA,6,200,0.030,63,33.9,13.4,4.5,7.5,1.1,0.3,.440,.377,.851,6.4,.143,2.7,0.8,110,lowryky01
ORV,G,Jimmy Butler,32,MIA,5,200,0.025,57,33.9,21.4,5.9,5.5,1.6,0.5,.480,.233,.870,9.2,.228,2.9,1.9,108,butleji01
ORV,G,Alex Caruso,27,CHI,5,200,0.025,41,28.0,7.4,3.6,4.0,1.7,0.4,.398,.333,.795,2.0,.082,1.2,2.3,112,carusal01
ORV,F,Jayson Tatum,23,BOS,4,200,0.020,76,35.9,26.9,8.0,4.4,1.0,0.6,.453,.353,.853,9.6,.169,4.6,0.6,106,tatumja01
ORV,G,Gary Payton II,29,GSW,3,200,0.015,71,17.6,7.1,3.5,0.9,1.4,0.3,.616,.358,.603,5.2,.199,2.6,3.4,103,paytoga02
