,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
ORV,G,Derrick White,27,TOT,3,200,0.015,75,29.3,13.2,3.5,4.9,0.9,0.8,.421,.312,.864,5.1,.111,2.3,0.6,112,whitede01
ORV,G,Scottie Barnes,20,TOR,2,200,0.010,74,35.4,15.3,7.5,3.5,1.1,0.7,.492,.301,.735,6.6,.122,2.9,0.4,111,barnesc01
ORV,F,Jaylen Brown,25,BOS,2,200,0.010,66,33.6,23.6,6.1,3.5,1.1,0.3,.473,.358,.758,5.8,.124,3.4,0.1,108,brownja02
ORV,C,Al Horford,35,BOS,2,200,0.010,69,29.1,10.2,7.7,3.4,0.7,1.3,.467,.336,.842,7.6,.181,3.8,2.9,104,horfoal01
ORV,C,Jarrett Allen,23,CLE,1,200,0.005,56,32.3,16.1,10.8,1.6,0.8,1.3,.677,.100,.708,8.5,.224,3.0,1.2,106,allenja01
ORV,F,OG Anunoby,24,TOR,1,200,0.005,48,36.0,17.1,5.5,2.6,1.5,0.5,.443,.363,.754,3.7,.104,1.9,0.1,111,anunoog01
ORV,C,Deandre Ayton,23,PHO,1,200,0.005,58,29.5,17.2,10.2,1.4,0.7,0.7,.634,.368,.746,7.3,.203,3.1,0.6,105,aytonde01
ORV,G,Desmond Bane,23,MEM,1,200,0.005,76,29.8,18.2,4.4,2.7,1.2,0.4,.461,.436,.903,7.2,.153,2.7,0.3,110,banede01
ORV,G,Devin Booker,25,PHO,1,200,0.005,68,34.5,26.8,5.0,4.8,1.1,0.4,.466,.383,.868,7.6,.156,3.3,0.2,109,bookede01
ORV,G,Ayo Dosunmu,22,CHI,1,200,0.005,77,27.4,8.8,2.8,3.3,0.8,0.4,.520,.376,.679,3.0,.069,1.3,-0.1,115,dosunay01
ORV,F,Kevin Durant,33,BRK,1,200,0.005,55,37.2,29.9,7.4,6.4,0.9,0.9,.518,.383,.910,8.4,.198,2.0,0.7,112,duranke01
