,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,LeBron James,27,MIA,53,60,0.883,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,.298,4.5,2.7,97,jamesle01
1st,F,Serge Ibaka,22,OKC,47,60,0.783,66,27.2,9.1,7.5,0.4,0.5,3.7,.535,.333,.661,6.2,.167,3.2,2.3,98,ibakase01
1st,C,Dwight Howard,26,ORL,41,60,0.683,54,38.3,20.6,14.5,1.9,1.5,2.1,.573,.000,.491,7.7,.179,4.4,2.0,96,howardw01
1st,G,Chris Paul,26,LAC,35,60,0.583,60,36.4,19.8,3.6,9.1,2.5,0.1,.478,.371,.861,12.7,.278,2.3,2.4,104,paulch01
1st,G,Tony Allen,30,MEM,33,60,0.550,58,26.3,9.8,4.0,1.4,1.8,0.6,.469,.308,.800,4.2,.131,2.5,2.3,100,allento01
2nd,C,Tyson Chandler,29,NYK,36,60,0.600,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,3.6,1.1,99,chandty01
2nd,G,Rajon Rondo,25,BOS,29,60,0.483,53,36.9,11.9,4.8,11.7,1.8,0.1,.448,.238,.597,4.9,.121,3.4,0.6,99,rondora01
2nd,F,Kevin Garnett,35,BOS,26,60,0.433,60,31.1,15.8,8.2,2.9,0.9,1.0,.503,.333,.857,6.9,.178,4.3,2.5,94,garneke01
2nd,F,Luol Deng,26,CHI,20,60,0.333,54,39.4,15.3,6.5,2.9,1.0,0.7,.412,.367,.770,5.8,.132,3.6,1.1,100,denglu01
2nd,G,Kobe Bryant,33,LAL,17,60,0.283,58,38.5,27.9,5.4,4.6,1.2,0.3,.430,.303,.845,6.2,.132,2.0,-0.9,106,bryanko01
ORV,F,Andre Iguodala,28,PHI,19,60,0.317,62,35.6,12.4,6.1,5.5,1.7,0.5,.454,.394,.617,7.3,.158,4.2,2.5,98,iguodan01
ORV,C,Joakim Noah,26,CHI,14,60,0.233,64,30.4,10.2,9.8,2.5,0.6,1.4,.508,.000,.748,9.0,.223,4.2,2.1,96,noahjo01
ORV,G,Iman Shumpert,21,NYK,13,60,0.217,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,.306,.798,2.4,.068,2.5,1.6,101,shumpim01
ORV,F,Paul George,21,IND,10,60,0.167,66,29.7,12.1,5.6,2.4,1.6,0.6,.440,.385,.802,6.0,.148,3.2,2.1,100,georgpa01
ORV,G,Russell Westbrook,23,OKC,9,60,0.150,66,35.3,23.6,4.6,5.5,1.7,0.3,.457,.316,.823,7.9,.163,2.4,-0.7,105,westbru01
ORV,F,Josh Smith,26,ATL,8,60,0.133,66,35.3,18.8,9.6,3.9,1.4,1.7,.458,.257,.630,6.8,.139,4.9,2.1,96,smithjo03
ORV,C,Tim Duncan,35,SAS,5,60,0.083,58,28.2,15.4,9.0,2.3,0.7,1.5,.492,.000,.695,5.9,.174,2.9,1.3,99,duncati01
ORV,F,Grant Hill,39,PHO,5,60,0.083,49,28.1,10.2,3.5,2.2,0.8,0.6,.446,.264,.761,1.6,.055,0.9,0.5,107,hillgr01
ORV,G,Thabo Sefolosha,27,OKC,5,60,0.083,42,21.8,4.8,3.0,1.1,0.9,0.4,.432,.437,.884,1.8,.095,1.0,1.7,104,sefolth01
ORV,G,Dwyane Wade,30,MIA,5,60,0.083,49,33.2,22.1,4.8,4.6,1.7,1.3,.497,.268,.791,7.7,.227,2.9,1.9,99,wadedw01
ORV,G,Avery Bradley,21,BOS,3,60,0.050,64,21.4,7.6,1.8,1.4,0.7,0.2,.498,.407,.795,2.4,.085,1.9,0.7,102,bradlav01
ORV,C,Marc Gasol,27,MEM,3,60,0.050,65,36.5,14.6,8.9,3.1,1.0,1.9,.482,.083,.748,8.2,.166,4.0,2.1,99,gasolma01
ORV,F,Shawn Marion,33,DAL,3,60,0.050,63,30.5,10.6,7.4,2.1,1.1,0.6,.446,.294,.796,3.7,.092,2.7,0.6,102,mariosh01
ORV,F,Metta World Peace,32,LAL,3,60,0.050,64,26.9,7.7,3.4,2.2,1.1,0.4,.394,.296,.617,2.6,.073,1.7,1.0,105,artesro01
ORV,G,Mike Conley,24,MEM,2,60,0.033,62,35.1,12.7,2.5,6.5,2.2,0.2,.433,.377,.861,6.4,.141,2.8,1.4,102,conlemi01
ORV,G,Joe Johnson,30,ATL,2,60,0.033,60,35.5,18.8,3.7,3.9,0.8,0.2,.454,.388,.849,6.4,.145,2.1,-1.0,105,johnsjo02
ORV,F,Carlos Boozer,30,CHI,1,60,0.017,66,29.5,15.0,8.5,1.9,1.0,0.4,.532,.000,.693,7.6,.187,4.3,1.6,95,boozeca01
ORV,G,Jrue Holiday,21,PHI,1,60,0.017,65,33.8,13.5,3.3,4.5,1.6,0.3,.432,.380,.783,4.2,.092,3.3,0.9,101,holidjr01
ORV,F,Luc Mbah a Moute,25,MIL,1,60,0.017,43,23.5,7.7,5.3,0.7,0.9,0.5,.510,.250,.641,2.4,.112,1.1,0.1,104,mbahalu01
ORV,G,Derrick Rose,23,CHI,1,60,0.017,39,35.3,21.8,3.4,7.9,0.9,0.7,.435,.312,.812,6.0,.211,2.0,0.3,101,rosede01
