,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,C,Dwight Howard,23,ORL,55,60,0.917,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,7.6,2.4,95,howardw01
1st,G,Kobe Bryant,30,LAL,53,60,0.883,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206,4.0,0.3,106,bryanko01
1st,F,LeBron James,24,CLE,47,60,0.783,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318,6.5,3.7,99,jamesle01
1st,G,Chris Paul,23,NOH,36,60,0.600,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292,5.0,3.8,103,paulch01
1st,F,Kevin Garnett,32,BOS,35,60,0.583,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,.250,.841,7.1,.193,4.1,3.0,98,garneke01
2nd,C,Tim Duncan,32,SAS,30,60,0.500,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191,5.0,2.0,100,duncati01
2nd,G,Dwyane Wade,27,MIA,26,60,0.433,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,4.4,2.4,105,wadedw01
2nd,G,Rajon Rondo,22,BOS,23,60,0.383,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179,5.1,2.1,101,rondora01
2nd,F,Shane Battier,30,HOU,22,60,0.367,60,33.9,7.3,4.8,2.3,0.8,0.9,.410,.384,.821,5.2,.123,2.9,1.9,105,battish01
2nd,F,Metta World Peace,29,HOU,22,60,0.367,69,35.5,17.1,5.2,3.3,1.5,0.3,.401,.399,.748,5.5,.108,4.0,1.2,103,artesro01
ORV,F,Tayshaun Prince,28,DET,15,60,0.250,82,37.3,14.2,5.8,3.1,0.5,0.6,.450,.397,.778,6.2,.098,2.5,-0.2,110,princta01
ORV,G,Raja Bell,32,TOT,8,60,0.133,67,34.6,11.9,3.6,2.1,0.7,0.1,.437,.421,.853,3.6,.074,1.6,-0.4,111,bellra01
ORV,C,Joel Przybilla,29,POR,7,60,0.117,82,23.8,5.5,8.7,0.3,0.4,1.2,.625,.000,.663,6.6,.163,3.4,1.2,102,przybjo01
ORV,G,Chauncey Billups,32,TOT,5,60,0.083,79,35.3,17.7,3.0,6.4,1.2,0.2,.418,.408,.913,10.1,.174,2.2,-0.5,110,billuch01
ORV,G,Ronnie Brewer,23,UTA,5,60,0.083,81,32.2,13.7,3.7,2.2,1.7,0.4,.508,.259,.702,6.8,.126,2.9,1.0,108,brewero02
ORV,F,Andre Iguodala,25,PHI,5,60,0.083,82,39.9,18.8,5.7,5.3,1.6,0.4,.473,.307,.724,9.2,.134,3.5,0.6,108,iguodan01
ORV,C,Yao Ming,28,HOU,5,60,0.083,77,33.6,19.7,9.9,1.8,0.4,1.9,.548,1.000,.866,10.6,.196,5.0,1.6,101,mingya01
ORV,C,Emeka Okafor,26,CHA,5,60,0.083,82,32.8,13.2,10.1,0.6,0.6,1.7,.561,,.593,8.2,.147,4.6,0.3,103,okafoem01
ORV,G,Deron Williams,24,UTA,5,60,0.083,68,36.8,19.4,2.9,10.7,1.1,0.3,.471,.310,.849,8.4,.160,1.9,-0.9,111,willide01
ORV,C,Kendrick Perkins,24,BOS,4,60,0.067,76,29.6,8.5,8.1,1.3,0.3,2.0,.577,.000,.600,5.6,.119,4.5,1.9,100,perkike01
ORV,C,Samuel Dalembert,27,PHI,3,60,0.050,82,24.8,6.4,8.5,0.2,0.4,1.8,.498,.000,.734,4.0,.095,3.5,0.8,103,dalemsa01
ORV,G,Derek Fisher,34,LAL,3,60,0.050,82,29.8,9.9,2.3,3.2,1.2,0.1,.424,.397,.846,6.3,.123,2.7,0.7,108,fishede01
ORV,F,Udonis Haslem,28,MIA,3,60,0.050,75,34.1,10.6,8.2,1.1,0.6,0.3,.518,,.753,5.7,.106,2.6,-0.9,108,hasleud01
ORV,G,Jason Kidd,35,DAL,3,60,0.050,81,35.6,9.0,6.2,8.7,2.0,0.5,.416,.406,.819,8.5,.141,3.9,1.9,106,kiddja01
ORV,F,Anderson Varejão,26,CLE,3,60,0.050,81,28.5,8.6,7.2,1.0,0.9,0.8,.536,.000,.616,8.0,.166,4.7,1.6,100,varejan01
ORV,F,Trevor Ariza,23,LAL,2,60,0.033,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146,3.5,2.2,102,arizatr01
ORV,G,Kirk Hinrich,28,CHI,2,60,0.033,51,26.3,9.9,2.4,3.9,1.3,0.4,.437,.408,.791,2.6,.092,1.3,0.9,109,hinriki01
ORV,G,Joe Johnson,27,ATL,2,60,0.033,79,39.5,21.4,4.4,5.8,1.1,0.2,.437,.360,.826,7.6,.116,2.5,-0.9,110,johnsjo02
ORV,F,Andrei Kirilenko,27,UTA,2,60,0.033,67,27.3,11.6,4.8,2.6,1.2,1.1,.449,.274,.785,4.6,.122,2.6,1.7,105,kirilan01
ORV,F,David Lee,25,NYK,2,60,0.033,81,34.9,16.0,11.7,2.1,1.0,0.3,.549,.000,.755,9.0,.154,3.1,-0.2,108,leeda02
ORV,F,James Posey,32,NOH,2,60,0.033,75,28.5,8.9,4.8,1.1,0.8,0.3,.412,.369,.822,4.2,.095,2.6,0.4,107,poseyja01
ORV,G,J.R. Smith,23,DEN,2,60,0.033,81,27.7,15.2,3.7,2.8,1.0,0.2,.446,.397,.754,5.8,.124,2.2,-0.3,109,smithjr01
ORV,F,Gerald Wallace,26,CHA,2,60,0.033,71,37.6,16.6,7.8,2.7,1.7,0.9,.480,.298,.804,9.5,.172,4.6,2.3,102,wallage01
ORV,C,Chris Andersen,30,DEN,1,60,0.017,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176,2.8,2.4,101,anderch01
ORV,C,Pau Gasol,28,LAL,1,60,0.017,81,37.0,18.9,9.6,3.5,0.6,1.0,.567,.500,.781,13.9,.223,4.2,0.5,105,gasolpa01
ORV,C,Nenê,26,DEN,1,60,0.017,77,32.6,14.6,7.8,1.4,1.2,1.3,.604,.200,.723,9.3,.177,3.7,1.1,105,hilarne01
ORV,F,Antonio McDyess,34,DET,1,60,0.017,62,30.1,9.6,9.8,1.3,0.7,0.8,.510,,.698,5.6,.144,2.8,0.4,104,mcdyean01
ORV,G,Andre Miller,32,PHI,1,60,0.017,82,36.3,16.3,4.5,6.5,1.3,0.2,.473,.283,.826,8.8,.141,2.5,0.0,110,millean02
ORV,F,Travis Outlaw,24,POR,1,60,0.017,81,27.7,12.8,4.1,1.0,0.6,0.7,.453,.377,.723,5.3,.113,2.3,-0.4,109,outlatr01
ORV,G,Brandon Roy,24,POR,1,60,0.017,78,37.2,22.6,4.7,5.1,1.1,0.3,.480,.377,.824,13.5,.223,2.6,0.1,109,roybr01
ORV,F,Rasheed Wallace,34,DET,1,60,0.017,66,32.2,12.0,7.4,1.4,0.9,1.3,.419,.354,.772,5.1,.114,3.4,1.6,103,wallara01
