,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,C,Dwight Howard,24,ORL,57,60,0.950,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,7.1,2.8,95,howardw01
1st,G,Rajon Rondo,23,BOS,50,60,0.833,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,4.7,1.4,103,rondora01
1st,F,LeBron James,25,CLE,45,60,0.750,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299,5.2,2.8,102,jamesle01
1st,G,Kobe Bryant,31,LAL,34,60,0.567,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160,4.0,0.2,104,bryanko01
1st,F,Gerald Wallace,27,CHA,30,60,0.500,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,6.2,1.7,100,wallage01
2nd,C,Tim Duncan,33,SAS,21,60,0.350,78,31.3,17.9,10.1,3.2,0.6,1.5,.518,.182,.725,10.9,.215,4.5,1.8,101,duncati01
2nd,F,Josh Smith,24,ATL,20,60,0.333,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,5.1,2.7,101,smithjo03
2nd,G,Dwyane Wade,28,MIA,20,60,0.333,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224,4.6,2.1,103,wadedw01
2nd,F,Anderson Varejão,27,CLE,15,60,0.250,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179,3.8,1.2,102,varejan01
2nd,G,Thabo Sefolosha,25,OKC,14,60,0.233,82,28.6,6.0,4.7,1.8,1.2,0.6,.440,.313,.674,4.0,.082,3.4,2.0,104,sefolth01
ORV,C,Marcus Camby,35,TOT,12,60,0.200,74,31.3,7.5,11.8,2.5,1.3,2.0,.475,.286,.639,6.8,.142,4.3,2.6,101,cambyma01
ORV,G,Jason Kidd,36,DAL,12,60,0.200,80,36.0,10.3,5.6,9.1,1.8,0.4,.423,.425,.808,8.9,.148,4.0,1.7,105,kiddja01
ORV,F,Metta World Peace,30,LAL,11,60,0.183,77,33.8,11.0,4.3,3.0,1.4,0.3,.414,.355,.688,5.3,.098,3.5,1.1,105,artesro01
ORV,G,Deron Williams,25,UTA,10,60,0.167,76,36.9,18.7,4.0,10.5,1.3,0.2,.469,.371,.801,10.3,.177,3.0,-0.4,107,willide01
ORV,G,Kirk Hinrich,29,CHI,9,60,0.150,74,33.5,10.9,3.5,4.5,1.1,0.3,.409,.371,.752,4.0,.077,2.8,1.0,107,hinriki01
ORV,C,Andrew Bogut,25,MIL,8,60,0.133,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,4.8,2.2,98,bogutan01
ORV,F,Luc Mbah a Moute,23,MIL,8,60,0.133,73,25.6,6.2,5.5,1.1,0.8,0.5,.480,.353,.699,4.7,.122,3.0,1.5,103,mbahalu01
ORV,G,Arron Afflalo,24,DEN,6,60,0.100,82,27.1,8.8,3.1,1.7,0.6,0.4,.465,.434,.735,4.3,.092,1.4,-0.2,111,afflaar01
ORV,F,Kevin Garnett,33,BOS,5,60,0.083,69,29.9,14.3,7.3,2.7,1.0,0.8,.521,.200,.837,7.3,.171,3.8,1.9,101,garneke01
ORV,F,Kenyon Martin,32,DEN,5,60,0.083,58,34.2,11.5,9.4,1.9,1.2,1.1,.456,.276,.557,3.3,.079,2.8,0.5,104,martike01
ORV,F,Shane Battier,31,HOU,4,60,0.067,67,32.4,8.0,4.7,2.4,0.8,1.1,.398,.362,.726,4.3,.095,2.1,1.4,108,battish01
ORV,F,Grant Hill,37,PHO,4,60,0.067,81,30.0,11.3,5.5,2.4,0.7,0.4,.478,.438,.817,5.5,.109,1.8,0.3,110,hillgr01
ORV,C,Joakim Noah,24,CHI,4,60,0.067,64,30.1,10.7,11.0,2.1,0.5,1.6,.504,,.744,6.2,.154,3.5,1.5,101,noahjo01
ORV,C,Kendrick Perkins,25,BOS,4,60,0.067,78,27.6,10.1,7.6,1.0,0.3,1.7,.602,.000,.582,5.2,.117,3.8,1.0,101,perkike01
ORV,F,Trevor Ariza,24,HOU,3,60,0.050,72,36.5,14.9,5.6,3.8,1.8,0.6,.394,.334,.649,3.2,.058,3.1,0.9,106,arizatr01
ORV,F,Andrei Kirilenko,28,UTA,3,60,0.050,58,29.0,11.9,4.6,2.7,1.4,1.2,.506,.292,.744,6.0,.171,2.7,2.4,103,kirilan01
ORV,G,Russell Westbrook,21,OKC,3,60,0.050,82,34.3,16.1,4.9,8.0,1.3,0.4,.418,.221,.780,6.1,.105,3.4,-0.5,106,westbru01
ORV,F,Nicolas Batum,21,POR,2,60,0.033,37,24.8,10.1,3.8,1.2,0.6,0.7,.519,.409,.843,3.5,.181,1.1,1.1,107,batumni01
ORV,G,Manu Ginóbili,32,SAS,2,60,0.033,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216,3.2,1.6,104,ginobma01
ORV,G,George Hill,23,SAS,2,60,0.033,78,29.2,12.4,2.6,2.9,0.9,0.3,.478,.399,.772,6.7,.142,2.6,0.9,106,hillge01
ORV,F,Andre Iguodala,26,PHI,2,60,0.033,82,38.9,17.1,6.5,5.8,1.7,0.7,.443,.310,.733,6.7,.101,2.8,0.4,109,iguodan01
ORV,G,Joe Johnson,28,ATL,2,60,0.033,76,38.0,21.3,4.6,4.9,1.1,0.1,.458,.369,.818,8.4,.140,2.4,-0.7,109,johnsjo02
ORV,C,Jermaine O'Neal,31,MIA,2,60,0.033,70,28.4,13.6,6.9,1.3,0.4,1.4,.529,.000,.720,5.6,.135,3.2,0.4,103,onealje01
ORV,F,Lamar Odom,30,LAL,2,60,0.033,82,31.5,10.8,9.8,3.3,0.9,0.7,.463,.319,.693,7.7,.143,4.9,1.8,100,odomla01
ORV,F,Luis Scola,29,HOU,2,60,0.033,82,32.6,16.2,8.6,2.1,0.8,0.3,.514,.200,.779,6.3,.114,3.0,-0.3,107,scolalu01
ORV,G,Chauncey Billups,33,DEN,1,60,0.017,73,34.1,19.5,3.1,5.6,1.1,0.1,.418,.386,.910,9.5,.182,1.7,-0.8,110,billuch01
ORV,F,Caron Butler,29,TOT,1,60,0.017,74,37.6,16.3,6.2,2.1,1.6,0.3,.428,.290,.838,3.5,.061,2.9,0.0,108,butleca01
ORV,F,Jared Dudley,24,PHO,1,60,0.017,82,24.3,8.2,3.4,1.4,1.0,0.2,.459,.458,.754,5.3,.129,1.3,0.7,111,dudleja01
ORV,F,Kevin Durant,21,OKC,1,60,0.017,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238,5.0,0.8,104,duranke01
ORV,G,Raymond Felton,25,CHA,1,60,0.017,80,33.0,12.1,3.6,5.6,1.5,0.3,.459,.385,.763,6.5,.118,4.0,1.5,103,feltora01
ORV,C,Marc Gasol,25,MEM,1,60,0.017,69,35.8,14.6,9.3,2.4,1.0,1.6,.581,.000,.670,8.4,.164,2.5,1.1,108,gasolma01
ORV,C,Pau Gasol,29,LAL,1,60,0.017,65,37.0,18.3,11.3,3.4,0.6,1.7,.536,.000,.790,11.0,.220,4.2,1.3,102,gasolpa01
ORV,C,Chuck Hayes,26,HOU,1,60,0.017,82,21.6,4.4,5.7,1.7,0.9,0.5,.489,,.545,3.6,.098,2.4,2.0,105,hayesch01
ORV,C,Brendan Haywood,30,TOT,1,60,0.017,77,30.6,9.1,9.3,0.6,0.3,2.1,.562,.000,.620,6.7,.137,3.0,0.2,106,haywobr01
ORV,C,Nenê,27,DEN,1,60,0.017,82,33.6,13.8,7.6,2.5,1.4,1.0,.587,.000,.704,10.8,.188,3.7,1.6,105,hilarne01
ORV,C,Al Horford,23,ATL,1,60,0.017,81,35.1,14.2,9.9,2.3,0.7,1.1,.551,1.000,.789,10.9,.183,3.9,0.5,105,horfoal01
ORV,F,Serge Ibaka,20,OKC,1,60,0.017,73,18.1,6.3,5.4,0.1,0.3,1.3,.543,.500,.630,3.7,.134,2.4,0.9,101,ibakase01
ORV,F,Ersan İlyasova,22,MIL,1,60,0.017,81,23.4,10.4,6.4,1.0,0.7,0.3,.443,.336,.715,5.8,.146,3.3,0.3,102,ilyaser01
ORV,G,Stephen Jackson,31,TOT,1,60,0.017,81,38.6,20.6,5.0,3.7,1.6,0.5,.423,.328,.779,5.0,.077,4.6,0.1,104,jacksst02
ORV,G,Chris Paul,24,NOH,1,60,0.017,45,38.0,18.7,4.2,10.7,2.1,0.2,.493,.409,.847,7.3,.204,1.5,1.6,109,paulch01
ORV,F,Tayshaun Prince,29,DET,1,60,0.017,49,34.0,13.5,5.1,3.3,0.7,0.4,.486,.370,.714,3.2,.091,0.6,-1.0,113,princta01
ORV,G,Earl Watson,30,IND,1,60,0.017,79,29.4,7.8,3.0,5.1,1.3,0.2,.426,.288,.710,2.6,.055,2.3,0.3,108,watsoea01
