,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Giannis Antetokounmpo,25,MIL,195,200,0.975,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,5.0,4.1,97,antetgi01
1st,F,Anthony Davis,26,LAL,187,200,0.935,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250,4.4,2.6,102,davisan02
1st,G,Ben Simmons,23,PHI,185,200,0.925,57,35.4,16.4,7.8,8.0,2.1,0.6,.580,.286,.621,6.9,.165,3.1,2.3,106,simmobe01
1st,C,Rudy Gobert,27,UTA,180,200,0.900,68,34.3,15.1,13.5,1.5,0.8,2.0,.693,,.630,10.7,.221,4.2,1.9,104,goberru01
1st,G,Marcus Smart,25,BOS,152,200,0.760,60,32.0,12.9,3.8,4.9,1.7,0.5,.375,.347,.836,4.5,.112,2.8,1.4,107,smartma01
2nd,F,Kawhi Leonard,28,LAC,128,200,0.640,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226,3.3,2.4,104,leonaka01
2nd,C,Brook Lopez,31,MIL,67,200,0.335,68,26.7,12.0,4.6,1.5,0.7,2.4,.435,.314,.836,5.5,.145,4.1,2.5,100,lopezbr01
2nd,F,Bam Adebayo,22,MIA,61,200,0.305,72,33.6,15.9,10.2,5.1,1.1,1.3,.557,.143,.691,8.5,.168,3.9,2.0,106,adebaba01
2nd,G,Patrick Beverley,31,LAC,60,200,0.300,51,26.3,7.9,5.2,3.6,1.1,0.5,.431,.388,.660,3.6,.128,2.0,2.5,107,beverpa01
