,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,C,Joakim Noah,28,CHI,223,246,0.907,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,6.6,3.6,96,noahjo01
1st,F,Paul George,23,IND,161,246,0.654,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,.364,.864,10.8,.178,6.4,2.1,97,georgpa01
1st,G,Chris Paul,28,LAC,156,246,0.634,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,.368,.855,12.2,.270,3.2,2.6,103,paulch01
1st,F,Serge Ibaka,24,OKC,152,246,0.618,81,32.9,15.1,8.8,1.0,0.5,2.7,.536,.383,.784,9.6,.173,4.4,0.6,102,ibakase01
1st,G,Andre Iguodala,30,GSW,148,246,0.602,63,32.4,9.3,4.7,4.2,1.5,0.3,.480,.354,.652,5.8,.135,3.1,2.4,103,iguodan01
2nd,F,LeBron James,29,MIA,134,246,0.545,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264,3.7,1.1,105,jamesle01
2nd,G,Patrick Beverley,25,HOU,112,246,0.455,56,31.3,10.2,3.5,2.7,1.4,0.4,.414,.361,.814,4.2,.116,1.6,0.9,108,beverpa01
2nd,G,Jimmy Butler,24,CHI,103,246,0.419,67,38.7,13.1,4.9,2.6,1.9,0.5,.397,.283,.769,7.1,.131,4.6,2.0,100,butleji01
2nd,F,Kawhi Leonard,22,SAS,89,246,0.362,66,29.1,12.8,6.2,2.0,1.7,0.8,.522,.379,.802,7.7,.193,3.9,3.0,98,leonaka01
2nd,C,Roy Hibbert,27,IND,76,246,0.309,81,29.7,10.8,6.6,1.1,0.4,2.2,.439,.400,.770,5.4,.108,5.0,1.5,98,hibbero01
ORV,C,DeAndre Jordan,25,LAC,63,246,0.256,82,35.0,10.4,13.6,0.9,1.0,2.5,.676,,.428,11.1,.186,5.8,1.6,98,jordade01
ORV,F,Anthony Davis,20,NOP,62,246,0.252,67,35.2,20.8,10.0,1.6,1.3,2.8,.519,.222,.791,10.4,.212,3.2,0.8,104,davisan02
ORV,G,Tony Allen,32,MEM,60,246,0.244,55,23.2,9.0,3.8,1.7,1.6,0.3,.494,.234,.628,2.7,.100,2.1,2.1,101,allento01
ORV,C,Tim Duncan,37,SAS,45,246,0.183,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,.000,.731,7.4,.164,4.6,2.1,98,duncati01
ORV,C,Dwight Howard,28,HOU,26,246,0.106,71,33.7,18.3,12.2,1.8,0.8,1.8,.591,.286,.547,8.0,.161,4.1,0.8,101,howardw01
ORV,G,Mike Conley,26,MEM,21,246,0.085,73,33.5,17.2,2.9,6.0,1.5,0.2,.450,.361,.815,8.2,.161,2.7,0.3,106,conlemi01
ORV,F,Taj Gibson,28,CHI,21,246,0.085,82,28.7,13.0,6.8,1.1,0.5,1.4,.479,.000,.751,5.7,.117,4.4,0.4,100,gibsota01
ORV,G,Ricky Rubio,23,MIN,19,246,0.077,82,32.2,9.5,4.2,8.6,2.3,0.1,.381,.331,.802,5.9,.107,3.6,1.7,104,rubiori01
ORV,G,Lance Stephenson,23,IND,14,246,0.057,78,35.3,13.8,7.2,4.6,0.7,0.1,.491,.352,.711,7.4,.130,4.8,1.0,101,stephla01
ORV,F,P.J. Tucker,28,PHO,13,246,0.053,81,30.7,9.4,6.5,1.7,1.4,0.3,.431,.387,.776,6.1,.117,2.8,0.9,106,tuckepj01
