,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,G,Bruce Bowen,34,SAS,55,60,0.917,82,33.6,7.5,3.9,1.5,1.0,0.4,.433,.424,.607,6.2,.108,4.5,2.0,101,bowenbr01
1st,C,Ben Wallace,31,DET,54,60,0.900,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,6.9,3.1,95,wallabe01
1st,F,Andrei Kirilenko,24,UTA,44,60,0.733,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,.308,.699,7.9,.145,4.3,3.1,101,kirilan01
1st,F,Metta World Peace,26,TOT,30,60,0.500,56,39.4,17.6,5.1,3.6,2.2,0.7,.404,.308,.675,3.7,.081,3.2,1.3,103,artesro01
1st,G,Kobe Bryant,27,LAL,28,60,0.467,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224,3.7,0.2,105,bryanko01
1st,G,Jason Kidd,32,NJN,28,60,0.467,80,37.2,13.3,7.3,8.4,1.9,0.4,.404,.352,.795,10.1,.163,5.6,2.6,99,kiddja01
2nd,G,Chauncey Billups,29,DET,23,60,0.383,81,36.1,18.5,3.1,8.6,0.9,0.1,.418,.433,.894,15.5,.254,2.8,0.1,107,billuch01
2nd,F,Tim Duncan,29,SAS,23,60,0.383,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187,6.9,2.6,94,duncati01
2nd,F,Kevin Garnett,29,MIN,18,60,0.300,76,38.9,21.8,12.7,4.1,1.4,1.4,.526,.267,.810,14.9,.242,5.9,2.2,98,garneke01
2nd,C,Marcus Camby,31,DEN,15,60,0.250,56,33.2,12.8,11.9,2.1,1.4,3.3,.465,.091,.712,5.5,.141,4.5,3.3,95,cambyma01
2nd,G,Tayshaun Prince,25,DET,13,60,0.217,82,35.3,14.1,4.2,2.3,0.8,0.5,.455,.350,.765,7.0,.115,3.0,-0.2,106,princta01
ORV,F,Rasheed Wallace,31,DET,12,60,0.200,80,34.8,15.1,6.8,2.3,1.0,1.6,.430,.357,.743,8.9,.154,4.9,1.9,100,wallara01
ORV,F,Shawn Marion,27,PHO,11,60,0.183,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214,5.9,1.3,100,mariosh01
ORV,F,Gerald Wallace,23,CHA,11,60,0.183,55,34.5,15.2,7.5,1.7,2.5,2.1,.538,.280,.614,6.4,.163,3.4,2.9,100,wallage01
ORV,G,Raja Bell,29,PHO,9,60,0.150,79,37.5,14.7,3.2,2.6,1.0,0.3,.457,.442,.788,6.8,.110,2.1,0.1,109,bellra01
ORV,G,Dwyane Wade,24,MIA,8,60,0.133,75,38.6,27.2,5.7,6.7,1.9,0.8,.495,.171,.783,14.4,.239,4.2,1.8,103,wadedw01
ORV,G,Kirk Hinrich,25,CHI,7,60,0.117,81,36.5,15.9,3.6,6.3,1.2,0.3,.418,.370,.815,7.6,.124,3.5,0.6,105,hinriki01
ORV,C,Alonzo Mourning,35,MIA,7,60,0.117,65,20.0,7.8,5.5,0.2,0.2,2.7,.597,.000,.594,4.8,.176,2.6,2.5,98,mournal01
ORV,F,Shane Battier,27,MEM,6,60,0.100,81,35.0,10.1,5.3,1.7,1.1,1.4,.488,.394,.707,9.1,.153,4.5,1.8,102,battish01
ORV,G,Gilbert Arenas,24,WAS,4,60,0.067,80,42.3,29.3,3.5,6.1,2.0,0.3,.447,.369,.820,13.6,.193,2.6,0.0,108,arenagi01
ORV,F,Andre Iguodala,22,PHI,4,60,0.067,82,37.6,12.3,5.9,3.1,1.6,0.3,.500,.354,.754,7.5,.116,2.6,0.4,108,iguodan01
ORV,F,P.J. Brown,36,NOK,3,60,0.050,75,31.7,9.0,7.3,1.2,0.6,0.7,.461,,.827,4.4,.088,2.3,-0.2,107,brownpj01
ORV,G,Manu Ginóbili,28,SAS,3,60,0.050,65,27.9,15.1,3.5,3.6,1.6,0.4,.462,.382,.778,8.8,.234,3.7,3.0,98,ginobma01
ORV,C,Dwight Howard,20,ORL,3,60,0.050,82,36.8,15.8,12.5,1.5,0.8,1.4,.531,.000,.595,8.6,.137,4.4,-0.1,103,howardw01
ORV,F,Josh Howard,25,DAL,3,60,0.050,59,32.5,15.6,6.3,1.9,1.2,0.4,.471,.429,.734,6.7,.168,2.3,0.0,105,howarjo01
ORV,F,LeBron James,21,CLE,3,60,0.050,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232,4.3,1.6,104,jamesle01
ORV,G,Brevin Knight,30,CHA,3,60,0.050,69,34.1,12.6,3.2,8.8,2.3,0.1,.399,.231,.803,4.9,.101,2.5,1.0,106,knighbr01
ORV,C,Shaquille O'Neal,33,MIA,3,60,0.050,59,30.6,20.0,9.2,1.9,0.4,1.8,.600,,.469,6.2,.164,2.9,0.3,102,onealsh01
ORV,G,Tony Parker,23,SAS,3,60,0.050,80,33.9,18.9,3.3,5.8,1.0,0.1,.548,.306,.707,9.6,.169,4.1,0.4,102,parketo01
ORV,G,Quinton Ross,24,LAC,3,60,0.050,67,22.6,4.7,2.5,1.2,0.8,0.2,.422,.000,.760,1.6,.050,1.7,1.5,105,rossqu01
ORV,F,Elton Brand,26,LAC,2,60,0.033,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229,5.5,1.6,100,brandel01
ORV,G,Allen Iverson,30,PHI,2,60,0.033,72,43.1,33.0,3.2,7.4,1.9,0.1,.447,.323,.814,10.6,.165,1.8,-1.0,110,iversal01
ORV,G,Eddie Jones,34,MEM,2,60,0.033,75,32.5,11.8,3.7,2.4,1.7,0.4,.404,.356,.781,7.2,.141,4.2,2.3,100,jonesed02
ORV,C,Jason Collins,27,NJN,1,60,0.017,71,26.7,3.6,4.8,1.0,0.6,0.6,.397,.250,.512,2.0,.051,2.9,1.5,102,collija04
ORV,F,Boris Diaw,23,PHO,1,60,0.017,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149,3.0,1.4,106,diawbo01
ORV,F,Pau Gasol,25,MEM,1,60,0.017,80,39.2,20.4,8.9,4.6,0.6,1.9,.503,.250,.689,12.0,.184,5.4,1.7,100,gasolpa01
ORV,G,Trenton Hassell,26,MIN,1,60,0.017,77,32.6,9.2,2.8,2.6,0.6,0.4,.464,.304,.744,2.3,.044,1.6,-0.6,109,hassetr01
ORV,G,Mike James,30,TOR,1,60,0.017,79,37.0,20.3,3.3,5.8,0.9,0.0,.469,.442,.837,7.6,.125,-0.1,-2.2,115,jamesmi01
