,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,F,Draymond Green,26,GSW,198,200,0.990,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,5.4,3.9,99,greendr01
1st,C,Rudy Gobert,24,UTA,196,200,0.980,81,33.9,14.0,12.8,1.2,0.6,2.6,.661,.000,.653,14.3,.250,6.0,2.2,99,goberru01
1st,F,Kawhi Leonard,25,SAS,192,200,0.960,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,.380,.880,13.6,.264,4.7,2.2,102,leonaka01
1st,G,Chris Paul,31,LAC,140,200,0.700,61,31.5,18.1,5.0,9.2,2.0,0.1,.476,.411,.892,10.6,.264,2.6,2.5,106,paulch01
1st,G,Patrick Beverley,28,HOU,110,200,0.550,67,30.7,9.5,5.9,4.2,1.5,0.4,.420,.382,.768,5.3,.123,2.4,1.4,108,beverpa01
2nd,G,Tony Allen,35,MEM,80,200,0.400,71,27.0,9.1,5.5,1.4,1.6,0.4,.461,.278,.615,3.1,.077,2.9,1.1,105,allento01
2nd,G,Danny Green,29,SAS,68,200,0.340,68,26.6,7.3,3.3,1.8,1.0,0.8,.392,.379,.844,3.4,.090,3.0,1.9,104,greenda02
2nd,C,Anthony Davis,23,NOP,58,200,0.290,75,36.1,28.0,11.8,2.1,1.3,2.2,.505,.299,.802,11.0,.195,5.1,1.4,102,davisan02
2nd,F,Andre Roberson,25,OKC,53,200,0.265,79,30.1,6.6,5.1,1.0,1.2,1.0,.464,.245,.423,4.2,.085,3.1,1.4,106,roberan03
2nd,F,Giannis Antetokounmpo,22,MIL,35,200,0.175,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,4.5,2.4,104,antetgi01
ORV,G,Avery Bradley,26,BOS,46,200,0.230,55,33.4,16.3,6.1,2.2,1.2,0.2,.463,.390,.731,3.1,.081,2.0,-0.5,108,bradlav01
ORV,G,Klay Thompson,26,GSW,45,200,0.225,78,34.0,22.3,3.7,2.1,0.8,0.5,.468,.414,.853,7.1,.129,2.9,-1.6,108,thompkl01
ORV,G,John Wall,26,WAS,38,200,0.190,78,36.4,23.1,4.2,10.7,2.0,0.6,.451,.327,.801,8.8,.149,3.0,0.1,108,walljo01
ORV,C,DeAndre Jordan,28,LAC,35,200,0.175,81,31.7,12.7,13.8,1.2,0.6,1.7,.714,.000,.482,11.8,.221,4.6,0.9,102,jordade01
ORV,F,Paul Millsap,31,ATL,35,200,0.175,69,34.0,18.1,7.7,3.7,1.3,0.9,.442,.311,.768,6.4,.132,3.8,1.3,104,millspa01
ORV,C,Hassan Whiteside,27,MIA,25,200,0.125,77,32.6,17.0,14.1,0.7,0.7,2.1,.557,,.628,9.5,.181,5.3,0.5,100,whiteha01
ORV,G,Marcus Smart,22,BOS,21,200,0.105,79,30.4,10.6,3.9,4.6,1.6,0.4,.359,.283,.812,3.2,.064,2.7,0.6,108,smartma01
ORV,G,Jimmy Butler,27,CHI,18,200,0.090,76,37.0,23.9,6.2,5.5,1.9,0.4,.455,.367,.865,13.8,.236,3.8,1.7,106,butleji01
ORV,F,LeBron James,32,CLE,12,200,0.060,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,.363,.674,12.9,.221,3.0,1.2,108,jamesle01
ORV,F,Robert Covington,26,PHI,11,200,0.055,67,31.6,12.9,6.5,1.5,1.9,1.0,.399,.333,.822,3.1,.071,3.2,1.4,105,covinro01
ORV,G,Russell Westbrook,28,OKC,10,200,0.050,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,.224,4.6,2.4,104,westbru01
ORV,F,Paul George,26,IND,7,200,0.035,75,35.9,23.7,6.6,3.3,1.6,0.4,.461,.393,.898,7.1,.126,3.1,0.1,108,georgpa01
ORV,F,Kevin Durant,28,GSW,6,200,0.030,62,33.4,25.1,8.3,4.8,1.1,1.6,.537,.375,.875,12.0,.278,4.0,2.2,101,duranke01
ORV,C,Dwight Howard,31,ATL,6,200,0.030,74,29.7,13.5,12.7,1.4,0.9,1.2,.633,.000,.533,8.3,.181,4.5,0.8,100,howardw01
ORV,G,Mike Conley,29,MEM,5,200,0.025,69,33.2,20.5,3.5,6.3,1.3,0.3,.460,.408,.859,10.0,.209,2.5,0.8,108,conlemi01
ORV,F,Jae Crowder,26,BOS,5,200,0.025,72,32.4,13.9,5.8,2.2,1.0,0.3,.463,.398,.811,6.7,.137,2.5,-0.1,108,crowdja01
ORV,G,Jrue Holiday,26,NOP,5,200,0.025,67,32.7,15.4,3.9,7.3,1.5,0.7,.454,.356,.708,3.8,.084,2.6,0.2,108,holidjr01
ORV,G,Wesley Matthews,30,DAL,4,200,0.020,73,34.2,13.5,3.5,2.9,1.1,0.2,.393,.363,.816,3.1,.060,2.1,0.0,110,matthwe02
ORV,G,Stephen Curry,28,GSW,3,200,0.015,79,33.4,25.3,4.5,6.6,1.8,0.2,.468,.411,.898,12.6,.229,3.9,0.3,105,curryst01
ORV,F,Andre Iguodala,33,GSW,3,200,0.015,76,26.3,7.6,4.0,3.4,1.0,0.5,.528,.362,.706,6.9,.167,2.9,1.7,105,iguodan01
ORV,F,Michael Kidd-Gilchrist,23,CHO,3,200,0.015,81,29.0,9.2,7.0,1.4,1.0,1.0,.477,.111,.784,5.8,.119,3.1,0.9,106,kiddgmi01
