,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,J.R. Smith,27,NYK,72.0,484.0,605,0.800,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120,smithjr01
2,Jamal Crawford,32,LAC,31.0,352.0,605,0.582,76,29.3,16.5,1.7,2.5,1.0,0.2,.438,.376,.871,5.4,.116,crawfja01
3,Jarrett Jack,29,GSW,14.0,170.0,605,0.281,79,29.7,12.9,3.1,5.6,0.8,0.1,.452,.404,.843,5.6,.115,jackja01
4,Kevin Martin,29,OKC,2.0,31.0,605,0.051,77,27.7,14.0,2.3,1.4,0.9,0.1,.450,.426,.890,7.0,.157,martike02
5,Ryan Anderson,24,NOH,1.0,11.0,605,0.018,81,30.9,16.2,6.4,1.2,0.5,0.4,.423,.382,.844,6.5,.125,anderry01
6,Andre Miller,36,DEN,0.0,7.0,605,0.012,82,26.2,9.6,2.9,5.9,0.9,0.1,.479,.266,.840,5.4,.120,millean02
7,Jordan Crawford,24,TOT,1.0,5.0,605,0.008,70,24.4,11.6,3.0,3.2,0.6,0.1,.415,.337,.811,1.9,.052,crawfjo02
8T,Corey Brewer,26,DEN,0.0,4.0,605,0.007,82,24.4,12.1,2.9,1.5,1.4,0.3,.425,.296,.690,3.9,.093,breweco01
8T,Manu Ginóbili,35,SAS,0.0,4.0,605,0.007,60,23.2,11.8,3.4,4.6,1.3,0.2,.425,.353,.796,4.5,.155,ginobma01
8T,Carl Landry,29,GSW,0.0,4.0,605,0.007,81,23.2,10.8,6.0,0.8,0.4,0.4,.540,.333,.817,6.2,.159,landrca01
8T,Nate Robinson,28,CHI,0.0,4.0,605,0.007,82,25.4,13.1,2.2,4.4,1.0,0.1,.433,.405,.799,5.9,.136,robinna01
12T,Shane Battier,34,MIA,0.0,2.0,605,0.003,72,24.8,6.6,2.3,1.0,0.6,0.8,.420,.430,.842,4.4,.119,battish01
12T,Ramon Sessions,26,CHA,0.0,2.0,605,0.003,61,27.1,14.4,2.8,3.8,0.8,0.1,.408,.308,.839,2.9,.084,sessira01
14T,Luke Babbitt,23,POR,0.0,1.0,605,0.002,62,11.8,3.9,2.2,0.5,0.2,0.1,.368,.348,.769,0.7,.047,babbilu01
14T,Vince Carter,36,DAL,0.0,1.0,605,0.002,81,25.8,13.4,4.1,2.4,0.9,0.5,.435,.406,.816,6.0,.137,cartevi01
14T,Gordon Hayward,22,UTA,0.0,1.0,605,0.002,72,29.2,14.1,3.1,3.0,0.8,0.5,.435,.415,.827,5.4,.123,haywago01
14T,JJ Redick,28,TOT,0.0,1.0,605,0.002,78,30.5,14.1,2.2,3.8,0.5,0.1,.434,.366,.900,4.5,.091,redicjj01
