,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Jason Terry,31,DAL,111.0,576.0,605,0.952,74,33.7,19.6,2.4,3.4,1.3,0.3,.463,.366,.880,7.3,.140,terryja01
2,J.R. Smith,23,DEN,3.0,155.0,605,0.256,81,27.7,15.2,3.7,2.8,1.0,0.2,.446,.397,.754,5.8,.124,smithjr01
3,Nate Robinson,24,NYK,2.0,113.0,605,0.187,74,29.9,17.2,3.9,4.1,1.3,0.1,.437,.325,.841,5.9,.128,robinna01
4,Lamar Odom,29,LAL,2.0,78.0,605,0.129,78,29.7,11.3,8.2,2.6,1.0,1.3,.492,.320,.623,6.9,.143,odomla01
5,Travis Outlaw,24,POR,1.0,75.0,605,0.124,81,27.7,12.8,4.1,1.0,0.6,0.7,.453,.377,.723,5.3,.113,outlatr01
6,Manu Ginóbili,31,SAS,1.0,17.0,605,0.028,44,26.8,15.5,4.5,3.6,1.5,0.4,.454,.330,.884,5.0,.203,ginobma01
7,Ronald Murray,29,ATL,1.0,16.0,605,0.026,80,24.7,12.2,2.1,2.0,1.1,0.2,.447,.360,.760,3.1,.076,murraro01
8,Chris Andersen,30,DEN,0.0,13.0,605,0.021,71,20.6,6.4,6.2,0.4,0.6,2.5,.548,.200,.718,5.4,.176,anderch01
9,Andrei Kirilenko,27,UTA,0.0,7.0,605,0.012,67,27.3,11.6,4.8,2.6,1.2,1.1,.449,.274,.785,4.6,.122,kirilan01
10T,Leandro Barbosa,26,PHO,0.0,6.0,605,0.010,70,24.4,14.2,2.6,2.3,1.2,0.1,.482,.375,.881,5.0,.141,barbole01
10T,Corey Maggette,29,GSW,0.0,6.0,605,0.010,51,31.1,18.6,5.5,1.8,0.9,0.2,.461,.253,.824,3.3,.100,maggeco01
10T,Lou Williams,22,PHI,0.0,6.0,605,0.010,81,23.7,12.8,2.0,3.0,1.0,0.2,.398,.286,.790,3.4,.085,willilo02
13,Eddie House,30,BOS,0.0,5.0,605,0.008,81,18.3,8.5,1.9,1.1,0.8,0.1,.445,.444,.792,4.9,.158,houseed01
14,Kirk Hinrich,28,CHI,0.0,4.0,605,0.007,51,26.3,9.9,2.4,3.9,1.3,0.4,.437,.408,.791,2.6,.092,hinriki01
15,Jason Kapono,27,TOR,0.0,3.0,605,0.005,80,22.9,8.2,2.0,1.3,0.3,0.0,.432,.428,.810,0.8,.021,kaponja01
16,James Posey,32,NOH,0.0,2.0,605,0.003,75,28.5,8.9,4.8,1.1,0.8,0.3,.412,.369,.822,4.2,.095,poseyja01
17T,Trevor Ariza,23,LAL,0.0,1.0,605,0.002,82,24.4,8.9,4.3,1.8,1.7,0.3,.460,.319,.710,6.1,.146,arizatr01
17T,Michael Beasley,20,MIA,0.0,1.0,605,0.002,81,24.8,13.9,5.4,1.0,0.5,0.5,.472,.407,.772,3.4,.081,beaslmi01
17T,Paul Millsap,23,UTA,0.0,1.0,605,0.002,76,30.1,13.5,8.6,1.8,1.0,1.0,.534,.000,.699,7.7,.162,millspa01
17T,Hakim Warrick,26,MEM,0.0,1.0,605,0.002,82,24.7,11.6,5.0,0.8,0.6,0.5,.491,.217,.711,4.7,.111,warriha01
