,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Jamal Crawford,35,LAC,51.0,341.0,650,0.525,79,26.9,14.2,1.8,2.3,0.7,0.2,.404,.340,.904,3.3,.076,crawfja01
2,Andre Iguodala,32,GSW,33.0,288.0,650,0.443,65,26.6,7.0,4.0,3.4,1.1,0.3,.478,.351,.614,4.4,.122,iguodan01
3,Enes Freedom,23,OKC,19.0,182.0,650,0.280,82,21.0,12.7,8.1,0.4,0.3,0.4,.576,.476,.797,8.1,.226,kanteen01
4,Will Barton,25,DEN,15.0,158.0,650,0.243,82,28.7,14.4,5.8,2.5,0.9,0.5,.432,.345,.806,4.3,.088,bartowi01
5,Evan Turner,27,BOS,3.0,46.0,650,0.071,81,28.0,10.5,4.9,4.4,1.0,0.3,.456,.241,.827,4.0,.085,turneev01
6,Ryan Anderson,27,NOP,4.0,43.0,650,0.066,66,30.4,17.0,6.0,1.1,0.6,0.4,.427,.366,.873,3.9,.092,anderry01
7,Jeremy Lin,27,CHO,1.0,30.0,650,0.046,78,26.3,11.7,3.2,3.0,0.7,0.5,.412,.336,.815,3.5,.082,linje01
8,Ed Davis,26,POR,1.0,21.0,650,0.032,81,20.8,6.5,7.4,1.1,0.7,0.9,.611,,.559,6.7,.192,davised01
9,Dennis Schröder,22,ATL,1.0,17.0,650,0.026,80,20.3,11.0,2.6,4.4,0.9,0.1,.421,.322,.791,2.2,.064,schrode01
10,Tristan Thompson,24,CLE,2.0,16.0,650,0.025,82,27.7,7.8,9.0,0.8,0.5,0.6,.588,,.616,8.7,.185,thomptr01
11,Shaun Livingston,30,GSW,0.0,7.0,650,0.011,78,19.5,6.3,2.2,3.0,0.7,0.3,.536,.167,.860,4.6,.145,livinsh01
12T,J.J. Barea,31,DAL,0.0,5.0,650,0.008,74,22.5,10.9,2.1,4.1,0.4,0.0,.446,.385,.771,2.8,.082,bareajo01
12T,Boris Diaw,33,SAS,0.0,5.0,650,0.008,76,18.2,6.4,3.1,2.3,0.3,0.3,.527,.362,.737,3.8,.132,diawbo01
14,Zach LaVine,20,MIN,0.0,4.0,650,0.006,82,28.0,14.0,2.8,3.1,0.8,0.2,.452,.389,.793,2.6,.054,lavinza01
15,Darren Collison,28,SAC,0.0,3.0,650,0.005,74,30.0,14.0,2.3,4.3,1.0,0.1,.486,.401,.858,5.2,.113,collida01
16T,Allen Crabbe,23,POR,0.0,1.0,650,0.002,81,26.0,10.3,2.7,1.2,0.8,0.2,.459,.393,.867,4.3,.098,crabbal01
16T,Jrue Holiday,25,NOP,0.0,1.0,650,0.002,65,28.2,16.8,3.0,6.0,1.4,0.3,.439,.336,.843,3.4,.089,holidjr01
16T,Patrick Patterson,26,TOR,0.0,1.0,650,0.002,79,25.6,6.9,4.3,1.2,0.7,0.4,.414,.362,.853,3.6,.086,pattepa01
16T,Mirza Teletović,30,PHO,0.0,1.0,650,0.002,79,21.3,12.2,3.8,1.1,0.4,0.3,.427,.393,.774,3.8,.109,teletmi01
