,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Jamal Crawford,33,LAC,57.0,421.0,625,0.674,69,30.3,18.6,2.3,3.2,0.9,0.2,.416,.361,.866,5.3,.122,crawfja01
2,Taj Gibson,28,CHI,49.0,395.0,625,0.632,82,28.7,13.0,6.8,1.1,0.5,1.4,.479,.000,.751,5.7,.117,gibsota01
3,Manu Ginóbili,36,SAS,9.0,138.0,625,0.221,68,22.8,12.3,3.0,4.3,1.0,0.3,.469,.349,.851,5.7,.176,ginobma01
4,Markieff Morris,24,PHO,5.0,85.0,625,0.136,81,26.6,13.8,6.0,1.8,0.8,0.6,.486,.315,.792,6.4,.143,morrima02
5,Reggie Jackson,23,OKC,4.0,49.0,625,0.078,80,28.5,13.1,3.9,4.1,1.1,0.1,.440,.339,.893,4.9,.104,jacksre01
6,Vince Carter,37,DAL,1.0,12.0,625,0.019,81,24.4,11.9,3.5,2.6,0.8,0.4,.407,.394,.821,4.3,.105,cartevi01
7,D.J. Augustin,26,TOT,0.0,6.0,625,0.010,71,27.3,13.1,1.8,4.4,0.7,0.0,.415,.401,.885,6.2,.154,augusdj01
8T,Enes Freedom,21,UTA,0.0,3.0,625,0.005,80,26.7,12.3,7.5,0.9,0.4,0.5,.491,.000,.730,2.2,.050,kanteen01
8T,Dion Waiters,22,CLE,0.0,3.0,625,0.005,70,29.6,15.9,2.8,3.0,0.9,0.2,.433,.368,.685,1.6,.037,waitedi01
8T,Nick Young,28,LAL,0.0,3.0,625,0.005,64,28.3,17.9,2.6,1.5,0.7,0.2,.435,.386,.825,2.5,.067,youngni01
11T,Chris Andersen,35,MIA,0.0,2.0,625,0.003,72,19.4,6.6,5.3,0.3,0.4,1.3,.644,.250,.710,6.0,.205,anderch01
11T,Marco Belinelli,27,SAS,0.0,2.0,625,0.003,80,25.2,11.4,2.8,2.2,0.6,0.1,.485,.430,.847,5.9,.140,belinma01
13T,Andray Blatche,27,BRK,0.0,1.0,625,0.002,73,22.2,11.2,5.3,1.5,1.0,0.5,.476,.278,.742,3.7,.109,blatcan01
13T,Tim Hardaway Jr.,21,NYK,0.0,1.0,625,0.002,81,23.1,10.2,1.5,0.8,0.5,0.1,.428,.363,.828,3.1,.080,hardati02
13T,Patty Mills,25,SAS,0.0,1.0,625,0.002,81,18.9,10.2,2.1,1.8,0.8,0.1,.464,.425,.890,5.6,.175,millspa02
13T,Timofey Mozgov,27,DEN,0.0,1.0,625,0.002,82,21.6,9.4,6.4,0.8,0.3,1.2,.523,.167,.754,4.5,.123,mozgoti01
13T,Greivis Vásquez,27,TOT,0.0,1.0,625,0.002,79,22.5,9.6,2.2,4.1,0.4,0.1,.421,.377,.880,3.6,.097,vasqugr01
13T,Mo Williams,31,POR,0.0,1.0,625,0.002,74,24.8,9.7,2.1,4.3,0.7,0.1,.417,.369,.876,2.2,.056,willima01
