,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Manu Ginóbili,30,SAS,123.0,615.0,620,0.992,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232,ginobma01
2,Leandro Barbosa,25,PHO,1.0,283.0,620,0.456,82,29.5,15.6,2.8,2.6,0.9,0.2,.462,.389,.822,5.5,.109,barbole01
3,Jason Terry,30,DAL,0.0,44.0,620,0.071,82,31.5,15.5,2.5,3.2,1.1,0.2,.467,.375,.857,8.6,.160,terryja01
4,Kyle Korver,26,TOT,0.0,34.0,620,0.055,75,23.1,9.9,2.3,1.3,0.6,0.4,.443,.375,.915,4.2,.116,korveky01
5,Ben Gordon,24,CHI,0.0,27.0,620,0.044,72,31.8,18.6,3.1,3.0,0.8,0.1,.434,.410,.908,5.1,.106,gordobe01
6,Josh Childress,24,ATL,0.0,23.0,620,0.037,76,29.9,11.8,4.9,1.5,0.9,0.6,.571,.367,.807,7.6,.160,childjo01
7,J.R. Smith,22,DEN,0.0,22.0,620,0.035,74,19.2,12.3,2.1,1.7,0.8,0.2,.461,.403,.719,3.7,.126,smithjr01
8,James Posey,31,BOS,0.0,19.0,620,0.031,74,24.6,7.4,4.4,1.5,1.0,0.3,.418,.380,.809,6.2,.164,poseyja01
9T,Jason Maxiell,24,DET,0.0,11.0,620,0.018,82,21.6,7.9,5.3,0.6,0.3,1.1,.538,.000,.633,6.3,.171,maxieja01
9T,Travis Outlaw,23,POR,0.0,11.0,620,0.018,82,26.7,13.3,4.6,1.3,0.7,0.8,.433,.396,.741,3.2,.071,outlatr01
11T,Jordan Farmar,21,LAL,0.0,5.0,620,0.008,82,20.6,9.1,2.2,2.7,0.9,0.1,.461,.371,.679,3.9,.111,farmajo01
11T,Linas Kleiza,23,DEN,0.0,5.0,620,0.008,79,23.9,11.1,4.2,1.2,0.6,0.2,.472,.339,.770,4.7,.119,kleizli01
13,Jerry Stackhouse,33,DAL,0.0,4.0,620,0.006,58,24.3,10.7,2.3,2.5,0.5,0.2,.405,.326,.892,2.3,.077,stackje01
14T,Jarrett Jack,24,POR,0.0,3.0,620,0.005,82,27.2,9.9,2.9,3.8,0.7,0.0,.431,.342,.867,3.2,.069,jackja01
14T,David Lee,24,NYK,0.0,3.0,620,0.005,81,29.1,10.8,8.9,1.2,0.7,0.4,.552,.000,.819,7.4,.151,leeda02
14T,Rashad McCants,23,MIN,0.0,3.0,620,0.005,75,26.9,14.9,2.7,2.2,0.9,0.2,.453,.407,.748,1.7,.040,mccanra01
14T,Lou Williams,21,PHI,0.0,3.0,620,0.005,80,23.3,11.5,2.1,3.2,1.0,0.2,.424,.359,.783,4.4,.112,willilo02
18,Andrés Nocioni,28,CHI,0.0,1.0,620,0.002,82,24.6,13.2,4.2,1.2,0.3,0.5,.432,.364,.807,3.3,.077,nocioan01
