,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Lamar Odom,31,LAL,96.0,513.0,585,0.877,82,32.2,14.4,8.7,3.0,0.6,0.7,.530,.382,.675,10.1,.184,odomla01
2,Jason Terry,33,DAL,13.0,244.0,585,0.417,82,31.3,15.8,1.9,4.1,1.1,0.2,.451,.362,.850,5.3,.100,terryja01
3,Thaddeus Young,22,PHI,2.0,76.0,585,0.130,82,26.0,12.7,5.3,1.0,1.1,0.3,.541,.273,.707,6.2,.139,youngth01
4,Glen Davis,25,BOS,0.0,75.0,585,0.128,78,29.5,11.7,5.4,1.2,1.0,0.4,.448,.133,.736,4.9,.102,davisgl01
5,Jamal Crawford,30,ATL,5.0,51.0,585,0.087,76,30.2,14.2,1.7,3.2,0.8,0.2,.421,.341,.854,3.4,.071,crawfja01
6,Lou Williams,24,PHI,1.0,26.0,585,0.044,75,23.3,13.7,2.0,3.4,0.6,0.2,.406,.348,.823,5.1,.141,willilo02
7,James Harden,21,OKC,0.0,19.0,585,0.032,82,26.7,12.2,3.1,2.1,1.1,0.3,.436,.349,.843,7.1,.156,hardeja01
8,George Hill,24,SAS,0.0,18.0,585,0.031,76,28.3,11.6,2.6,2.5,0.9,0.3,.453,.377,.863,6.1,.136,hillge01
9,Marcin Gortat,26,TOT,0.0,11.0,585,0.019,80,25.4,10.2,7.9,0.9,0.5,1.1,.561,.250,.725,6.4,.152,gortama01
10,J.R. Smith,25,DEN,0.0,7.0,585,0.012,79,24.9,12.3,4.1,2.2,1.2,0.2,.435,.390,.738,5.0,.121,smithjr01
11T,Tony Allen,29,MEM,0.0,3.0,585,0.005,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,allento01
11T,Ty Lawson,23,DEN,0.0,3.0,585,0.005,80,26.3,11.7,2.6,4.7,1.0,0.1,.503,.404,.764,6.7,.153,lawsoty01
11T,O.J. Mayo,23,MEM,0.0,3.0,585,0.005,71,26.3,11.3,2.4,2.0,1.0,0.4,.407,.364,.756,2.4,.062,mayooj01
14,Toney Douglas,24,NYK,0.0,2.0,585,0.003,81,24.3,10.6,3.0,3.0,1.1,0.0,.416,.373,.794,4.2,.101,douglto01
15T,Matt Bonner,30,SAS,0.0,1.0,585,0.002,66,21.7,7.3,3.6,0.9,0.4,0.3,.464,.457,.744,4.4,.147,bonnema01
15T,JJ Redick,26,ORL,0.0,1.0,585,0.002,59,25.6,10.1,1.9,1.7,0.5,0.1,.441,.397,.875,4.5,.142,redicjj01
