,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Jamal Crawford,29,ATL,110.0,580.0,610,0.951,79,31.1,18.0,2.5,3.0,0.8,0.2,.449,.382,.857,7.3,.143,crawfja01
2,Jason Terry,32,DAL,6.0,220.0,610,0.361,77,33.0,16.6,1.8,3.8,1.2,0.2,.438,.365,.866,6.5,.123,terryja01
3,Anderson Varejão,27,CLE,2.0,126.0,610,0.207,76,28.5,8.6,7.6,1.1,0.9,0.9,.572,.200,.663,8.1,.179,varejan01
4,Manu Ginóbili,32,SAS,2.0,75.0,610,0.123,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216,ginobma01
5,J.R. Smith,24,DEN,0.0,33.0,610,0.054,75,27.8,15.4,3.1,2.4,1.3,0.3,.414,.338,.706,2.7,.062,smithjr01
6,Lamar Odom,30,LAL,1.0,25.0,610,0.041,82,31.5,10.8,9.8,3.3,0.9,0.7,.463,.319,.693,7.7,.143,odomla01
7,Paul Millsap,24,UTA,1.0,15.0,610,0.025,82,27.8,11.6,6.8,1.6,0.8,1.2,.538,.111,.693,7.2,.151,millspa01
8,Carl Landry,26,TOT,0.0,12.0,610,0.020,80,30.9,16.8,5.9,0.8,0.7,0.8,.536,.333,.806,7.7,.150,landrca01
9,Udonis Haslem,29,MIA,0.0,5.0,610,0.008,78,27.9,9.9,8.1,0.7,0.4,0.3,.494,,.762,6.0,.132,hasleud01
10,Marcus Thornton,22,NOH,0.0,3.0,610,0.005,73,25.6,14.5,2.9,1.6,0.8,0.2,.451,.374,.814,4.0,.103,thornma01
11T,Jared Dudley,24,PHO,0.0,1.0,610,0.002,82,24.3,8.2,3.4,1.4,1.0,0.2,.459,.458,.754,5.3,.129,dudleja01
11T,Al Harrington,29,NYK,0.0,1.0,610,0.002,72,30.5,17.7,5.6,1.5,0.9,0.4,.435,.342,.757,3.5,.077,harrial01
11T,Kevin Love,21,MIN,0.0,1.0,610,0.002,60,28.6,14.0,11.0,2.3,0.7,0.4,.450,.330,.815,4.9,.138,loveke01
11T,Kyle Lowry,23,HOU,0.0,1.0,610,0.002,68,24.3,9.1,3.6,4.5,0.9,0.1,.397,.272,.827,4.3,.126,lowryky01
