,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Antawn Jamison,27,DAL,43.0,338.0,600,0.563,82,29.0,14.8,6.3,0.9,1.0,0.4,.535,.400,.748,9.0,.183,jamisan01
2,Al Harrington,23,IND,27.0,275.0,600,0.458,79,30.9,13.3,6.4,1.7,1.0,0.3,.463,.273,.734,5.9,.116,harrial01
3,Manu Ginóbili,26,SAS,33.0,244.0,600,0.407,77,29.4,12.8,4.5,3.8,1.8,0.2,.418,.359,.802,9.1,.194,ginobma01
4,Bobby Jackson,30,SAC,5.0,70.0,600,0.117,50,23.7,13.8,3.5,2.1,1.0,0.2,.444,.370,.752,3.1,.124,jacksbo01
5,Earl Boykins,27,DEN,3.0,46.0,600,0.077,82,22.5,10.2,1.7,3.6,0.6,0.0,.419,.322,.877,4.1,.105,boykiea01
6,Desmond Mason,26,MIL,4.0,45.0,600,0.075,82,30.9,14.4,4.4,1.9,0.7,0.3,.472,.231,.769,5.7,.107,masonde01
7,Rafer Alston,27,MIA,1.0,14.0,600,0.023,82,31.5,10.2,2.8,4.5,1.4,0.2,.376,.371,.769,5.9,.110,alstora01
8,Shane Battier,25,MEM,2.0,10.0,600,0.017,79,24.6,8.5,3.8,1.3,1.3,0.7,.446,.349,.732,5.9,.145,battish01
9,Raja Bell,27,UTA,1.0,9.0,600,0.015,82,24.6,11.2,2.9,1.3,0.8,0.2,.409,.373,.786,3.7,.088,bellra01
10T,Maurice Taylor,27,HOU,1.0,8.0,600,0.013,75,27.7,11.5,5.1,1.4,0.6,0.6,.480,.000,.736,3.7,.085,tayloma01
10T,Corliss Williamson,30,DET,0.0,8.0,600,0.013,79,19.9,9.5,3.2,0.7,0.4,0.3,.505,,.731,4.1,.124,willico02
12,Bonzi Wells,27,TOT,0.0,5.0,600,0.008,72,26.0,12.3,3.6,1.9,1.3,0.3,.427,.319,.754,0.9,.023,wellsbo01
13,Darrell Armstrong,35,NOH,0.0,4.0,600,0.007,79,28.4,10.6,2.9,3.9,1.7,0.2,.395,.315,.854,5.3,.114,armstda01
14,Ricky Davis,24,TOT,0.0,2.0,600,0.003,79,31.3,14.4,4.5,3.3,1.2,0.3,.469,.371,.718,4.4,.085,davisri01
15T,Fred Hoiberg,31,MIN,0.0,1.0,600,0.002,79,22.8,6.7,3.4,1.4,0.8,0.1,.465,.442,.845,6.1,.163,hoibefr01
15T,Vladimir Radmanović,23,SEA,0.0,1.0,600,0.002,77,30.1,12.0,5.3,1.8,1.0,0.5,.425,.371,.748,4.2,.088,radmavl01
