,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,52-14,30-3,22-11,33-7,19-7,15-1,9-4,9-2,4-4,6-3,9-0,43-12,9-2,4-5,32-4,3-0,11-4,12-2,11-5,9-1,6-2,0-0
2,Denver Nuggets,47-20,27-6,20-14,21-6,26-14,7-2,7-2,7-2,6-5,11-5,9-4,36-19,11-1,4-3,22-9,4-0,9-6,10-5,10-5,8-3,6-1,0-0
3,Oklahoma City Thunder,46-20,27-7,19-13,17-5,29-15,4-2,5-2,8-1,11-4,9-7,9-4,37-17,9-3,4-3,26-7,3-1,9-5,10-3,11-6,8-3,5-2,0-0
4,Minnesota Timberwolves,45-21,23-8,22-13,14-10,31-11,5-4,4-3,5-3,9-2,8-5,14-4,39-16,6-5,6-5,25-8,1-2,13-2,10-3,10-7,8-3,3-4,0-0
5,Milwaukee Bucks,43-24,26-7,17-17,30-13,13-11,10-3,10-7,10-3,3-5,4-4,6-2,35-21,8-3,4-5,21-12,2-1,11-5,11-2,8-8,7-5,4-3,0-0
6,Cleveland Cavaliers,42-24,22-13,20-11,27-17,15-7,8-8,9-5,10-4,4-3,4-3,7-1,36-17,6-7,8-3,21-9,1-3,9-6,8-5,11-2,9-4,4-4,0-0
7,Los Angeles Clippers,42-24,22-10,20-14,17-6,25-18,5-3,5-3,7-0,6-8,8-5,11-5,36-17,6-7,2-3,24-11,3-1,5-9,11-2,12-3,6-5,5-4,0-0
8,New Orleans Pelicans,40-26,19-13,21-13,15-8,25-18,7-1,3-5,5-2,7-7,9-5,9-6,33-22,7-4,1-6,26-14,2-1,8-8,9-5,8-7,8-4,5-1,0-0
9,New York Knicks,39-27,22-13,17-14,27-15,12-12,8-5,7-6,12-4,5-3,3-4,4-5,33-22,6-5,3-2,26-14,2-2,9-5,6-8,14-2,4-8,4-2,0-0
