Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks,12,242.1,29.7,70.7,.420,7.1,22.0,.322,22.6,48.7,.464,19.5,25.4,.767,8.8,33.3,42.2,16.8,5.1,4.2,16.8,18.9,85.9
2,Boston Celtics,6,244.2,33.0,80.2,.412,8.0,24.0,.333,25.0,56.2,.445,13.7,18.2,.752,10.5,31.8,42.3,15.0,10.3,4.3,12.8,21.3,87.7
3,Miami Heat,23,242.2,33.0,75.7,.436,6.7,19.1,.353,26.3,56.6,.464,18.0,24.5,.732,11.5,28.8,40.3,17.7,6.9,3.4,16.0,21.0,90.7
4,Indiana Pacers,19,241.3,33.6,78.5,.428,7.1,19.8,.355,26.5,58.7,.452,17.4,23.1,.754,9.9,26.6,36.5,17.0,7.4,4.7,11.4,24.8,91.6
5,San Antonio Spurs,21,247.1,36.3,83.9,.432,7.2,19.4,.371,29.1,64.5,.451,13.6,19.6,.693,11.7,32.0,43.6,19.8,7.3,4.7,13.6,21.1,93.3
6,Memphis Grizzlies,15,245.0,35.1,78.1,.450,6.7,20.1,.334,28.4,57.9,.490,17.1,21.5,.795,8.7,31.5,40.2,19.1,5.1,6.5,14.0,25.3,94.1
7,Atlanta Hawks,6,240.0,32.8,79.2,.415,6.3,21.0,.302,26.5,58.2,.456,22.5,28.7,.785,12.8,36.5,49.3,19.7,6.8,4.8,15.5,23.8,94.5
8,Oklahoma City Thunder,11,242.3,33.9,81.6,.415,8.5,25.5,.335,25.4,56.1,.452,20.7,28.0,.740,10.5,32.8,43.3,17.7,6.7,4.9,13.4,22.1,97.1
9,Brooklyn Nets,7,250.7,39.3,83.7,.469,4.6,15.0,.305,34.7,68.7,.505,14.3,20.6,.694,10.7,31.0,41.7,21.4,6.0,5.7,13.1,21.7,97.4
10,Chicago Bulls,12,246.3,36.0,78.5,.459,6.6,19.8,.333,29.4,58.8,.501,20.0,26.3,.759,9.9,29.7,39.6,21.1,7.0,5.8,12.2,21.2,98.6
11,Milwaukee Bucks,4,240.0,37.0,74.5,.497,7.0,21.8,.322,30.0,52.8,.569,19.0,25.8,.738,10.8,32.8,43.5,23.5,9.3,4.3,17.0,20.3,100.0
12,Los Angeles Clippers,6,240.0,34.8,76.2,.457,4.3,13.3,.325,30.5,62.8,.485,26.2,34.3,.762,10.3,27.5,37.8,21.2,6.5,4.2,10.3,23.8,100.2
13,Golden State Warriors,12,246.3,37.5,85.4,.439,7.5,22.4,.335,30.0,63.0,.476,20.0,27.3,.732,11.5,30.3,41.8,21.8,8.6,3.5,13.2,21.9,102.5
14,Los Angeles Lakers,4,240.0,41.3,84.0,.491,6.0,17.0,.353,35.3,67.0,.526,15.5,19.3,.805,8.8,33.5,42.3,23.8,10.3,5.0,10.0,18.0,104.0
15,Houston Rockets,6,240.0,37.2,82.7,.450,10.2,28.3,.359,27.0,54.3,.497,21.3,25.2,.848,9.7,32.8,42.5,20.2,7.8,7.3,12.8,24.7,105.8
16,Denver Nuggets,6,240.0,40.2,81.3,.494,9.8,24.3,.404,30.3,57.0,.532,17.0,21.7,.785,10.0,33.2,43.2,23.8,6.5,6.7,18.7,23.5,107.2
,League Average,11,243.5,35.0,79.4,.441,7.1,20.6,.344,27.9,58.8,.475,18.1,24.0,.751,10.5,30.8,41.3,19.3,7.0,4.8,13.8,22.2,95.2
