Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic,14,241.8,31.4,74.2,.423,5.2,15.4,.340,26.1,58.9,.444,20.0,26.3,.761,9.1,28.2,37.4,18.3,6.9,3.8,13.5,26.1,87.9
2,Boston Celtics,24,241.0,32.0,74.1,.432,6.0,19.1,.316,26.0,55.0,.472,21.1,28.3,.744,10.3,29.4,39.7,16.4,6.9,5.4,15.5,22.7,91.1
3,Dallas Mavericks,6,240.0,35.8,78.0,.459,4.2,13.0,.321,31.7,65.0,.487,17.5,24.8,.705,11.2,30.7,41.8,18.2,6.2,3.2,12.5,19.8,93.3
4,Milwaukee Bucks,7,240.0,36.3,80.4,.451,5.0,14.1,.354,31.3,66.3,.472,16.1,20.7,.779,13.9,28.9,42.7,18.0,6.4,6.9,12.1,19.1,93.7
5,Charlotte Bobcats,4,240.0,30.3,68.8,.440,11.3,30.0,.375,19.0,38.8,.490,23.0,32.3,.713,9.3,28.5,37.8,15.5,7.8,6.5,12.8,23.5,94.8
6,Oklahoma City Thunder,6,240.0,36.0,81.5,.442,7.5,22.5,.333,28.5,59.0,.483,16.0,23.2,.691,11.3,32.0,43.3,20.8,6.2,6.2,13.0,24.8,95.5
7,Miami Heat,5,240.0,34.6,73.0,.474,7.2,16.4,.439,27.4,56.6,.484,19.4,25.4,.764,7.4,32.2,39.6,22.0,9.6,4.4,15.6,18.8,95.8
8,Atlanta Hawks,11,240.0,35.5,76.8,.462,8.2,23.7,.345,27.3,53.1,.514,17.2,23.2,.741,10.3,30.6,40.9,18.3,5.8,4.0,12.2,20.6,96.3
9,Los Angeles Lakers,23,240.0,34.6,79.3,.436,6.2,19.2,.321,28.4,60.0,.473,22.0,27.8,.789,11.5,28.5,40.0,20.0,6.6,4.8,12.5,23.3,97.3
10,Cleveland Cavaliers,11,240.0,37.5,82.3,.455,4.3,13.8,.309,33.2,68.5,.485,19.7,26.3,.751,10.0,30.4,40.4,21.2,6.8,4.2,11.5,24.5,98.9
11,San Antonio Spurs,10,240.0,36.0,80.0,.450,7.9,20.5,.385,28.1,59.5,.472,19.6,25.1,.781,11.1,31.9,43.0,18.4,7.1,4.5,13.2,22.6,99.5
12,Phoenix Suns,16,240.0,37.9,81.0,.468,7.1,19.1,.370,30.9,61.9,.498,19.6,26.6,.736,11.1,28.4,39.5,21.8,6.7,5.2,11.6,23.3,102.5
13,Portland Trail Blazers,6,240.0,37.0,78.3,.472,10.0,25.5,.392,27.0,52.8,.511,19.3,24.8,.779,10.8,30.0,40.8,21.0,5.2,4.2,12.7,24.2,103.3
14,Chicago Bulls,5,240.0,38.2,77.8,.491,10.4,25.8,.403,27.8,52.0,.535,19.4,26.8,.724,9.0,32.4,41.4,23.2,5.2,8.2,13.6,21.0,106.2
15,Utah Jazz,10,240.0,38.4,79.7,.482,6.4,18.4,.348,32.0,61.3,.522,26.1,33.9,.770,11.7,30.3,42.0,19.1,7.5,5.8,13.0,27.2,109.3
16,Denver Nuggets,6,240.0,38.5,76.0,.507,6.3,16.5,.384,32.2,59.5,.541,27.2,38.0,.715,8.8,29.7,38.5,24.7,5.5,4.3,14.5,27.8,110.5
,League Average,10,240.3,35.2,77.8,.453,6.6,19.0,.349,28.6,58.8,.486,20.4,27.1,.752,10.6,29.7,40.3,19.4,6.7,5.0,13.1,23.3,97.5
