Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,7,240.0,31.0,73.4,.422,6.1,18.0,.341,24.9,55.4,.448,19.1,25.6,.749,11.0,26.3,37.3,16.9,6.9,3.6,12.1,21.3,87.3
2,Cleveland Cavaliers,14,241.8,32.4,74.9,.433,7.0,19.1,.366,25.4,55.7,.456,17.2,22.9,.753,8.4,26.4,34.7,17.9,6.2,3.3,12.1,22.6,89.1
3,Atlanta Hawks,11,240.0,32.6,70.5,.463,7.3,19.9,.365,25.4,50.6,.501,18.5,24.3,.764,10.5,30.4,40.8,16.1,6.5,5.5,13.6,21.1,91.1
4,Portland Trail Blazers,6,240.0,34.8,73.7,.473,6.5,17.5,.371,28.3,56.2,.504,16.3,21.7,.754,8.3,31.7,40.0,17.3,5.7,3.3,12.2,20.0,92.5
5,Houston Rockets,13,240.0,35.3,78.5,.450,5.8,16.1,.364,29.5,62.4,.472,16.5,22.2,.743,11.0,29.5,40.5,15.9,7.8,7.1,11.6,21.4,92.9
6,Detroit Pistons,4,240.0,32.0,69.5,.460,5.3,17.0,.309,26.8,52.5,.510,24.3,31.0,.782,9.5,30.5,40.0,21.0,6.3,4.5,11.0,15.8,93.5
7,Orlando Magic,24,243.1,35.4,78.7,.450,6.0,18.0,.333,29.4,60.7,.485,18.3,24.0,.761,8.9,30.2,39.1,19.2,6.7,3.8,13.0,24.3,95.1
8,Los Angeles Lakers,23,242.2,33.7,78.6,.429,6.6,20.8,.317,27.1,57.7,.469,21.2,28.3,.747,11.0,29.9,40.9,19.8,7.7,4.3,14.5,23.1,95.2
9,Philadelphia 76ers,6,240.0,35.3,76.0,.465,7.5,21.7,.346,27.8,54.3,.512,18.0,24.7,.730,10.0,29.5,39.5,18.0,7.2,5.0,12.8,20.2,96.2
10,San Antonio Spurs,5,240.0,34.2,73.8,.463,7.8,20.4,.382,26.4,53.4,.494,20.2,24.0,.842,8.8,32.6,41.4,17.2,7.2,4.6,11.6,18.6,96.4
11,Denver Nuggets,16,240.0,33.9,75.7,.448,6.8,19.9,.340,27.2,55.8,.487,24.7,31.4,.787,10.0,29.8,39.8,19.2,6.3,4.4,15.6,25.5,99.3
12,Boston Celtics,14,252.5,36.4,81.7,.446,7.6,21.2,.360,28.8,60.5,.476,21.6,28.1,.769,9.2,32.4,41.6,19.7,6.7,6.5,14.4,22.7,102.1
13,Dallas Mavericks,10,240.0,37.4,77.6,.482,6.7,19.0,.353,30.7,58.6,.524,21.0,28.5,.737,9.2,28.1,37.3,19.8,7.6,4.1,11.1,23.7,102.5
14,Utah Jazz,5,240.0,38.6,78.2,.494,8.2,18.4,.446,30.4,59.8,.508,21.2,29.0,.731,10.6,30.2,40.8,22.4,8.4,5.6,15.6,24.4,106.6
15,New Orleans Hornets,5,240.0,38.2,76.6,.499,9.8,20.2,.485,28.4,56.4,.504,22.2,29.2,.760,10.0,31.8,41.8,25.0,9.4,5.2,12.6,24.8,108.4
16,Chicago Bulls,7,265.0,41.0,91.3,.449,8.4,20.0,.421,32.6,71.3,.457,22.1,28.7,.771,12.9,32.4,45.3,23.1,8.7,6.7,13.6,23.6,112.6
,League Average,11,242.9,34.9,77.3,.451,6.9,19.3,.357,28.0,58.0,.483,20.0,26.3,.760,9.9,29.9,39.8,19.0,7.1,4.8,13.2,22.7,96.7
