Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls,12,244.2,34.2,84.0,.407,7.6,22.6,.336,26.6,61.4,.433,16.7,21.8,.766,11.7,31.9,43.6,19.7,8.1,7.1,12.5,20.3,92.6
2,Cleveland Cavaliers,20,243.8,34.9,83.1,.419,7.9,25.5,.310,27.0,57.6,.468,17.4,22.9,.761,10.1,31.4,41.5,20.2,6.8,4.7,11.7,22.5,95.0
3,Golden State Warriors,21,243.6,34.8,83.4,.417,6.8,22.4,.304,28.0,61.0,.459,19.0,26.1,.730,11.1,32.6,43.7,19.9,8.5,4.7,14.3,20.9,95.5
4,Memphis Grizzlies,11,240.0,35.1,80.5,.436,10.4,27.8,.373,24.7,52.6,.470,15.5,19.9,.776,9.7,33.9,43.6,20.2,5.8,5.6,14.6,20.4,96.0
5,Washington Wizards,10,242.5,36.8,87.1,.423,8.2,25.8,.318,28.6,61.3,.467,15.4,20.2,.762,10.5,31.7,42.2,22.9,8.0,4.8,13.3,21.9,97.2
6,Atlanta Hawks,16,243.1,36.6,85.0,.430,9.4,25.2,.375,27.1,59.8,.454,15.6,22.1,.708,11.5,35.6,47.1,21.3,6.8,4.3,14.0,19.2,98.2
7,Portland Trail Blazers,5,240.0,37.2,85.0,.438,4.6,12.4,.371,32.6,72.6,.449,21.6,25.4,.850,9.6,35.0,44.6,18.8,7.2,6.2,8.2,20.0,100.6
8,Milwaukee Bucks,6,248.3,36.5,83.5,.437,11.2,28.0,.399,25.3,55.5,.456,16.7,23.0,.725,11.3,38.7,50.0,26.2,7.7,7.0,17.5,18.8,100.8
9,Brooklyn Nets,6,244.2,38.3,87.0,.441,11.2,31.5,.354,27.2,55.5,.489,14.0,18.0,.778,10.0,35.7,45.7,25.7,10.0,4.7,13.3,18.5,101.8
10,San Antonio Spurs,7,243.6,38.7,83.0,.466,7.0,21.0,.333,31.7,62.0,.512,18.6,28.7,.647,9.4,35.4,44.9,21.0,7.4,6.1,12.4,20.9,103.0
11,Boston Celtics,4,240.0,35.0,80.0,.438,9.8,30.5,.320,25.3,49.5,.510,24.3,31.5,.770,12.0,35.0,47.0,16.8,7.8,7.8,12.5,23.3,104.0
12,Los Angeles Clippers,14,241.8,37.6,84.4,.446,10.0,28.1,.355,27.6,56.3,.491,21.1,32.4,.653,11.6,35.6,47.3,23.1,7.2,4.9,14.1,25.1,106.4
13,New Orleans Pelicans,4,246.3,39.3,87.5,.449,11.8,31.0,.379,27.5,56.5,.487,18.5,26.5,.698,14.0,32.5,46.5,25.8,7.3,6.3,12.3,19.8,108.8
14,Toronto Raptors,4,246.3,39.5,82.0,.482,10.8,24.3,.443,28.8,57.8,.498,20.5,28.5,.719,11.0,37.3,48.3,26.3,6.5,6.5,14.5,20.5,110.3
15,Houston Rockets,17,240.0,41.1,89.4,.460,9.6,28.6,.337,31.5,60.8,.518,18.8,26.6,.704,12.0,34.8,46.8,24.1,8.6,5.4,14.4,27.2,110.6
16,Dallas Mavericks,5,240.0,40.0,85.8,.466,9.2,26.2,.351,30.8,59.6,.517,25.0,36.8,.679,11.2,34.8,46.0,23.4,7.8,5.2,14.4,24.6,114.2
,League Average,10,242.8,36.8,84.5,.435,8.8,25.5,.344,28.0,59.0,.475,18.1,25.0,.725,11.0,34.0,45.0,21.8,7.6,5.4,13.5,21.9,100.5
