Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,20,242.5,31.7,74.6,.425,5.9,17.7,.331,25.9,57.0,.454,17.4,24.0,.727,9.6,29.7,39.3,19.2,6.1,3.8,13.7,21.0,86.7
2,New Jersey Nets,12,240.0,31.8,74.7,.425,5.7,16.3,.347,26.1,58.3,.447,19.2,25.6,.749,9.7,30.8,40.4,16.8,7.8,4.0,14.1,21.4,88.3
3,Detroit Pistons,16,243.1,31.8,73.8,.431,4.6,13.6,.341,27.1,60.2,.451,20.3,30.0,.677,11.8,29.3,41.1,17.9,6.7,3.7,14.6,22.3,88.4
4,Houston Rockets,7,240.0,35.6,80.1,.444,3.7,12.4,.299,31.9,67.7,.470,15.6,20.9,.747,10.6,30.7,41.3,22.9,7.0,4.9,12.0,22.9,90.4
5,Chicago Bulls,10,240.0,33.8,77.7,.435,6.2,18.8,.330,27.6,58.9,.469,17.5,25.0,.700,11.2,29.1,40.3,19.7,6.8,4.4,14.2,25.5,91.3
6,San Antonio Spurs,20,240.0,34.5,78.5,.439,5.0,14.3,.347,29.5,64.2,.460,17.9,23.7,.753,11.5,29.2,40.7,18.5,6.5,4.6,14.3,20.8,91.7
7,Denver Nuggets,5,240.0,36.8,83.0,.443,8.2,21.0,.390,28.6,62.0,.461,12.4,16.2,.765,12.0,28.2,40.2,23.0,7.0,5.2,12.2,17.8,94.2
8,Toronto Raptors,6,240.0,34.7,75.3,.460,9.2,23.7,.387,25.5,51.7,.494,17.7,22.5,.785,9.5,31.2,40.7,24.7,6.8,3.5,15.8,21.3,96.2
9,Orlando Magic,4,240.0,33.0,73.5,.449,6.8,15.3,.443,26.3,58.3,.451,24.3,31.3,.776,11.8,28.5,40.3,20.8,7.3,4.3,10.5,23.0,97.0
10,Utah Jazz,17,241.5,33.1,75.1,.441,8.6,24.5,.353,24.5,50.6,.483,22.1,29.4,.752,9.8,28.4,38.1,18.6,8.7,5.5,14.9,23.2,97.0
11,Phoenix Suns,11,240.0,37.3,82.8,.450,6.9,20.1,.344,30.4,62.7,.484,17.6,24.1,.732,12.4,30.1,42.5,16.6,7.0,5.3,14.9,22.5,99.1
12,Miami Heat,4,240.0,36.3,78.8,.460,7.0,17.5,.400,29.3,61.3,.478,20.3,25.0,.810,9.8,32.8,42.5,23.3,7.8,4.3,14.5,23.5,99.8
13,Washington Wizards,4,240.0,35.5,76.8,.463,4.3,13.8,.309,31.3,63.0,.496,25.0,30.3,.826,12.5,36.5,49.0,19.8,5.3,3.5,13.3,19.0,100.3
14,Golden State Warriors,11,242.3,36.7,81.2,.452,6.5,19.2,.341,30.2,62.0,.487,24.9,32.2,.774,15.2,33.5,48.6,20.9,7.5,4.9,19.4,25.1,104.9
15,Dallas Mavericks,6,240.0,36.7,79.0,.464,10.3,28.2,.367,26.3,50.8,.518,21.5,29.3,.733,11.8,29.8,41.7,17.3,8.2,4.3,15.2,24.8,105.2
16,Los Angeles Lakers,5,240.0,40.6,84.6,.480,8.2,23.4,.350,32.4,61.2,.529,19.0,25.0,.760,9.8,31.0,40.8,27.0,7.6,4.0,12.4,18.6,108.4
,League Average,10,240.9,34.2,77.4,.442,6.4,18.3,.350,27.8,59.1,.471,19.4,26.1,.743,11.1,30.1,41.2,19.5,7.1,4.4,14.4,22.2,94.2
