Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,17,244.4,36.4,86.0,.423,11.4,36.6,.311,25.0,49.4,.507,20.1,25.1,.803,8.8,32.9,41.8,22.2,6.5,4.8,12.6,22.0,104.4
2,Toronto Raptors,11,244.5,36.8,85.9,.429,13.5,40.3,.336,23.3,45.6,.510,18.1,23.6,.765,7.9,38.2,46.1,23.5,6.2,5.0,15.3,20.3,105.3
3,Los Angeles Lakers,21,240.0,36.9,81.4,.453,11.8,32.5,.363,25.0,48.9,.513,20.4,25.3,.806,7.4,29.9,37.3,21.8,7.0,3.1,14.5,22.4,106.0
4,Houston Rockets,12,242.1,38.7,83.7,.462,12.1,34.8,.347,26.6,48.8,.544,17.5,22.8,.769,9.1,38.9,48.0,21.1,6.3,4.9,17.1,18.6,106.9
5,Miami Heat,21,242.4,38.7,84.8,.456,12.4,35.8,.347,26.2,49.0,.535,18.2,23.1,.788,9.9,32.9,42.7,23.8,7.3,4.5,14.1,22.6,108.0
6,Denver Nuggets,19,241.3,39.2,82.2,.477,12.2,32.7,.373,26.9,49.4,.545,19.2,24.6,.779,9.5,31.0,40.5,22.5,7.5,4.0,13.6,22.1,109.7
7,Los Angeles Clippers,13,241.9,39.8,84.8,.469,12.5,34.7,.359,27.3,50.2,.544,17.8,23.6,.752,8.3,34.5,42.8,22.0,6.9,4.1,13.7,22.3,109.8
8,Milwaukee Bucks,10,242.5,37.2,84.9,.438,15.0,40.0,.375,22.2,44.9,.494,20.5,24.2,.847,7.2,36.5,43.7,24.3,7.1,3.6,14.9,21.2,109.9
9,Utah Jazz,7,243.6,40.1,86.1,.466,15.1,36.0,.421,25.0,50.1,.499,14.6,17.1,.850,10.6,31.4,42.0,22.1,4.9,4.6,12.0,21.3,110.0
10,Oklahoma City Thunder,7,243.6,39.4,90.7,.435,18.3,51.0,.359,21.1,39.7,.532,13.3,16.4,.809,7.4,35.9,43.3,21.4,9.3,3.9,12.7,23.0,110.4
11,Indiana Pacers,4,240.0,37.5,80.8,.464,13.0,33.3,.391,24.5,47.5,.516,23.3,29.8,.782,9.3,36.3,45.5,24.0,8.8,4.3,14.3,15.8,111.3
12,Philadelphia 76ers,4,240.0,39.0,86.3,.452,12.3,35.0,.350,26.8,51.3,.522,22.0,27.0,.815,9.8,33.5,43.3,19.0,6.8,5.5,10.5,24.3,112.3
13,Orlando Magic,5,240.0,42.4,88.0,.482,15.8,41.2,.383,26.6,46.8,.568,15.6,21.8,.716,8.0,42.4,50.4,27.4,7.0,3.8,16.6,20.6,116.2
14,Portland Trail Blazers,5,240.0,42.8,88.4,.484,12.0,35.0,.343,30.8,53.4,.577,19.6,28.0,.700,12.4,36.0,48.4,26.0,8.8,5.8,15.0,22.8,117.2
15,Brooklyn Nets,4,240.0,45.0,91.0,.495,17.8,41.0,.433,27.3,50.0,.545,18.5,23.5,.787,9.3,41.8,51.0,30.5,7.0,5.5,12.0,22.5,126.3
16,Dallas Mavericks,6,244.2,45.2,90.2,.501,14.0,34.7,.404,31.2,55.5,.562,22.3,27.5,.812,8.7,37.7,46.3,21.2,7.2,3.3,12.0,24.5,126.7
,League Average,10,242.1,38.8,85.0,.457,13.1,36.3,.360,25.8,48.7,.529,18.8,23.9,.788,8.8,34.3,43.2,22.9,7.0,4.3,14.0,21.8,109.6
