,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Ray Allen*,SG,37,MIA,23,573,.430,17.8,,.442,.145,.093,.081,.122,.558,,.461,.680,.375,.429,.286,.406,,.486,.923,,.000,0,,.458,.477,,0,0,allenra02
2,Tony Allen,SG,31,MEM,15,422,.432,6.8,,.936,.592,.144,.024,.176,.064,,.444,.514,.333,.333,.318,.250,,.500,.500,,.048,6,,.625,.200,,0,0,allento01
3,Chris Andersen,C,34,MIA,20,303,.807,2.4,,1.000,.825,.105,.035,.035,.000,,.807,.894,.333,1.000,.000,,,.717,,,.263,15,,,,,0,0,anderch01
4,James Anderson,SG,23,HOU,2,18,.200,15.2,,.400,.400,.000,.000,.000,.600,,.500,.500,,,,.000,,.000,,,.200,1,,.333,.000,,0,0,anderja01
5,Carmelo Anthony,PF,28,NYK,12,481,.406,13.7,,.816,.219,.071,.284,.242,.184,,.431,.426,.409,.477,.387,.298,,.284,.706,,.035,10,,.140,.250,,0,0,anthoca01
6,Joel Anthony,C,30,MIA,14,71,.300,6.0,,1.000,.500,.200,.200,.100,.000,,.300,.200,.000,1.000,.000,,,.000,,,.000,0,,,,,0,0,anthojo01
7,Darrell Arthur,PF,24,MEM,15,175,.472,13.0,,.962,.208,.113,.170,.472,.038,,.490,.636,.500,.444,.440,.000,,.760,,,.057,3,,1.000,.000,,0,0,arthuda01
8,Ömer Aşık,C,26,HOU,6,208,.564,2.2,,1.000,.846,.103,.051,.000,.000,,.564,.636,.250,.000,,,,.727,,,.385,13,,,,,0,0,asikom01
9,D.J. Augustin,PG,25,IND,19,316,.380,19.0,,.324,.239,.028,.028,.028,.676,,.348,.294,.000,1.000,.500,.396,,.250,.895,,.000,0,,.375,.278,,1,0,augusdj01
10,Gustavo Ayón,C,27,MIL,3,7,.500,9.7,,1.000,.500,.000,.000,.500,.000,,.500,.500,,,.500,,,1.000,,,.000,0,,,,,0,0,ayongu01
