,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,26,DEN,7,229,.405,13.5,,.730,.216,.230,.081,.203,.270,,.481,.625,.529,.333,.333,.200,,.654,1.000,,.000,0,,.350,.286,,0,0,afflaar01
2,Blake Ahearn,PG,27,UTA,3,8,.667,14.8,,.667,.333,.000,.000,.333,.333,,.500,.000,,,1.000,1.000,,1.000,1.000,,.000,0,,.000,,,0,0,ahearbl01
3,Cole Aldrich,C,23,OKC,5,25,.444,2.9,,1.000,.667,.333,.000,.000,.000,,.444,.500,.333,,,,,.250,,,.222,2,,,,,0,0,aldrico01
4,Lavoy Allen,PF,22,PHI,12,236,.557,10.3,,1.000,.279,.164,.213,.344,.000,,.557,.824,.300,.462,.524,,,.794,,,.066,4,,,,,0,0,allenla01
5,Ray Allen*,SG,36,BOS,18,616,.395,18.2,,.449,.162,.066,.060,.162,.551,,.507,.630,.455,.300,.481,.304,,.684,.929,,.006,1,,.283,.385,,0,0,allenra02
6,Tony Allen,SG,30,MEM,7,170,.400,8.9,,.889,.489,.156,.022,.222,.111,,.450,.591,.143,.000,.400,.000,,.778,,,.044,2,,.600,.000,,0,0,allento01
7,Lou Amundson,PF,29,IND,11,94,.522,5.0,,1.000,.565,.174,.261,.000,.000,,.522,.615,.500,.333,,,,.833,,,.174,4,,,,,0,0,amundlo01
8,James Anderson,SG,22,SAS,8,31,.444,15.0,,.556,.333,.000,.000,.222,.444,,.400,.667,,,.000,.500,,.500,1.000,,.111,1,,.500,.000,,0,0,anderja01
9,Ryan Anderson,PF,23,ORL,5,172,.341,19.4,,.318,.205,.000,.000,.114,.682,,.214,.222,,,.200,.400,,.667,1.000,,.000,0,,.433,.385,,0,0,anderry01
10,Carmelo Anthony,SF,27,NYK,5,204,.419,11.8,,.855,.282,.169,.161,.242,.145,,.453,.514,.286,.600,.400,.222,,.271,.250,,.032,3,,.167,.333,,0,0,anthoca01
11,Joel Anthony,C,29,MIA,17,329,.586,4.1,,1.000,.483,.483,.034,.000,.000,,.586,.857,.357,.000,,,,.765,,,.138,3,,,,,0,0,anthojo01
