,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Ray Allen*,SG,29,SEA,11,436,.474,15.6,,.619,.214,.102,.107,.195,.381,,.534,.739,.455,.435,.405,.378,,.282,.516,,.014,2,,.110,.333,,1,0,allenra02
2,Tony Allen,SG,23,BOS,7,90,.444,6.3,,1.000,.444,.278,.167,.111,.000,,.444,.625,.400,.000,.500,,,.500,,,.222,4,,,,,0,0,allento01
3,Shandon Anderson,SF,31,MIA,8,97,.250,10.7,,.917,.333,.083,.250,.250,.083,,.273,.750,.000,.000,.000,.000,,.667,,,.000,0,,1.000,.000,,0,0,andersh01
4,Carmelo Anthony,SF,20,DEN,5,180,.422,6.5,,.988,.578,.096,.108,.205,.012,,.427,.500,.250,.444,.294,.000,,.600,,,.024,2,,.000,,,0,0,anthoca01
5,Gilbert Arenas,PG,23,WAS,10,450,.376,16.5,,.603,.196,.062,.119,.227,.397,,.470,.605,.333,.478,.386,.234,,.327,.500,,.015,2,,.143,.364,,0,0,arenagi01
6,Darrell Armstrong,PG,36,DAL,9,66,.500,18.2,,.500,.188,.000,.063,.250,.500,,.750,.667,,1.000,.750,.250,,.167,1.000,,.000,0,,.125,.000,,0,0,armstda01
7,Carlos Arroyo,PG,25,DET,19,150,.356,13.6,,.978,.200,.044,.156,.578,.022,,.364,.333,.000,.143,.462,.000,,.250,,,.000,0,,.000,,,0,0,arroyca01
8,Marcus Banks,PG,23,BOS,7,106,.448,14.2,,.793,.276,.069,.034,.414,.207,,.435,.375,.500,.000,.500,.500,,.300,.000,,.000,0,,.167,.000,,0,0,banksma01
9,Leandro Barbosa,PG,22,PHO,12,116,.343,12.3,,.714,.429,.057,.029,.200,.286,,.320,.400,.500,.000,.143,.400,,.375,.500,,.000,0,,.300,.333,,1,0,barbole01
10,Brent Barry,SG,33,SAS,23,555,.457,18.0,,.371,.162,.114,.029,.067,.629,,.513,.647,.333,.667,.429,.424,,.700,1.000,,.000,0,,.303,.450,,0,0,barrybr01
11,Jon Barry,SG,35,HOU,7,183,.438,16.7,,.521,.208,.021,.125,.167,.479,,.400,.300,.000,.667,.375,.478,,.800,.818,,.000,0,,.391,.222,,0,0,barryjo01
12,Shane Battier,SG,26,MEM,4,119,.419,9.4,,.774,.419,.129,.129,.097,.226,,.500,.615,.500,.250,.333,.143,,.500,1.000,,.000,0,,.571,.250,,0,0,battish01
13,Travis Best,PG,32,NJN,4,82,.409,14.2,,.591,.455,.000,.091,.045,.409,,.615,.600,,.500,1.000,.111,,.500,1.000,,.000,0,,.444,.000,,1,0,besttr01
14,Mike Bibby,PG,26,SAC,5,200,.391,14.9,,.750,.217,.087,.065,.380,.250,,.449,.650,.375,.667,.314,.217,,.290,.600,,.000,0,,.130,.000,,0,0,bibbymi01
15,Chauncey Billups,PG,28,DET,25,985,.428,15.2,,.628,.227,.083,.174,.145,.372,,.474,.532,.643,.407,.367,.349,,.267,.727,,.003,1,,.190,.292,,0,0,billuch01
16,Steve Blake,PG,24,WAS,4,17,.250,16.5,,.750,.000,.250,.250,.250,.250,,.333,,.000,1.000,.000,.000,,.000,,,.000,0,,.000,,,0,0,blakest01
17,Mark Blount,C,29,BOS,4,43,.286,10.2,,1.000,.286,.143,.143,.429,.000,,.286,.500,.500,.000,.167,,,1.000,,,.071,1,,,,,0,0,blounma01
18,Bruce Bowen,SF,33,SAS,23,814,.359,17.5,,.477,.141,.070,.109,.156,.523,,.279,.444,.222,.143,.250,.433,,.529,1.000,,.000,0,,.791,.453,,0,0,bowenbr01
19,Ryan Bowen,SF,29,HOU,7,125,.320,11.9,,1.000,.280,.120,.080,.520,.000,,.320,.429,.000,.500,.308,,,.875,,,.000,0,,,,,0,0,bowenry01
20,Earl Boykins,PG,28,DEN,5,152,.397,12.7,,.897,.162,.162,.324,.250,.103,,.443,.455,.545,.591,.176,.000,,.111,,,.000,0,,.143,.000,,0,0,boykiea01
21,Shawn Bradley,C,32,DAL,7,27,.667,9.9,,1.000,.333,.167,.000,.500,.000,,.667,.500,1.000,,.667,,,.750,,,.000,0,,,,,0,0,bradlsh01
22,Devin Brown,SG,26,SAS,12,60,.350,15.1,,.650,.300,.100,.050,.200,.350,,.308,.500,.000,.000,.250,.429,,.500,.667,,.000,0,,.286,.500,,1,0,brownde02
23,Kwame Brown,PF,22,WAS,3,60,.385,5.9,,1.000,.462,.231,.231,.077,.000,,.385,.333,.000,1.000,.000,,,.600,,,.077,1,,,,,0,0,brownkw01
24,Greg Buckner,SG,28,DEN,5,100,.222,15.2,,.500,.222,.167,.056,.056,.500,,.222,.250,.333,.000,.000,.222,,.500,1.000,,.000,0,,.556,.200,,0,0,buckngr01
25,Rodney Buford,SF,27,NJN,3,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,buforro01
26,Antonio Burks,PG,24,MEM,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,burksan01
27,Rasual Butler,SF,25,MIA,12,182,.373,20.6,,.492,.017,.017,.119,.339,.508,,.379,.000,.000,.429,.400,.367,,.545,.818,,.000,0,,.233,.143,,0,0,butlera01
28,Marcus Camby,C,30,DEN,5,184,.415,12.2,,1.000,.146,.244,.146,.463,.000,,.415,.833,.400,.000,.421,,,.882,,,.073,3,,,,,0,0,cambyma01
