,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,23,DET,4,66,.476,16.2,,.524,.238,.048,.048,.190,.476,,.727,.600,1.000,1.000,.750,.200,,.750,1.000,,.000,0,,.900,.222,,0,0,afflaar01
2,LaMarcus Aldridge,PF,23,POR,6,237,.490,14.3,,.962,.125,.163,.288,.385,.038,,.500,.846,.353,.533,.425,.250,,.540,1.000,,.077,8,,.250,.000,,1,0,aldrila01
3,Ray Allen*,SG,33,BOS,14,565,.403,17.2,,.515,.175,.073,.087,.180,.485,,.453,.389,.467,.611,.432,.350,,.604,.943,,.005,0,,.270,.259,,0,0,allenra02
4,Tony Allen,SG,27,BOS,10,60,.500,4.3,,1.000,.625,.125,.250,.000,.000,,.500,.600,.000,.500,,,,.750,,,.000,0,,,,,0,0,allento01
5,Rafer Alston,PG,32,ORL,23,740,.380,15.2,,.595,.258,.122,.050,.165,.405,,.422,.375,.500,.429,.435,.319,,.129,.861,,.000,0,,.221,.320,,2,0,alstora01
6,Chris Andersen,C,30,DEN,15,328,.630,3.0,,.981,.796,.056,.056,.074,.019,,.642,.674,.333,.667,.500,.000,,.618,,,.241,12,,1.000,.000,,0,0,anderch01
7,Carmelo Anthony,SF,24,DEN,16,612,.453,12.1,,.795,.351,.084,.115,.245,.205,,.477,.549,.556,.378,.392,.364,,.443,.833,,.053,16,,.091,.500,,2,0,anthoca01
8,Joel Anthony,C,26,MIA,6,88,.800,3.6,,1.000,.600,.200,.200,.000,.000,,.800,1.000,1.000,.000,,,,.500,,,.200,1,,,,,0,0,anthojo01
9,Trevor Ariza,SF,23,LAL,23,722,.497,13.5,,.546,.357,.097,.027,.065,.454,,.515,.606,.278,.800,.250,.476,,.596,.950,,.108,17,,.357,.467,,0,0,arizatr01
10,Hilton Armstrong,C,24,NOH,4,53,.462,5.0,,1.000,.692,.000,.154,.154,.000,,.462,.667,,.000,.000,,,.833,,,.385,4,,,,,0,0,armsthi01
11,Renaldo Balkman,PF,24,DEN,8,20,.333,7.2,,.833,.667,.000,.000,.167,.167,,.400,.500,,,.000,.000,,.500,,,.167,1,,1.000,.000,,0,0,balkmre01
12,J.J. Barea,SG,24,DAL,10,221,.437,10.0,,.775,.451,.155,.042,.127,.225,,.473,.531,.273,.667,.444,.313,,.115,.400,,.000,0,,.063,1.000,,0,0,bareajo01
13,Brent Barry,SG,37,HOU,4,35,.500,20.8,,.200,.200,.000,.000,.000,.800,,1.000,1.000,,,,.375,,1.000,1.000,,.100,1,,.125,1.000,,0,0,barrybr01
14,Brandon Bass,C,23,DAL,10,192,.550,8.3,,1.000,.317,.200,.383,.100,.000,,.550,.632,.333,.609,.500,,,.727,,,.150,9,,,,,0,0,bassbr01
15,Tony Battie,PF,32,ORL,21,128,.467,12.2,,1.000,.178,.133,.222,.467,.000,,.467,.750,.500,.600,.286,,,.810,,,.089,3,,,,,0,0,battito01
16,Shane Battier,SG,30,HOU,13,496,.407,18.0,,.333,.210,.037,.037,.049,.667,,.593,.706,.000,.333,.750,.315,,.500,1.000,,.012,1,,.481,.308,,0,0,battish01
17,Nicolas Batum,SF,20,POR,6,63,.556,14.7,,.556,.333,.000,.111,.111,.444,,.600,.667,,1.000,.000,.500,,.667,1.000,,.111,1,,.750,.667,,0,0,batumni01
18,Jerryd Bayless,PG,20,POR,2,11,.333,8.9,,.833,.500,.167,.000,.167,.167,,.400,.667,.000,,.000,.000,,.000,,,.000,0,,.000,,,0,0,bayleje01
19,Michael Beasley,PF,20,MIA,7,178,.386,13.4,,.852,.261,.102,.102,.386,.148,,.400,.609,.333,.333,.294,.308,,.333,.750,,.023,1,,.462,.333,,0,0,beaslmi01
20,Mike Bibby,PG,30,ATL,11,390,.462,19.3,,.547,.085,.075,.057,.330,.453,,.397,.556,.500,.000,.400,.542,,.435,.885,,.000,0,,.125,.333,,0,0,bibbymi01
21,Chauncey Billups,PG,32,DEN,16,619,.457,17.9,,.523,.183,.041,.066,.234,.477,,.447,.500,.500,.308,.435,.468,,.196,.477,,.000,0,,.096,.556,,0,0,billuch01
22,Steve Blake,PG,28,POR,6,231,.489,18.0,,.467,.178,.044,.044,.200,.533,,.571,.875,.500,1.000,.222,.417,,.250,.700,,.000,0,,.167,.500,,0,0,blakest01
23,Matt Bonner,PF,28,SAS,5,100,.217,16.1,,.435,.174,.174,.087,.000,.565,,.200,.250,.250,.000,,.231,,.000,1.000,,.000,0,,.308,.000,,0,0,bonnema01
24,Carlos Boozer,PF,27,UTA,5,186,.528,8.2,,1.000,.375,.167,.194,.264,.000,,.528,.556,.583,.643,.368,,,.632,,,.042,3,,,,,0,0,boozeca01
25,Bruce Bowen,SF,37,SAS,5,130,.538,19.5,,.308,.077,.077,.000,.154,.692,,.500,.000,.000,,1.000,.556,,1.000,1.000,,.000,0,,.778,.714,,0,0,bowenbr01
26,Ryan Bowen,SF,33,NOH,1,2,.000,0.0,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0,bowenry01
27,Ronnie Brewer,SF,23,UTA,5,158,.408,12.3,,.959,.347,.020,.082,.510,.041,,.426,.647,.000,.250,.320,.000,,.800,,,.163,8,,.000,,,0,0,brewero02
28,Aaron Brooks,PG,24,HOU,13,444,.453,14.7,,.624,.288,.088,.100,.147,.376,,.472,.531,.267,.529,.440,.422,,.120,.556,,.000,0,,.125,.375,,2,0,brookaa01
29,Devin Brown,SG,30,NOH,3,33,.375,14.9,,.500,.375,.000,.000,.125,.500,,.750,.667,,,1.000,.000,,.333,,,.000,0,,.250,.000,,0,0,brownde02
30,Kwame Brown,C,26,DET,3,48,.375,3.1,,1.000,.625,.375,.000,.000,.000,,.375,.400,.333,,,,,.333,,,.000,0,,,,,0,0,brownkw01
31,Shannon Brown,SG,23,LAL,21,276,.434,12.5,,.699,.349,.084,.108,.157,.301,,.414,.379,.571,.556,.308,.480,,.667,.917,,.024,2,,.200,.600,,0,0,brownsh01
32,Kobe Bryant*,SG,30,LAL,23,940,.457,14.6,,.800,.189,.102,.192,.317,.200,,.483,.590,.407,.451,.464,.349,,.195,.459,,.021,11,,.113,.667,,2,0,bryanko01
33,Rasual Butler,SF,29,NOH,5,158,.459,19.0,,.486,.081,.054,.027,.324,.514,,.389,.667,.000,1.000,.333,.526,,.429,.800,,.000,0,,.737,.571,,0,0,butlera01
34,Andrew Bynum,C,21,LAL,23,400,.457,5.1,,1.000,.433,.394,.157,.016,.000,,.457,.545,.420,.350,.000,,,.621,,,.134,16,,,,,0,0,bynuman01
35,Will Bynum,PG,26,DET,4,78,.462,14.3,,.897,.256,.077,.051,.513,.103,,.486,.600,.333,1.000,.400,.250,,.176,1.000,,.000,0,,.000,,,1,0,bynumwi01
36,Matt Carroll,SG,28,DAL,4,14,.500,6.3,,1.000,.500,.000,.500,.000,.000,,.500,1.000,,.000,,,,.000,,,.000,0,,,,,0,0,carroma01
37,Anthony Carter,PG,33,DEN,16,228,.408,12.5,,.755,.367,.061,.061,.265,.245,,.486,.556,.667,.333,.385,.167,,.667,1.000,,.000,0,,.333,.250,,0,0,cartean01
38,Mario Chalmers,PG,22,MIA,7,231,.400,15.8,,.580,.260,.080,.020,.220,.420,,.483,.769,.000,.000,.364,.286,,.143,.500,,.020,1,,.048,.000,,0,0,chalmma01
39,Tyson Chandler,C,26,NOH,4,94,.500,1.1,,1.000,.833,.167,.000,.000,.000,,.500,.600,.000,,,,,1.000,,,.417,5,,,,,0,0,chandty01
40,Speedy Claxton,PG,30,ATL,1,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,claxtsp01
