,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Steven Adams,C,20,OKC,18,331,.689,2.9,,1.000,.756,.156,.089,.000,.000,,.689,.765,.429,.500,,,,.742,,,.400,16,,,,,0,0,adamsst01
2,LaMarcus Aldridge,PF,28,POR,11,441,.452,10.7,,.988,.268,.180,.236,.304,.012,,.449,.627,.356,.407,.382,.667,,.459,.500,,.028,5,,.333,1.000,,1,0,aldrila01
3,Lavoy Allen,PF,24,IND,4,15,.500,11.4,,1.000,.250,.250,.000,.500,.000,,.500,1.000,.000,,.500,,,1.000,,,.000,0,,,,,0,0,allenla01
4,Ray Allen*,SG,38,MIA,20,527,.413,18.2,,.406,.133,.112,.091,.070,.594,,.448,.526,.438,.462,.300,.388,,.192,.909,,.007,1,,.365,.484,,0,0,allenra02
5,Tony Allen,SG,32,MEM,7,230,.486,7.1,,.903,.611,.083,.042,.167,.097,,.538,.614,.333,.667,.333,.000,,.543,,,.042,3,,.714,.000,,0,0,allento01
6,Chris Andersen,C,35,MIA,18,317,.579,3.5,,.982,.842,.035,.018,.088,.018,,.589,.688,.000,.000,.000,.000,,.667,,,.175,10,,.000,,,0,0,anderch01
7,Alan Anderson,SF,31,BRK,12,261,.403,16.3,,.500,.194,.081,.129,.097,.500,,.516,.667,.400,.125,.833,.290,,.375,.778,,.000,0,,.516,.375,,0,0,anderal01
8,Pero Antić,C,31,ATL,7,170,.167,18.4,,.405,.238,.024,.071,.071,.595,,.235,.200,.000,.000,.667,.120,,.750,1.000,,.000,0,,.080,.000,,0,0,anticpe01
9,Trevor Ariza,SF,28,WAS,11,407,.481,16.1,,.481,.306,.046,.028,.102,.519,,.519,.606,.400,.333,.364,.446,,.556,1.000,,.056,6,,.250,.429,,0,0,arizatr01
10,Hilton Armstrong,C,29,GSW,7,17,.500,8.0,,.875,.375,.375,.000,.125,.125,,.571,.667,.667,,.000,.000,,.750,,,.250,1,,.000,,,0,0,armsthi01
11,Ömer Aşık,C,27,HOU,6,163,.485,2.4,,1.000,.909,.030,.030,.030,.000,,.485,.500,.000,.000,1.000,,,.563,,,.152,5,,,,,0,0,asikom01
12,D.J. Augustin,PG,26,CHI,5,141,.292,13.8,,.639,.278,.139,.111,.111,.361,,.304,.400,.200,.125,.375,.269,,.071,.571,,.000,0,,.269,.000,,0,0,augusdj01
13,Jeff Ayres,PF,26,SAS,17,65,.462,12.3,,1.000,.154,.308,.000,.538,.000,,.462,1.000,.500,,.286,,,.833,,,.000,0,,,,,0,0,pendeje02
14,Harrison Barnes,SF,21,GSW,7,156,.396,16.2,,.563,.167,.125,.125,.146,.438,,.407,.500,.333,.333,.429,.381,,.636,1.000,,.042,2,,.381,.375,,0,0,barneha02
15,Matt Barnes,SF,33,LAC,13,404,.421,16.7,,.439,.224,.112,.009,.093,.561,,.553,.625,.417,.000,.600,.317,,.808,.947,,.047,5,,.433,.231,,0,0,barnema02
16,Will Barton,SG,23,POR,7,81,.500,12.7,,.676,.265,.265,.088,.059,.324,,.478,.667,.444,.333,.000,.545,,.545,.667,,.029,1,,.545,.667,,1,0,bartowi01
17,Shane Battier,SF,35,MIA,16,202,.462,20.5,,.231,.115,.038,.077,.000,.769,,.500,.667,.000,.500,,.450,,.333,1.000,,.000,0,,.400,.750,,0,0,battish01
18,Nicolas Batum,SF,25,POR,11,459,.472,15.4,,.577,.254,.063,.120,.141,.423,,.561,.722,.444,.529,.350,.350,,.283,.857,,.042,6,,.217,.462,,0,0,batumni01
19,Aron Baynes,C,27,SAS,14,101,.500,6.1,,.958,.500,.250,.083,.125,.042,,.522,.667,.500,.000,.333,.000,,.667,,,.083,2,,.000,,,0,0,baynear01
20,Bradley Beal,SG,20,WAS,11,458,.424,16.3,,.701,.186,.073,.096,.345,.299,,.427,.576,.462,.412,.344,.415,,.358,.727,,.023,4,,.170,.333,,0,0,bealbr01
21,Michael Beasley,SF,25,MIA,4,23,.500,5.7,,1.000,.600,.200,.000,.200,.000,,.500,.667,.500,,.000,,,.200,,,.200,2,,,,,0,0,beaslmi01
22,Marco Belinelli,SF,27,SAS,23,356,.444,16.0,,.616,.222,.091,.061,.242,.384,,.459,.545,.444,.500,.375,.421,,.714,1.000,,.000,0,,.184,.571,,0,0,belinma01
23,Patrick Beverley,PG,25,HOU,6,202,.380,13.1,,.560,.240,.260,.060,.000,.440,,.429,.333,.462,.667,,.318,,.500,.857,,.040,2,,.636,.286,,0,0,beverpa01
24,Bismack Biyombo,C,21,CHA,3,48,.600,2.4,,1.000,.600,.400,.000,.000,.000,,.600,.667,.500,,,,,1.000,,,.400,2,,,,,0,0,biyombi01
25,DeJuan Blair,PF,24,DAL,6,81,.593,5.3,,1.000,.444,.296,.259,.000,.000,,.593,.750,.375,.571,,,,.875,,,.037,1,,,,,0,0,blairde01
26,Steve Blake,PG,33,GSW,6,45,.333,22.5,,.167,.083,.000,.083,.000,.833,,.500,1.000,,.000,,.300,,.000,1.000,,.000,0,,.300,1.000,,0,0,blakest01
27,Andray Blatche,PF,27,BRK,12,172,.448,5.7,,.966,.603,.207,.086,.069,.034,,.464,.629,.333,.000,.000,.000,,.500,,,.103,3,,.500,.000,,0,0,blatcan01
28,Matt Bonner,PF,33,SAS,22,136,.476,19.3,,.429,.048,.095,.095,.190,.571,,.667,1.000,.500,1.000,.500,.333,,.500,1.000,,.000,0,,.167,.500,,0,0,bonnema01
