,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Steven Adams,C,22,OKC,18,553,.613,2.8,,.991,.757,.216,.018,.000,.009,,.618,.679,.417,.500,,.000,,.735,,,.279,29,,.000,,,1,0,adamsst01
2,Cole Aldrich,C,27,LAC,6,77,.667,4.4,,1.000,.333,.667,.000,.000,.000,,.667,.800,.600,,,,,.700,,,.000,0,,,,,0,0,aldrico01
3,LaMarcus Aldridge,PF,30,SAS,10,337,.521,10.3,,.988,.254,.201,.308,.225,.012,,.515,.512,.559,.481,.526,1.000,,.523,1.000,,.012,2,,.500,1.000,,0,0,aldrila01
4,Lavoy Allen,PF,26,IND,6,51,.300,7.6,,1.000,.400,.300,.000,.300,.000,,.300,.250,.333,,.333,,,1.000,,,.100,1,,,,,0,0,allenla01
5,Tony Allen,SG,34,MEM,4,94,.303,11.0,,.788,.333,.242,.061,.152,.212,,.346,.273,.250,.000,.800,.143,,.778,1.000,,.000,0,,.286,.000,,0,0,allento01
6,Al-Farouq Aminu,SF,25,POR,11,372,.438,16.5,,.453,.242,.086,.031,.094,.547,,.483,.581,.455,.000,.417,.400,,.679,.964,,.063,8,,.414,.552,,0,0,aminual01
7,Chris Andersen,C,37,MEM,4,79,.417,5.0,,1.000,.750,.000,.000,.250,.000,,.417,.556,,,.000,,,.400,,,.167,2,,,,,0,0,anderch01
8,Justin Anderson,SF,22,DAL,5,95,.459,11.8,,.649,.432,.054,.054,.135,.351,,.542,.625,1.000,.000,.200,.308,,.769,1.000,,.243,8,,.231,.333,,0,0,anderju01
9,Kyle Anderson,SF,22,SAS,10,129,.320,11.9,,.880,.200,.280,.080,.320,.120,,.318,.800,.286,.500,.000,.333,,.286,1.000,,.040,1,,1.000,.333,,0,0,anderky01
10,Trevor Ariza,SF,30,HOU,5,181,.255,16.4,,.451,.196,.118,.098,.039,.549,,.391,.300,.500,.400,.500,.143,,.333,1.000,,.020,1,,.464,.154,,0,0,arizatr01
11,Jeff Ayres,C,28,LAC,2,2,1.000,0.1,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,1.000,1,,,,,0,0,pendeje02
12,Leandro Barbosa,SG,33,GSW,23,254,.580,12.2,,.682,.398,.114,.080,.091,.318,,.667,.657,.600,.571,.875,.393,,.575,.818,,.000,0,,.393,.636,,0,0,barbole01
13,J.J. Barea,PG,31,DAL,4,100,.324,12.9,,.765,.118,.353,.206,.088,.235,,.385,.500,.417,.143,.667,.125,,.100,1.000,,.000,0,,.125,.000,,0,0,bareajo01
14,Harrison Barnes,SF,23,GSW,24,743,.385,14.3,,.643,.207,.160,.146,.131,.357,,.409,.636,.235,.355,.321,.342,,.536,.962,,.052,10,,.526,.400,,0,0,barneha02
15,Matt Barnes,SF,35,MEM,4,139,.348,14.5,,.609,.370,.109,.065,.065,.391,,.464,.588,.200,.667,.000,.167,,.615,1.000,,.000,0,,.167,.000,,1,0,barnema02
16,Nicolas Batum,SF,27,CHO,5,144,.378,17.3,,.511,.156,.067,.178,.111,.489,,.478,.857,.333,.375,.200,.273,,.364,.667,,.000,0,,.182,.250,,0,0,batumni01
17,Aron Baynes,C,29,DET,4,44,.444,4.1,,1.000,.556,.333,.111,.000,.000,,.444,.800,.000,.000,,,,.500,,,.000,0,,,,,0,0,baynear01
18,Kent Bazemore,SF,26,ATL,10,325,.364,15.2,,.496,.364,.025,.008,.091,.504,,.467,.523,.000,.000,.455,.262,,.679,.813,,.033,4,,.361,.273,,0,0,bazemke01
19,Michael Beasley,PF,27,HOU,5,80,.478,11.2,,.870,.217,.283,.239,.130,.130,,.500,.800,.385,.273,.667,.333,,.600,1.000,,.022,0,,.500,.667,,1,0,beaslmi01
20,Patrick Beverley,PG,27,HOU,5,129,.270,13.2,,.622,.189,.297,.108,.027,.378,,.304,.286,.364,.250,.000,.214,,.143,1.000,,.000,0,,.357,.200,,0,0,beverpa01
21,Bismack Biyombo,C,23,TOR,20,506,.580,3.6,,1.000,.681,.159,.072,.087,.000,,.580,.702,.364,.000,.500,,,.750,,,.377,21,,,,,0,0,biyombi01
22,Steve Blake,PG,35,DET,4,43,.200,13.6,,.600,.200,.200,.200,.000,.400,,.000,.000,.000,.000,,.500,,,1.000,,.000,0,,1.000,.500,,0,0,blakest01
23,Andrew Bogut,C,31,GSW,22,365,.623,3.5,,.974,.675,.234,.065,.000,.026,,.640,.731,.389,.600,,.000,,.688,,,.234,16,,.000,,,0,0,bogutan01
24,Avery Bradley,SG,25,BOS,1,33,.438,17.8,,.563,.188,.000,.000,.375,.438,,.667,.667,,,.667,.143,,.667,1.000,,.000,0,,.286,.000,,0,0,bradlav01
25,Corey Brewer,SF,29,HOU,5,77,.259,12.5,,.630,.259,.259,.074,.037,.370,,.353,.571,.143,.000,1.000,.100,,.500,1.000,,.037,1,,.700,.143,,0,0,breweco01
26,Reggie Bullock,SF,24,DET,2,22,.833,16.0,,.500,.333,.000,.000,.167,.500,,1.000,1.000,,,1.000,.667,,1.000,1.000,,.000,0,,.667,.500,,0,0,bullore01
27,Kentavious Caldwell-Pope,SG,22,DET,4,161,.440,17.2,,.460,.160,.120,.080,.100,.540,,.435,.625,.167,.500,.400,.444,,.700,.917,,.040,2,,.333,.556,,0,0,caldwke01
28,Clint Capela,C,21,HOU,5,43,.333,2.8,,1.000,.556,.444,.000,.000,.000,,.333,.400,.250,,,,,1.000,,,.000,0,,,,,0,0,capelca01
29,DeMarre Carroll,SF,29,TOR,20,596,.390,15.2,,.503,.214,.195,.057,.038,.497,,.450,.676,.323,.222,.167,.329,,.611,.923,,.025,4,,.291,.565,,0,0,carrode01
30,Vince Carter,SG,39,MEM,4,91,.455,12.4,,.697,.273,.242,.030,.152,.303,,.348,.444,.125,1.000,.400,.700,,.500,.857,,.061,1,,.200,.500,,0,0,cartevi01
31,Ian Clark,SG,24,GSW,16,154,.491,13.3,,.660,.264,.226,.094,.075,.340,,.571,.643,.500,.400,.750,.333,,.550,.667,,.000,0,,.111,.000,,0,0,clarkia01
32,Nick Collison,PF,35,OKC,9,79,.667,6.5,,1.000,.667,.000,.167,.167,.000,,.667,.750,,.000,1.000,,,1.000,,,.000,0,,,,,0,0,collini01
33,Pat Connaughton,SG,23,POR,6,8,.600,19.5,,.400,.200,.000,.000,.200,.600,,.500,1.000,,,.000,.667,,1.000,.500,,.000,0,,.000,,,0,0,connapa01
34,Allen Crabbe,SG,23,POR,11,302,.521,18.6,,.521,.123,.055,.164,.178,.479,,.605,.667,.500,.667,.538,.429,,.696,1.000,,.014,1,,.229,.375,,1,0,crabbal01
35,Jamal Crawford,SG,35,LAC,6,199,.379,15.3,,.796,.097,.126,.330,.243,.204,,.427,.700,.231,.441,.400,.190,,.229,1.000,,.000,0,,.143,.000,,0,0,crawfja01
36,Jae Crowder,SF,25,BOS,6,197,.278,17.3,,.431,.208,.083,.042,.097,.569,,.323,.600,.167,.000,.000,.244,,.600,.900,,.028,2,,.268,.364,,0,0,crowdja01
37,Stephen Curry,PG,27,GSW,18,614,.438,18.8,,.414,.186,.089,.056,.089,.586,,.486,.540,.367,.526,.433,.404,,.265,.500,,.000,0,,.131,.462,,3,0,curryst01
38,Troy Daniels,SG,24,CHO,4,18,.125,17.7,,.625,.125,.125,.000,.375,.375,,.200,.000,.000,,.333,.000,,1.000,,,.000,0,,.333,.000,,0,0,danietr01
39,Ed Davis,PF,26,POR,11,205,.525,4.9,,.950,.600,.300,.050,.000,.050,,.553,.625,.417,.500,,.000,,.619,,,.175,6,,.000,,,1,0,davised01
40,Matthew Dellavedova,PG,25,CLE,20,241,.351,15.3,,.581,.122,.324,.081,.054,.419,,.419,.444,.417,.500,.250,.258,,.500,.875,,.000,0,,.323,.400,,1,0,dellama01
41,Luol Deng,PF,30,MIA,14,495,.471,15.0,,.587,.246,.116,.065,.159,.413,,.506,.588,.563,.556,.318,.421,,.610,1.000,,.029,3,,.526,.467,,0,0,denglu01
42,DeMar DeRozan,SG,26,TOR,20,746,.394,13.2,,.935,.133,.198,.221,.379,.065,,.411,.509,.380,.409,.397,.154,,.275,1.000,,.018,5,,.346,.222,,0,0,derozde01
43,Boris Diaw,PF,33,SAS,9,159,.457,8.0,,.870,.391,.304,.087,.087,.130,,.475,.500,.500,.250,.500,.333,,.421,1.000,,.000,0,,.167,1.000,,0,0,diawbo01
44,Spencer Dinwiddie,PG,22,DET,1,2,1.000,1.1,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,1.000,,,.000,0,,,,,0,0,dinwisp01
45,Goran Dragić,PG,29,MIA,14,472,.442,11.9,,.777,.311,.150,.194,.121,.223,,.469,.547,.387,.450,.400,.348,,.280,.500,,.005,1,,.217,.300,,1,0,dragigo01
46,Andre Drummond,C,22,DET,4,131,.519,5.8,,.981,.519,.315,.148,.000,.019,,.528,.643,.412,.375,,.000,,.607,,,.093,5,,.000,,,1,0,drumman01
47,Tim Duncan*,C,39,SAS,10,218,.423,3.8,,1.000,.558,.346,.058,.019,.000,,.423,.448,.444,.333,.000,,,.818,,,.038,2,,,,,0,0,duncati01
48,Kevin Durant,SF,27,OKC,18,726,.430,14.3,,.730,.184,.128,.238,.179,.270,,.485,.640,.423,.392,.493,.282,,.486,.742,,.052,18,,.064,.429,,1,0,duranke01
49,Monta Ellis,SG,30,IND,7,225,.434,12.6,,.724,.329,.145,.039,.211,.276,,.473,.600,.364,.333,.375,.333,,.231,.429,,.000,0,,.286,.167,,0,0,ellismo01
50,Festus Ezeli,C,26,GSW,23,203,.536,3.1,,1.000,.623,.333,.043,.000,.000,,.536,.651,.348,.333,,,,.703,,,.348,18,,,,,0,0,ezelife01
51,Jordan Farmar,PG,29,MEM,4,113,.323,16.3,,.613,.194,.065,.065,.290,.387,,.316,.167,.000,.500,.444,.333,,.000,.500,,.000,0,,.333,.500,,0,0,farmajo01
52,Raymond Felton,PG,31,DAL,5,172,.464,12.4,,.797,.304,.188,.087,.217,.203,,.509,.571,.231,.500,.667,.286,,.179,1.000,,.000,0,,.214,.333,,1,0,feltora01
53,Randy Foye,SG,32,OKC,16,190,.341,19.2,,.366,.122,.049,.024,.171,.634,,.400,.400,.500,.000,.429,.308,,.500,.875,,.000,0,,.269,.571,,0,0,foyera01
54,Enes Freedom,C,23,OKC,18,323,.551,7.2,,.881,.508,.195,.085,.093,.119,,.606,.733,.478,.400,.364,.143,,.587,1.000,,.042,3,,.929,.154,,0,0,kanteen01
55,Channing Frye,C,32,CLE,17,237,.594,19.1,,.333,.145,.072,.014,.101,.667,,.652,.900,.400,1.000,.429,.565,,.867,1.000,,.043,3,,.304,.429,,0,0,fryech01
56,Paul George,SF,25,IND,7,275,.455,15.1,,.650,.179,.163,.098,.211,.350,,.475,.545,.350,.583,.462,.419,,.263,.778,,.057,6,,.233,.600,,0,0,georgpa01
57,Manu Ginóbili*,SG,38,SAS,10,192,.426,16.4,,.553,.149,.128,.191,.085,.447,,.423,.857,.167,.444,.000,.429,,.364,.889,,.021,1,,.190,.250,,1,0,ginobma01
58,Andrew Goudelock,PG,27,HOU,2,11,.500,17.0,,.833,.000,.000,.500,.333,.167,,.600,,,.667,.500,.000,,.333,,,.000,0,,.000,,,0,0,goudean01
59,Danny Green,SG,28,SAS,10,267,.469,20.6,,.266,.125,.016,.078,.047,.734,,.353,.500,1.000,.000,.333,.511,,.667,.917,,.016,1,,.340,.500,,0,0,greenda02
60,Draymond Green,PF,25,GSW,23,879,.431,12.7,,.623,.384,.145,.058,.036,.377,,.471,.575,.250,.313,.500,.365,,.457,.974,,.069,19,,.058,.333,,2,0,greendr01
61,Gerald Green,SG,30,MIA,12,110,.327,15.3,,.714,.204,.061,.143,.306,.286,,.343,.500,.333,.429,.200,.286,,.417,1.000,,.020,0,,.357,.200,,0,0,greenge01
62,JaMychal Green,PF,25,MEM,4,72,.545,9.2,,.955,.455,.091,.091,.318,.045,,.571,.900,.500,.000,.286,.000,,.833,,,.227,5,,1.000,.000,,0,0,greenja01
63,Jeff Green,SF,29,LAC,6,159,.457,10.5,,.783,.348,.217,.065,.152,.217,,.472,.625,.500,.333,.143,.400,,.294,1.000,,.087,4,,.100,1.000,,0,0,greenje02
64,Blake Griffin,PF,26,LAC,4,127,.377,9.6,,.962,.302,.283,.075,.302,.038,,.373,.563,.333,.000,.313,.500,,.474,1.000,,.113,6,,.500,.000,,0,0,griffbl01
65,Jorge Gutiérrez,PG,27,CHO,3,12,.000,10.3,,1.000,.333,.000,.667,.000,.000,,.000,.000,,.000,,,,,,,.000,0,,,,,0,0,gutiejo01
66,P.J. Hairston,SF,23,MEM,2,22,.333,17.7,,.500,.167,.000,.167,.167,.500,,.333,.000,,1.000,.000,.333,,1.000,1.000,,.000,0,,.667,.500,,0,0,hairspj02
67,Tyler Hansbrough,PF,30,CHO,2,6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,hansbty01
68,Tim Hardaway Jr.,SG,23,ATL,9,87,.269,17.8,,.462,.154,.115,.000,.192,.538,,.417,.750,.333,,.200,.143,,1.000,.500,,.077,2,,.000,,,0,0,hardati02
69,James Harden,SG,26,HOU,5,193,.410,16.2,,.580,.170,.150,.120,.140,.420,,.483,.588,.400,.500,.429,.310,,.179,.385,,.030,3,,.119,.200,,1,0,hardeja01
70,Maurice Harkless,SF,22,POR,11,272,.427,11.8,,.600,.418,.155,.009,.018,.400,,.485,.587,.235,1.000,.000,.341,,.625,.933,,.100,10,,.455,.450,,0,0,harklma01
71,Montrezl Harrell,PF,22,HOU,2,12,.333,9.8,,.667,.333,.333,.000,.000,.333,,.500,1.000,.000,,,.000,,.000,,,.333,1,,1.000,.000,,0,0,harremo01
72,Devin Harris,PG,32,DAL,5,121,.500,13.4,,.567,.433,.067,.033,.033,.433,,.647,.692,.500,.000,1.000,.308,,.545,.750,,.000,0,,.231,.000,,1,0,harride01
73,Tobias Harris,PF,23,DET,4,156,.457,11.6,,.739,.304,.174,.174,.087,.261,,.500,.643,.250,.625,.250,.333,,.588,1.000,,.000,0,,.500,.333,,0,0,harrito02
74,Aaron Harrison,SG,21,CHO,2,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,harriaa01
75,Udonis Haslem,PF,35,MIA,9,85,.533,6.3,,1.000,.667,.000,.200,.133,.000,,.533,.700,,.000,.500,,,.625,,,.133,1,,,,,0,0,hasleud01
76,Spencer Hawes,PF,27,CHO,5,53,.462,14.3,,.692,.077,.231,.385,.000,.308,,.556,1.000,.333,.600,,.250,,.200,1.000,,.000,0,,.500,.000,,0,0,hawessp01
77,Gerald Henderson,SG,28,POR,11,234,.366,14.8,,.768,.171,.110,.195,.293,.232,,.365,.643,.333,.250,.292,.368,,.522,.857,,.024,2,,.421,.250,,0,0,hendege02
78,George Hill,PG,29,IND,7,235,.561,15.7,,.526,.228,.105,.105,.088,.474,,.633,.615,.667,.500,.800,.481,,.211,.846,,.000,0,,.556,.467,,0,0,hillge01
79,Jordan Hill,C,28,IND,5,15,.000,12.1,,1.000,.000,.333,.333,.333,.000,,.000,,.000,.000,.000,,,,,,.000,0,,,,,0,0,hilljo01
80,Solomon Hill,SF,24,IND,7,198,.452,16.8,,.387,.290,.032,.065,.000,.613,,.250,.333,.000,.000,,.579,,.333,1.000,,.065,2,,.474,.222,,0,0,hillso01
81,Kirk Hinrich,PG,35,ATL,6,27,.286,21.4,,.571,.000,.000,.000,.571,.429,,.250,,,,.250,.333,,.000,1.000,,.000,0,,.333,1.000,,0,0,hinriki01
82,John Holland,SF,27,BOS,1,1,.000,24.8,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,hollajo02
83,Al Horford,C,29,ATL,10,327,.466,12.3,,.759,.284,.172,.129,.164,.241,,.489,.727,.550,.267,.211,.393,,.744,1.000,,.086,9,,.071,.000,,0,0,horfoal01
84,Dwight Howard,C,30,HOU,5,180,.542,3.5,,.979,.583,.375,.021,.000,.021,,.553,.786,.222,.000,,.000,,.808,,,.375,17,,.000,,,0,0,howardw01
85,Josh Huestis,PF,24,OKC,2,10,.333,18.7,,.333,.000,.333,.000,.000,.667,,.000,,.000,,,.500,,,1.000,,.000,0,,1.000,.500,,0,0,huestjo01
86,Kris Humphries,PF,30,ATL,4,56,.464,13.3,,.643,.321,.143,.000,.179,.357,,.444,.556,.750,,.000,.500,,.875,1.000,,.071,2,,.100,1.000,,0,0,humphkr01
87,R.J. Hunter,SG,22,BOS,5,41,.222,18.6,,.444,.111,.000,.222,.111,.556,,.250,1.000,,.000,.000,.200,,.000,1.000,,.000,0,,.200,.000,,0,0,hunterj01
88,Serge Ibaka,PF,26,OKC,18,602,.521,17.0,,.577,.117,.123,.067,.270,.423,,.574,.895,.700,.364,.432,.449,,.759,1.000,,.055,9,,.420,.414,,0,0,ibakase01
