,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,PF,21,MIA,3,12,.750,2.5,,1.000,.750,.250,.000,.000,.000,,.750,1.000,.000,,,,,.667,,,.250,1,,,,,0,0,achiupr01
2,Bam Adebayo,C,23,MIA,4,136,.456,8.1,,1.000,.281,.263,.421,.035,.000,,.456,.500,.467,.458,.000,,,.692,,,.070,4,,,,,0,0,adebaba01
3,Ty-Shon Alexander,SG,22,PHO,1,1,1.000,15.5,,1.000,.000,.000,1.000,.000,.000,,1.000,,,1.000,,,,.000,,,.000,0,,,,,0,0,alexaty01
4,Grayson Allen,SG,25,MEM,5,116,.364,18.0,,.364,.091,.242,.030,.000,.636,,.333,.667,.250,.000,,.381,,1.000,1.000,,.030,1,,.190,.500,,0,0,allengr01
5,Kyle Anderson,PF,27,MEM,5,142,.429,11.6,,.714,.238,.381,.048,.048,.286,,.500,.800,.313,.500,.500,.250,,.467,1.000,,.048,2,,.083,.000,,0,0,anderky01
6,Giannis Antetokounmpo,PF,26,MIL,21,800,.569,8.7,,.841,.449,.203,.134,.055,.159,,.642,.807,.472,.492,.292,.186,,.443,.538,,.164,70,,.000,,,1,0,antetgi01
7,Thanasis Antetokounmpo,SF,28,MIL,13,45,.286,4.1,,1.000,.571,.429,.000,.000,.000,,.286,.500,.000,,,,,.500,,,.286,1,,,,,0,0,antetth01
8,Carmelo Anthony,PF,36,POR,6,143,.417,21.0,,.383,.050,.050,.050,.233,.617,,.478,.667,.333,.667,.429,.378,,.455,.857,,.000,0,,.243,.333,,0,0,anthoca01
9,Trevor Ariza,SF,35,MIA,4,96,.304,18.7,,.261,.174,.087,.000,.000,.739,,.333,.250,.500,,,.294,,.500,1.000,,.000,0,,.647,.364,,0,0,arizatr01
10,Deandre Ayton,C,22,PHO,22,801,.658,4.6,,1.000,.551,.312,.098,.038,.000,,.658,.775,.534,.609,.111,,,.838,,,.184,41,,,,,0,0,aytonde01
11,Udoka Azubuike,C,21,UTA,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,azubuud01
12,Desmond Bane,SG,22,MEM,5,99,.579,19.8,,.368,.053,.158,.158,.000,.632,,.714,1.000,.667,.667,,.500,,.600,1.000,,.000,0,,.250,.667,,0,0,banede01
13,RJ Barrett,SG,20,NYK,5,162,.388,13.0,,.582,.328,.194,.030,.030,.418,,.462,.591,.308,.500,.000,.286,,.389,.750,,.015,1,,.464,.231,,0,0,barrerj01
14,Will Barton,SF,30,DEN,3,83,.442,16.3,,.512,.163,.233,.070,.047,.488,,.545,.857,.500,.333,.000,.333,,.417,.857,,.070,3,,.143,.667,,1,0,bartowi01
