,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Bam Adebayo,C,25,MIA,23,850,.481,7.7,,.991,.305,.317,.308,.061,.009,,.485,.670,.391,.421,.381,.000,,.641,,,.130,42,,.000,,,0,0,adebaba01
2,Santi Aldama,PF,22,MEM,6,101,.455,14.0,,.545,.212,.303,.030,.000,.455,,.444,.714,.300,.000,,.467,,.500,1.000,,.061,2,,.333,.800,,1,0,aldamsa01
3,Nickeil Alexander-Walker,SG,24,MIN,5,148,.429,19.4,,.286,.029,.143,.114,.000,.714,,.500,1.000,.600,.250,,.400,,.600,1.000,,.000,0,,.560,.500,,0,0,alexani01
4,Grayson Allen,SG,27,MIL,5,149,.463,20.2,,.293,.122,.073,.098,.000,.707,,.417,.800,.000,.250,,.483,,1.000,1.000,,.049,2,,.310,.556,,0,0,allengr01
5,Jarrett Allen,C,24,CLE,5,191,.611,3.5,,1.000,.667,.222,.111,.000,.000,,.611,.750,.500,.000,,,,.818,,,.389,14,,,,,0,0,allenja01
6,Kyle Anderson,PF,29,MIN,4,104,.500,9.2,,.800,.300,.433,.067,.000,.200,,.542,.778,.308,1.000,,.333,,.462,1.000,,.100,3,,.667,.250,,0,0,anderky01
7,Giannis Antetokounmpo,PF,28,MIL,3,91,.528,6.6,,.943,.528,.226,.132,.057,.057,,.560,.750,.500,.143,.000,.000,,.429,,,.094,5,,.000,,,0,0,antetgi01
8,Thanasis Antetokounmpo,PF,30,MIL,2,5,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,antetth01
9,Deandre Ayton,C,24,PHO,10,319,.550,7.6,,1.000,.243,.432,.261,.063,.000,,.550,.741,.521,.448,.429,,,.820,,,.162,15,,,,,0,0,aytonde01
10,Patrick Baldwin Jr.,SF,20,GSW,3,11,.000,26.8,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,baldwpa01
11,Mo Bamba,C,24,LAL,3,10,.000,22.0,,.500,.000,.000,.000,.500,.500,,.000,,,,.000,.000,,,,,.000,0,,.000,,,0,0,bambamo01
12,Desmond Bane,SG,24,MEM,6,231,.422,15.0,,.569,.198,.224,.069,.078,.431,,.500,.696,.231,.625,.667,.320,,.576,.813,,.000,0,,.240,.250,,0,0,banede01
13,Harrison Barnes,PF,30,SAC,7,196,.417,14.1,,.583,.217,.317,.050,.000,.417,,.543,.615,.474,.667,,.240,,.474,1.000,,.083,5,,.280,.286,,1,0,barneha02
14,RJ Barrett,SG,22,NYK,11,377,.433,12.4,,.628,.305,.250,.043,.030,.372,,.495,.620,.390,.286,.400,.328,,.490,1.000,,.012,2,,.361,.318,,0,0,barrerj01
15,Nicolas Batum,PF,34,LAC,5,92,.421,22.7,,.105,.000,.105,.000,.000,.895,,1.000,,1.000,,,.353,,.500,1.000,,.000,0,,.412,.000,,0,0,batumni01
16,Malik Beasley,SG,26,LAL,11,91,.294,21.5,,.235,.029,.176,.000,.029,.765,,.375,1.000,.333,,.000,.269,,.667,.857,,.000,0,,.077,1.000,,0,0,beaslma01
17,MarJon Beauchamp,SF,22,MIL,2,5,.667,14.7,,.667,.000,.333,.333,.000,.333,,.500,,.000,1.000,,1.000,,.000,1.000,,.000,0,,1.000,1.000,,0,0,beaucma01
18,Saddiq Bey,SF,23,ATL,6,133,.375,15.0,,.550,.175,.250,.050,.075,.450,,.364,.571,.300,.500,.000,.389,,.625,1.000,,.050,1,,.389,.429,,0,0,beysa01
19,Bismack Biyombo,C,30,PHO,8,78,.563,4.5,,1.000,.375,.500,.125,.000,.000,,.563,.667,.500,.500,,,,.556,,,.188,2,,,,,0,0,biyombi01
20,Bogdan Bogdanović,SG,30,ATL,6,157,.556,19.0,,.389,.130,.130,.074,.056,.611,,.714,.714,1.000,.500,.333,.455,,.400,.867,,.000,0,,.212,.571,,0,0,bogdabo01
21,Devin Booker,SG,26,PHO,11,459,.585,13.6,,.747,.104,.278,.261,.104,.253,,.611,.760,.672,.476,.640,.508,,.336,.581,,.021,5,,.066,1.000,,0,0,bookede01
22,Brandon Boston Jr.,SF,21,LAC,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bostobr01
23,Christian Braun,SG,21,DEN,19,247,.533,8.7,,.778,.444,.311,.022,.000,.222,,.629,.750,.429,1.000,,.200,,.636,1.000,,.111,5,,.600,.167,,1,0,braunch01
24,Mikal Bridges,SG,26,BRK,4,157,.429,14.0,,.675,.169,.221,.234,.052,.325,,.442,.385,.588,.333,.500,.400,,.391,.700,,.052,3,,.240,.333,,0,0,bridgmi01
25,Malcolm Brogdon,PG,30,BOS,19,474,.418,15.9,,.556,.184,.179,.128,.066,.444,,.450,.528,.457,.440,.231,.379,,.388,.667,,.005,1,,.103,.333,,3,1,brogdma01
26,Dillon Brooks,SF,27,MEM,6,167,.312,17.0,,.455,.143,.208,.065,.039,.545,,.400,.455,.375,.400,.333,.238,,.571,1.000,,.026,2,,.119,.200,,0,0,brookdi01
27,Bruce Brown,SF,26,DEN,20,530,.511,11.9,,.676,.250,.352,.057,.017,.324,,.605,.841,.452,.600,.333,.316,,.375,.889,,.045,8,,.281,.125,,2,0,brownbr01
28,Jaylen Brown,SF,26,BOS,20,751,.496,13.0,,.690,.255,.230,.096,.110,.310,,.560,.699,.524,.429,.425,.354,,.397,.700,,.044,13,,.186,.333,,1,0,brownja02
29,Troy Brown Jr.,SF,23,LAL,12,124,.357,17.7,,.464,.179,.143,.036,.107,.536,,.615,1.000,.500,1.000,.000,.133,,.625,1.000,,.000,0,,.267,.250,,0,0,browntr01
30,Jalen Brunson,PG,26,NYK,11,443,.474,15.3,,.652,.100,.239,.204,.109,.348,,.553,.696,.618,.511,.360,.325,,.145,.500,,.013,3,,.200,.313,,1,0,brunsja01
31,Thomas Bryant,C,25,DEN,1,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bryanth01
32,Jimmy Butler,PF,33,MIA,22,874,.468,11.2,,.824,.229,.296,.188,.111,.176,,.492,.703,.412,.434,.367,.359,,.313,.536,,.052,23,,.282,.455,,2,0,butleji01
33,Kentavious Caldwell-Pope,SG,29,DEN,20,671,.457,18.1,,.432,.130,.117,.080,.105,.568,,.557,.667,.316,.615,.647,.380,,.846,.943,,.006,1,,.326,.467,,0,0,caldwke01
34,Vlatko Čančar,PF,25,DEN,5,10,.000,22.1,,.200,.000,.200,.000,.000,.800,,.000,,.000,,,.000,,,,,.000,0,,.250,.000,,0,0,cancavl01
