,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,29,SAC,6,129,.535,8.8,,.930,.302,.349,.047,.233,.070,,.575,.615,.600,1.000,.400,.000,,.304,,,.093,3,,.667,.000,,0,0,abdursh01
2,Malik Allen,PF,27,CHI,6,116,.467,13.2,,1.000,.200,.067,.167,.567,.000,,.467,.500,1.000,.600,.353,,,.643,,,.033,1,,,,,0,0,allenma01
3,Derek Anderson,SG,31,MIA,8,66,.300,21.6,,.300,.000,.050,.050,.200,.700,,.167,,.000,.000,.250,.357,,1.000,1.000,,.000,0,,.500,.286,,0,0,anderde01
4,Shandon Anderson,SF,32,MIA,13,90,.308,15.5,,.769,.154,.077,.077,.462,.231,,.300,.500,1.000,.000,.167,.333,,1.000,1.000,,.000,0,,.333,.000,,0,0,andersh01
5,Carmelo Anthony,SF,21,DEN,5,193,.333,10.8,,.960,.323,.111,.131,.394,.040,,.347,.469,.364,.308,.256,.000,,.455,,,.030,3,,.250,.000,,0,0,anthoca01
6,Gilbert Arenas,PG,24,WAS,6,284,.464,15.1,,.671,.279,.086,.071,.236,.329,,.479,.590,.500,.400,.364,.435,,.222,.600,,.014,2,,.109,.800,,1,0,arenagi01
7,Darrell Armstrong,PG,37,DAL,11,47,.200,17.3,,.533,.200,.067,.000,.267,.467,,.375,.667,.000,,.250,.000,,.000,,,.000,0,,.143,.000,,0,0,armstda01
8,Chucky Atkins,PG,31,MEM,4,103,.405,13.2,,.703,.297,.108,.081,.216,.297,,.423,.455,.750,.667,.125,.364,,.091,.750,,.000,0,,.000,,,0,0,atkinch01
9,Leandro Barbosa,SG,23,PHO,20,632,.470,11.9,,.685,.411,.082,.082,.110,.315,,.507,.611,.278,.444,.333,.391,,.395,.815,,.005,1,,.174,.250,,1,0,barbole01
10,Brent Barry,SG,34,SAS,13,301,.557,16.7,,.443,.262,.082,.000,.098,.557,,.630,.625,.400,,.833,.500,,.706,1.000,,.049,2,,.235,.625,,0,0,barrybr01
11,Shane Battier,SF,27,MEM,4,129,.500,13.4,,.650,.250,.150,.100,.150,.350,,.615,.600,1.000,.500,.333,.286,,.250,1.000,,.000,0,,.857,.333,,0,0,battish01
12,Charlie Bell,SG,26,MIL,5,108,.395,11.0,,.744,.465,.000,.070,.209,.256,,.375,.500,,.000,.222,.455,,.333,1.000,,.000,0,,.636,.571,,0,0,bellch01
13,Raja Bell,SG,29,PHO,17,673,.479,18.5,,.479,.133,.048,.097,.200,.521,,.494,.500,.375,.375,.576,.465,,.462,.950,,.012,2,,.314,.593,,0,0,bellra01
14,Mike Bibby,PG,27,SAC,6,255,.348,16.7,,.717,.130,.120,.011,.457,.283,,.348,.500,.455,.000,.286,.346,,.304,.667,,.000,0,,.115,.000,,0,0,bibbymi01
15,Chauncey Billups,PG,29,DET,18,705,.406,16.9,,.590,.179,.035,.166,.210,.410,,.452,.561,.125,.447,.417,.340,,.230,.469,,.000,0,,.181,.176,,0,0,billuch01
16,Andrew Bogut,PF,21,MIL,5,172,.435,6.3,,1.000,.522,.130,.152,.196,.000,,.435,.583,.667,.143,.111,,,.750,,,.152,6,,,,,0,0,bogutan01
17,Bruce Bowen,SF,34,SAS,13,442,.525,16.8,,.508,.164,.098,.082,.164,.492,,.548,.600,.333,.000,.900,.500,,.647,1.000,,.016,1,,.867,.538,,0,0,bowenbr01
18,Earl Boykins,PG,29,DEN,5,140,.322,16.0,,.678,.153,.102,.102,.322,.322,,.375,.556,.667,.000,.316,.211,,.467,.500,,.000,0,,.105,.500,,0,0,boykiea01
19,Elton Brand,PF,26,LAC,12,517,.551,9.0,,.996,.258,.244,.373,.120,.004,,.554,.741,.473,.476,.556,.000,,.484,,,.067,15,,.000,,,0,0,brandel01
20,Kwame Brown,C,23,LAL,7,225,.523,4.3,,1.000,.508,.400,.092,.000,.000,,.523,.758,.308,.167,,,,.529,,,.154,10,,,,,0,0,brownkw01
21,Kobe Bryant*,SG,27,LAL,7,314,.497,15.0,,.759,.200,.145,.076,.338,.241,,.527,.828,.476,.455,.388,.400,,.172,.429,,.028,4,,.114,.250,,0,0,bryanko01
22,Greg Buckner,SG,29,DEN,5,137,.418,18.6,,.418,.145,.091,.055,.127,.582,,.565,.500,.600,.667,.571,.313,,.769,1.000,,.000,0,,.188,.167,,0,0,buckngr01
