,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Steven Adams,C,25,OKC,5,159,.667,5.1,,.976,.452,.500,.024,.000,.024,,.683,.842,.524,1.000,,.000,,.893,,,.214,7,,.000,,,1,0,adamsst01
2,LaMarcus Aldridge,C,33,SAS,7,244,.455,10.5,,.909,.273,.207,.281,.149,.091,,.473,.636,.520,.294,.444,.273,,.596,1.000,,.066,6,,.545,.333,,0,0,aldrila01
3,Grayson Allen,SG,23,UTA,2,14,.286,12.8,,.571,.429,.143,.000,.000,.429,,.500,.333,1.000,,,.000,,.000,,,.000,0,,.333,.000,,0,0,allengr01
4,Jarrett Allen,C,20,BRK,5,110,.594,2.0,,1.000,.813,.188,.000,.000,.000,,.594,.692,.167,,,,,.842,,,.469,12,,,,,0,0,allenja01
5,Al-Farouq Aminu,PF,28,POR,16,399,.349,13.8,,.532,.275,.202,.028,.028,.468,,.397,.500,.273,.333,.333,.294,,.609,1.000,,.064,6,,.549,.393,,0,0,aminual01
6,Giannis Antetokounmpo,PF,24,MIL,15,514,.492,9.0,,.790,.500,.187,.061,.042,.210,,.536,.718,.224,.125,.364,.327,,.459,.833,,.160,40,,.036,.000,,0,0,antetgi01
7,D.J. Augustin,PG,31,ORL,5,141,.488,16.3,,.488,.195,.146,.098,.049,.512,,.500,.625,.167,.500,1.000,.476,,.100,.700,,.000,0,,.143,.667,,0,0,augusdj01
8,Will Barton,SF,28,DEN,14,328,.348,13.8,,.593,.244,.244,.059,.044,.407,,.400,.485,.273,.625,.333,.273,,.344,1.000,,.022,3,,.127,.143,,1,0,bartowi01
9,Aron Baynes,C,32,BOS,9,115,.571,13.4,,.571,.429,.071,.071,.000,.429,,.750,.833,1.000,.000,,.333,,.667,1.000,,.071,1,,.000,,,0,0,baynear01
