,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Jordan Adams,SG,20,MEM,4,10,.667,20.4,,.667,.000,.000,.000,.667,.333,,.500,,,,.500,1.000,,.000,1.000,,.000,0,,1.000,1.000,,0,0,adamsjo01
2,Arron Afflalo,SG,29,POR,3,60,.167,14.0,,.667,.083,.417,.083,.083,.333,,.125,.000,.200,.000,.000,.250,,1.000,1.000,,.000,0,,1.000,.250,,0,0,afflaar01
3,Alexis Ajinça,C,26,NOP,3,10,1.000,7.5,,1.000,.000,.750,.250,.000,.000,,1.000,,1.000,1.000,,,,.750,,,.000,0,,,,,0,0,ajincal01
4,LaMarcus Aldridge,PF,29,POR,5,208,.330,10.4,,.902,.339,.143,.223,.196,.098,,.337,.500,.188,.240,.273,.273,,.294,1.000,,.018,2,,.182,.000,,0,0,aldrila01
5,Tony Allen,SG,33,MEM,10,279,.491,6.5,,.877,.614,.140,.035,.088,.123,,.540,.600,.375,.500,.400,.143,,.741,1.000,,.088,5,,.857,.167,,0,0,allento01
6,Al-Farouq Aminu,SF,24,DAL,5,150,.548,10.6,,.645,.355,.258,.032,.000,.355,,.500,.727,.250,.000,,.636,,.300,1.000,,.129,4,,.636,.571,,0,0,aminual01
7,Alan Anderson,SG,32,BRK,6,142,.610,16.0,,.610,.220,.098,.122,.171,.390,,.600,.889,.250,.400,.571,.625,,.400,.900,,.024,1,,.438,.714,,1,0,anderal01
8,Ryan Anderson,PF,26,NOP,4,95,.444,14.6,,.667,.306,.056,.083,.222,.333,,.458,.364,.000,.333,.750,.417,,.636,1.000,,.028,1,,.000,,,0,0,anderry01
9,Giannis Antetokounmpo,SG,20,MIL,6,201,.366,7.3,,.986,.465,.239,.056,.225,.014,,.371,.515,.235,.250,.250,.000,,.577,,,.014,1,,.000,,,0,0,antetgi01
10,Pero Antić,C,32,ATL,15,199,.320,17.8,,.360,.280,.000,.040,.040,.640,,.278,.357,,.000,.000,.344,,.800,1.000,,.020,1,,.219,.714,,0,0,anticpe01
11,Trevor Ariza,SF,29,HOU,17,655,.426,16.6,,.455,.256,.068,.011,.119,.545,,.488,.733,.167,.000,.190,.375,,.615,.972,,.097,16,,.313,.400,,0,0,arizatr01
