,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Malik Allen,PF,25,MIA,10,138,.449,10.6,,1.000,.204,.245,.184,.367,.000,,.449,.500,.667,.222,.389,,,.591,,,.000,0,,,,,0,0,allenma01
2,Rafer Alston,PG,27,MIA,13,295,.319,18.5,,.429,.176,.088,.066,.099,.571,,.436,.375,.625,.667,.222,.231,,.176,.833,,.000,0,,.154,.375,,2,0,alstora01
3,Chris Andersen,PF,25,DEN,5,34,.333,5.4,,1.000,.556,.111,.222,.111,.000,,.333,.400,1.000,.000,.000,,,.667,,,.111,1,,,,,0,0,anderch01
4,Kenny Anderson,PG,33,IND,4,19,.286,9.1,,1.000,.286,.286,.143,.286,.000,,.286,.000,.500,.000,.500,,,.000,,,.000,0,,,,,0,0,anderke01
5,Shandon Anderson,SG,30,NYK,4,117,.259,9.6,,.741,.444,.148,.074,.074,.259,,.250,.417,.000,.000,.000,.286,,1.000,1.000,,.000,0,,.571,.500,,0,0,andersh01
6,Carmelo Anthony,SF,19,DEN,4,143,.328,12.8,,.828,.281,.063,.172,.313,.172,,.358,.556,.250,.364,.200,.182,,.579,.500,,.063,4,,.000,,,0,0,anthoca01
7,Brandon Armstrong,SG,23,NJN,8,32,.250,13.3,,.917,.250,.083,.000,.583,.083,,.273,.000,.000,,.429,.000,,1.000,,,.000,0,,1.000,.000,,0,0,armstbr01
8,Darrell Armstrong,PG,35,NOH,7,150,.235,22.0,,.265,.059,.000,.029,.176,.735,,.333,.000,,1.000,.333,.200,,.667,.800,,.000,0,,.080,.500,,0,0,armstda01
9,Chucky Atkins,PG,29,BOS,4,133,.436,12.7,,.744,.359,.077,.077,.231,.256,,.483,.643,.000,.000,.556,.300,,.286,.667,,.000,0,,.200,1.000,,0,0,atkinch01
10,Stacey Augmon,SF,35,NOH,7,168,.375,11.2,,.979,.208,.188,.292,.292,.021,,.383,.300,.556,.429,.286,.000,,.556,,,.063,3,,.000,,,0,0,augmost01
11,Vin Baker,PF,32,NYK,4,57,.571,3.9,,1.000,.643,.214,.000,.143,.000,,.571,.778,.333,,.000,,,.375,,,.143,2,,,,,0,0,bakervi01
12,Marcus Banks,PG,22,BOS,4,60,.438,14.8,,.688,.250,.125,.125,.188,.313,,.455,.250,.500,1.000,.333,.400,,.400,1.000,,.000,0,,.200,1.000,,0,0,banksma01
13,Dana Barros,SG,36,BOS,1,1,.000,2.6,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0,barroda01
14,Jon Barry,SG,34,DEN,5,100,.333,17.6,,.625,.125,.083,.042,.375,.375,,.333,.333,.000,1.000,.333,.333,,.400,1.000,,.000,0,,.111,.000,,0,0,barryjo01
15,Shane Battier,SF,25,MEM,4,69,.400,14.1,,.533,.200,.200,.067,.067,.467,,.375,.333,.333,1.000,.000,.429,,.333,1.000,,.000,0,,1.000,.429,,0,0,battish01
16,Jonathan Bender,SF,23,IND,16,200,.406,14.8,,.638,.232,.130,.101,.174,.362,,.432,.500,.444,.286,.417,.360,,.316,.889,,.043,3,,.240,.333,,0,0,bendejo01
17,Mike Bibby,PG,25,SAC,12,497,.429,14.3,,.719,.255,.102,.061,.301,.281,,.426,.540,.350,.500,.339,.436,,.417,.917,,.000,0,,.309,.529,,0,0,bibbymi01
18,Chauncey Billups,PG,27,DET,23,881,.385,15.1,,.626,.273,.056,.094,.203,.374,,.408,.449,.313,.407,.379,.346,,.274,.595,,.007,2,,.196,.333,,0,0,billuch01
19,Mark Blount,C,28,BOS,4,145,.486,6.3,,1.000,.543,.143,.229,.086,.000,,.486,.474,.800,.375,.333,,,.882,,,.114,4,,,,,0,0,blounma01
20,Bruce Bowen,SF,32,SAS,10,298,.365,16.0,,.540,.175,.079,.143,.143,.460,,.353,.364,.400,.333,.333,.379,,.750,1.000,,.032,2,,.759,.364,,0,0,bowenbr01
21,Ryan Bowen,PF,28,DEN,4,6,1.000,20.9,,1.000,.000,.000,.000,1.000,.000,,1.000,,,,1.000,,,1.000,,,.000,0,,,,,0,0,bowenry01
22,Earl Boykins,SG,27,DEN,5,121,.444,14.9,,.778,.190,.095,.175,.317,.222,,.469,.417,.333,.364,.600,.357,,.130,.200,,.000,0,,.000,,,1,0,boykiea01
23,Shawn Bradley,C,31,DAL,2,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bradlsh01
24,Devin Brown,SG,25,SAS,9,130,.486,12.0,,.730,.351,.081,.108,.189,.270,,.444,.385,.667,.250,.571,.600,,.750,1.000,,.027,1,,.500,.200,,0,0,brownde02
25,P.J. Brown,PF,34,NOH,7,256,.366,11.9,,1.000,.225,.070,.380,.324,.000,,.366,.688,.200,.370,.174,,,.692,,,.042,3,,,,,0,0,brownpj01
26,Kobe Bryant*,SG,25,LAL,22,973,.413,13.9,,.789,.226,.126,.165,.272,.211,,.457,.654,.500,.355,.336,.247,,.410,.875,,.035,16,,.186,.278,,3,0,bryanko01
27,Rodney Buford,SF,26,SAC,5,32,.417,15.4,,.750,.167,.167,.000,.417,.250,,.444,.500,.500,,.400,.333,,.750,1.000,,.083,1,,1.000,.333,,0,0,buforro01
28,Caron Butler,SF,23,MIA,13,511,.386,12.7,,.928,.288,.072,.111,.458,.072,,.401,.500,.636,.176,.357,.182,,.632,1.000,,.039,5,,.000,,,0,0,butleca01
29,Rasual Butler,SF,24,MIA,10,58,.409,20.1,,.591,.045,.000,.045,.500,.409,,.462,1.000,,1.000,.364,.333,,.833,1.000,,.045,1,,.333,.333,,0,0,butlera01
30,Marcus Camby,C,29,DEN,5,194,.491,9.9,,.964,.455,.073,.055,.382,.036,,.491,.720,.500,.000,.286,.500,,.654,1.000,,.164,8,,.000,,,1,0,cambyma01
31,Elden Campbell,C,35,DET,14,124,.286,9.7,,1.000,.257,.229,.314,.200,.000,,.286,.333,.000,.455,.286,,,.900,,,.086,3,,,,,0,0,campbel01
