,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Precious Achiuwa,C,22,TOR,6,167,.481,10.4,,.692,.442,.173,.058,.019,.308,,.556,.826,.111,.000,.000,.313,,.650,1.000,,.135,6,,.375,.333,,0,0,achiupr01
2,Steven Adams,C,28,MEM,7,114,.429,4.9,,1.000,.429,.476,.048,.048,.000,,.429,.444,.500,.000,.000,,,.667,,,.190,3,,,,,0,0,adamsst01
3,Bam Adebayo,C,24,MIA,18,614,.594,6.8,,.994,.406,.303,.194,.091,.006,,.598,.845,.547,.324,.250,.000,,.558,,,.183,32,,.000,,,1,0,adebaba01
4,Nickeil Alexander-Walker,SG,23,UTA,1,5,1.000,5.6,,1.000,.000,1.000,.000,.000,.000,,1.000,,1.000,,,,,.000,,,.000,0,,,,,0,0,alexani01
5,Grayson Allen,SG,26,MIL,12,305,.451,17.2,,.415,.195,.159,.049,.012,.585,,.529,.750,.154,.750,1.000,.396,,.444,1.000,,.000,0,,.208,.500,,0,0,allengr01
6,Jose Alvarado,PG,23,NOP,6,117,.485,14.6,,.515,.242,.182,.091,.000,.485,,.588,.500,.833,.333,,.375,,.400,1.000,,.000,0,,.313,.600,,0,0,alvarjo01
7,Kyle Anderson,PF,28,MEM,12,221,.569,10.7,,.765,.275,.294,.176,.020,.235,,.667,.643,.800,.444,1.000,.250,,.385,1.000,,.059,2,,.583,.143,,0,0,anderky01
8,Giannis Antetokounmpo,PF,27,MIL,12,448,.491,9.6,,.856,.351,.281,.112,.112,.144,,.537,.830,.313,.313,.406,.220,,.328,.333,,.140,39,,.049,.000,,1,0,antetgi01
9,Thanasis Antetokounmpo,SF,29,MIL,8,20,.667,1.3,,1.000,1.000,.000,.000,.000,.000,,.667,.667,,,,,,1.000,,,.667,2,,,,,0,0,antetth01
10,OG Anunoby,SF,24,TOR,6,217,.476,16.3,,.500,.207,.183,.073,.037,.500,,.610,.941,.333,.333,.667,.341,,.400,.929,,.061,5,,.244,.300,,1,0,anunoog01
11,Deandre Ayton,C,23,PHO,13,397,.640,7.7,,.976,.323,.323,.250,.079,.024,,.644,.792,.585,.537,.615,.500,,.777,1.000,,.104,17,,.000,,,0,0,aytonde01
