,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Hassan Adams,SG,22,NJN,6,9,.500,8.2,,1.000,.500,.000,.000,.500,.000,,.500,1.000,,,.000,,,1.000,,,.500,1,,,,,0,0,adamsha01
2,Maurice Ager,SG,22,DAL,3,24,.556,19.6,,.667,.111,.000,.000,.556,.333,,.500,1.000,,,.400,.667,,.333,.500,,.000,0,,.333,1.000,,0,0,agerma01
3,Malik Allen,PF,28,CHI,5,34,.167,15.9,,1.000,.083,.000,.167,.750,.000,,.167,.000,,.000,.222,,,1.000,,,.000,0,,,,,0,0,allenma01
4,Rafer Alston,PG,30,HOU,7,309,.338,19.5,,.324,.135,.081,.014,.095,.676,,.375,.300,.500,.000,.429,.320,,.111,.938,,.000,0,,.240,.333,,0,0,alstora01
5,Carmelo Anthony,SF,22,DEN,5,210,.480,11.6,,.816,.327,.082,.194,.214,.184,,.475,.688,.125,.316,.429,.500,,.474,1.000,,.092,9,,.222,.500,,0,0,anthoca01
6,Rafael Araújo,C,26,UTA,5,28,.375,6.4,,1.000,.250,.500,.125,.125,.000,,.375,1.000,.250,.000,.000,,,.333,,,.000,0,,,,,0,0,araujra01
7,Trevor Ariza,SG,21,ORL,4,47,.313,6.7,,1.000,.625,.000,.125,.250,.000,,.313,.400,,.000,.250,,,.600,,,.063,1,,,,,0,0,arizatr01
8,Carlos Arroyo,PG,27,ORL,3,40,.357,12.1,,.857,.357,.000,.071,.429,.143,,.417,.400,,.000,.500,.000,,.400,,,.000,0,,.500,.000,,0,0,arroyca01
9,Kelenna Azubuike,SG,23,GSW,6,15,.333,15.1,,.667,.333,.000,.000,.333,.333,,.500,1.000,,,.000,.000,,.000,,,.000,0,,.000,,,0,0,azubuke01
10,Marcus Banks,PG,25,PHO,2,7,.000,21.3,,.500,.000,.000,.000,.500,.500,,.000,,,,.000,.000,,,,,.000,0,,.000,,,0,0,banksma01
11,Leandro Barbosa,SG,24,PHO,11,349,.405,13.7,,.627,.329,.082,.076,.139,.373,,.465,.615,.231,.167,.409,.305,,.348,.722,,.000,0,,.271,.188,,0,0,barbole01
12,J.J. Barea,PG,22,DAL,2,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,bareajo01
13,Andrea Bargnani,PF,21,TOR,6,181,.478,16.6,,.630,.174,.065,.109,.283,.370,,.517,.500,.000,.800,.538,.412,,.667,.857,,.022,1,,.059,.000,,0,0,bargnan01
14,Matt Barnes,PF,26,GSW,11,330,.450,13.5,,.550,.330,.100,.050,.070,.450,,.473,.576,.400,.200,.286,.422,,.462,.947,,.050,5,,.489,.455,,0,0,barnema02
15,Brent Barry,SG,35,SAS,19,225,.350,21.1,,.183,.117,.000,.017,.050,.817,,.545,.714,,1.000,.000,.306,,1.000,1.000,,.000,0,,.408,.400,,0,0,barrybr01
16,Tony Battie,PF,30,ORL,4,87,.389,10.3,,1.000,.278,.056,.389,.278,.000,,.389,.800,.000,.429,.000,,,.571,,,.111,2,,,,,0,0,battito01
17,Shane Battier,SF,28,HOU,7,272,.451,21.0,,.157,.078,.039,.039,.000,.843,,.500,.250,1.000,.500,,.442,,.250,.947,,.000,0,,.605,.462,,0,0,battish01
18,Raja Bell,SG,30,PHO,11,438,.460,18.8,,.483,.126,.034,.080,.241,.517,,.476,.818,.333,.571,.286,.444,,.650,.950,,.000,0,,.378,.588,,0,0,bellra01
19,Andris Biedriņš,C,20,GSW,11,267,.730,0.8,,1.000,.919,.081,.000,.000,.000,,.730,.765,.333,,,,,.852,,,.324,12,,,,,0,0,biedran01
20,Chauncey Billups,PG,30,DET,16,649,.435,18.5,,.534,.135,.021,.135,.244,.466,,.476,.423,.500,.577,.447,.389,,.224,.600,,.000,0,,.144,.308,,0,0,billuch01
21,Steve Blake,PG,26,DEN,5,180,.452,20.0,,.484,.065,.000,.097,.323,.516,,.400,.500,,.000,.500,.500,,.333,.875,,.000,0,,.313,.400,,0,0,blakest01
